Procedure_Description,CPT_Code,Cash_Price,Gross_Price
All Inpatient Services for APRDRG-046-3,,,"$17,544.00 "
All Inpatient Services for APRDRG-046-4,,,"$47,377.00 "
All Inpatient Services for APRDRG-047-1,,,"$9,915.00 "
All Inpatient Services for APRDRG-047-2,,,"$10,992.00 "
All Inpatient Services for APRDRG-047-3,,,"$13,812.00 "
All Inpatient Services for APRDRG-047-4,,,"$27,089.00 "
All Inpatient Services for APRDRG-048-1,,,"$9,035.00 "
All Inpatient Services for APRDRG-048-2,,,"$10,683.00 "
All Inpatient Services for APRDRG-048-3,,,"$14,694.00 "
All Inpatient Services for APRDRG-048-4,,,"$39,624.00 "
All Inpatient Services for APRDRG-049-1,,,"$15,588.00 "
All Inpatient Services for APRDRG-049-2,,,"$29,310.00 "
All Inpatient Services for APRDRG-049-3,,,"$37,452.00 "
All Inpatient Services for APRDRG-049-4,,,"$73,936.00 "
All Inpatient Services for APRDRG-050-1,,,"$9,910.00 "
All Inpatient Services for APRDRG-050-2,,,"$17,492.00 "
All Inpatient Services for APRDRG-050-3,,,"$28,800.00 "
All Inpatient Services for APRDRG-050-4,,,"$65,407.00 "
All Inpatient Services for APRDRG-051-1,,,"$8,998.00 "
All Inpatient Services for APRDRG-051-2,,,"$12,439.00 "
All Inpatient Services for APRDRG-051-3,,,"$20,793.00 "
All Inpatient Services for APRDRG-051-4,,,"$46,102.00 "
All Inpatient Services for APRDRG-052-1,,,"$8,895.00 "
All Inpatient Services for APRDRG-052-2,,,"$10,341.00 "
All Inpatient Services for APRDRG-052-3,,,"$14,115.00 "
All Inpatient Services for APRDRG-052-4,,,"$37,053.00 "
All Inpatient Services for APRDRG-053-1,,,"$7,560.00 "
All Inpatient Services for APRDRG-053-2,,,"$9,349.00 "
All Inpatient Services for APRDRG-053-3,,,"$13,246.00 "
All Inpatient Services for APRDRG-053-4,,,"$36,988.00 "
All Inpatient Services for APRDRG-054-1,,,"$8,282.00 "
All Inpatient Services for APRDRG-054-2,,,"$10,123.00 "
All Inpatient Services for APRDRG-054-3,,,"$12,547.00 "
All Inpatient Services for APRDRG-054-4,,,"$22,657.00 "
All Inpatient Services for APRDRG-055-1,,,"$9,534.00 "
All Inpatient Services for APRDRG-055-2,,,"$13,061.00 "
All Inpatient Services for APRDRG-055-3,,,"$20,658.00 "
All Inpatient Services for APRDRG-055-4,,,"$51,610.00 "
All Inpatient Services for APRDRG-056-1,,,"$9,389.00 "
All Inpatient Services for APRDRG-056-2,,,"$13,294.00 "
All Inpatient Services for APRDRG-056-3,,,"$21,280.00 "
All Inpatient Services for APRDRG-056-4,,,"$48,183.00 "
All Inpatient Services for APRDRG-057-1,,,"$8,768.00 "
All Inpatient Services for APRDRG-057-2,,,"$12,031.00 "
All Inpatient Services for APRDRG-057-3,,,"$17,816.00 "
All Inpatient Services for APRDRG-057-4,,,"$46,484.00 "
All Inpatient Services for APRDRG-058-1,,,"$9,624.00 "
All Inpatient Services for APRDRG-058-2,,,"$11,776.00 "
All Inpatient Services for APRDRG-058-3,,,"$15,971.00 "
All Inpatient Services for APRDRG-058-4,,,"$37,842.00 "
All Inpatient Services for APRDRG-059-1,,,"$9,959.00 "
All Inpatient Services for APRDRG-059-2,,,"$11,531.00 "
All Inpatient Services for APRDRG-059-3,,,"$14,879.00 "
All Inpatient Services for APRDRG-059-4,,,"$37,619.00 "
All Inpatient Services for APRDRG-073-1,,,"$13,677.00 "
All Inpatient Services for APRDRG-073-2,,,"$16,948.00 "
All Inpatient Services for APRDRG-073-3,,,"$24,569.00 "
All Inpatient Services for APRDRG-073-4,,,"$62,010.00 "
All Inpatient Services for APRDRG-082-1,,,"$7,257.00 "
All Inpatient Services for APRDRG-082-2,,,"$9,526.00 "
All Inpatient Services for APRDRG-082-3,,,"$14,076.00 "
All Inpatient Services for APRDRG-082-4,,,"$35,035.00 "
All Inpatient Services for APRDRG-089-1,,,"$24,706.00 "
All Inpatient Services for APRDRG-089-2,,,"$32,396.00 "
All Inpatient Services for APRDRG-089-3,,,"$53,972.00 "
All Inpatient Services for APRDRG-089-4,,,"$103,826.00 "
All Inpatient Services for APRDRG-091-1,,,"$26,200.00 "
All Inpatient Services for APRDRG-091-2,,,"$32,381.00 "
All Inpatient Services for APRDRG-091-3,,,"$55,434.00 "
All Inpatient Services for APRDRG-091-4,,,"$89,990.00 "
All Inpatient Services for APRDRG-092-1,,,"$17,437.00 "
All Inpatient Services for APRDRG-092-2,,,"$24,087.00 "
All Inpatient Services for APRDRG-092-3,,,"$36,337.00 "
All Inpatient Services for APRDRG-092-4,,,"$85,329.00 "
All Inpatient Services for APRDRG-095-1,,,"$12,011.00 "
All Inpatient Services for APRDRG-095-2,,,"$14,200.00 "
All Inpatient Services for APRDRG-095-3,,,"$19,324.00 "
All Inpatient Services for APRDRG-095-4,,,"$44,674.00 "
All Inpatient Services for APRDRG-097-1,,,"$7,399.00 "
All Inpatient Services for APRDRG-097-2,,,"$10,641.00 "
All Inpatient Services for APRDRG-097-3,,,"$18,717.00 "
All Inpatient Services for APRDRG-097-4,,,"$59,573.00 "
All Inpatient Services for APRDRG-098-1,,,"$12,582.00 "
All Inpatient Services for APRDRG-098-2,,,"$17,234.00 "
All Inpatient Services for APRDRG-098-3,,,"$28,314.00 "
All Inpatient Services for APRDRG-098-4,,,"$64,425.00 "
All Inpatient Services for APRDRG-110-1,,,"$10,047.00 "
All Inpatient Services for APRDRG-110-2,,,"$12,913.00 "
All Inpatient Services for APRDRG-110-3,,,"$18,988.00 "
All Inpatient Services for APRDRG-110-4,,,"$40,640.00 "
All Inpatient Services for APRDRG-111-1,,,"$8,083.00 "
All Inpatient Services for APRDRG-111-2,,,"$9,341.00 "
All Inpatient Services for APRDRG-111-3,,,"$11,596.00 "
All Inpatient Services for APRDRG-111-4,,,"$24,471.00 "
All Inpatient Services for APRDRG-113-1,,,"$5,025.00 "
All Inpatient Services for APRDRG-113-2,,,"$7,369.00 "
All Inpatient Services for APRDRG-113-3,,,"$11,596.00 "
All Inpatient Services for APRDRG-113-4,,,"$27,083.00 "
All Inpatient Services for APRDRG-114-1,,,"$6,951.00 "
All Inpatient Services for APRDRG-114-2,,,"$9,829.00 "
All Inpatient Services for APRDRG-114-3,,,"$15,773.00 "
All Inpatient Services for APRDRG-114-4,,,"$36,274.00 "
All Inpatient Services for APRDRG-115-1,,,"$7,027.00 "
All Inpatient Services for APRDRG-115-2,,,"$9,993.00 "
All Inpatient Services for APRDRG-115-3,,,"$15,192.00 "
All Inpatient Services for APRDRG-115-4,,,"$33,684.00 "
All Inpatient Services for APRDRG-120-1,,,"$29,162.00 "
All Inpatient Services for APRDRG-120-2,,,"$36,642.00 "
All Inpatient Services for APRDRG-120-3,,,"$51,667.00 "
All Inpatient Services for APRDRG-120-4,,,"$95,191.00 "
All Inpatient Services for APRDRG-121-1,,,"$23,794.00 "
All Inpatient Services for APRDRG-121-2,,,"$30,794.00 "
All Inpatient Services for APRDRG-121-3,,,"$44,678.00 "
All Inpatient Services for APRDRG-121-4,,,"$85,512.00 "
All Inpatient Services for APRDRG-130-1,,,"$46,036.00 "
All Inpatient Services for APRDRG-130-2,,,"$48,538.00 "
All Inpatient Services for APRDRG-130-3,,,"$60,673.00 "
All Inpatient Services for APRDRG-130-4,,,"$88,580.00 "
All Inpatient Services for APRDRG-131-1,,,"$18,444.00 "
All Inpatient Services for APRDRG-131-2,,,"$23,705.00 "
All Inpatient Services for APRDRG-131-3,,,"$30,967.00 "
All Inpatient Services for APRDRG-131-4,,,"$45,072.00 "
All Inpatient Services for APRDRG-132-1,,,"$7,755.00 "
All Inpatient Services for APRDRG-132-2,,,"$8,324.00 "
All Inpatient Services for APRDRG-132-3,,,"$12,848.00 "
All Inpatient Services for APRDRG-132-4,,,"$24,791.00 "
All Inpatient Services for APRDRG-133-1,,,"$7,522.00 "
All Inpatient Services for APRDRG-133-2,,,"$12,427.00 "
All Inpatient Services for APRDRG-133-3,,,"$18,319.00 "
All Inpatient Services for APRDRG-133-4,,,"$35,988.00 "
All Inpatient Services for APRDRG-134-1,,,"$11,104.00 "
All Inpatient Services for APRDRG-134-2,,,"$14,156.00 "
All Inpatient Services for APRDRG-134-3,,,"$20,381.00 "
All Inpatient Services for APRDRG-134-4,,,"$38,769.00 "
All Inpatient Services for APRDRG-135-1,,,"$10,476.00 "
All Inpatient Services for APRDRG-135-2,,,"$13,411.00 "
All Inpatient Services for APRDRG-135-3,,,"$19,872.00 "
All Inpatient Services for APRDRG-135-4,,,"$41,514.00 "
All Inpatient Services for APRDRG-136-1,,,"$12,019.00 "
All Inpatient Services for APRDRG-136-2,,,"$13,767.00 "
All Inpatient Services for APRDRG-136-3,,,"$20,193.00 "
All Inpatient Services for APRDRG-136-4,,,"$35,986.00 "
All Inpatient Services for APRDRG-137-1,,,"$10,463.00 "
All Inpatient Services for APRDRG-137-2,,,"$13,724.00 "
All Inpatient Services for APRDRG-137-3,,,"$19,546.00 "
All Inpatient Services for APRDRG-137-4,,,"$36,172.00 "
All Inpatient Services for APRDRG-138-1,,,"$4,469.00 "
All Inpatient Services for APRDRG-138-2,,,"$6,550.00 "
All Inpatient Services for APRDRG-138-3,,,"$14,255.00 "
All Inpatient Services for APRDRG-138-4,,,"$38,930.00 "
All Inpatient Services for APRDRG-139-1,,,"$7,354.00 "
All Inpatient Services for APRDRG-139-2,,,"$10,483.00 "
All Inpatient Services for APRDRG-139-3,,,"$15,986.00 "
All Inpatient Services for APRDRG-139-4,,,"$32,232.00 "
All Inpatient Services for APRDRG-140-1,,,"$8,575.00 "
All Inpatient Services for APRDRG-140-2,,,"$10,658.00 "
All Inpatient Services for APRDRG-140-3,,,"$14,178.00 "
All Inpatient Services for APRDRG-140-4,,,"$29,300.00 "
All Inpatient Services for APRDRG-141-1,,,"$5,689.00 "
All Inpatient Services for APRDRG-141-2,,,"$8,292.00 "
All Inpatient Services for APRDRG-141-3,,,"$12,059.00 "
All Inpatient Services for APRDRG-141-4,,,"$25,325.00 "
All Inpatient Services for APRDRG-142-1,,,"$9,977.00 "
All Inpatient Services for APRDRG-142-2,,,"$12,109.00 "
All Inpatient Services for APRDRG-142-3,,,"$17,707.00 "
All Inpatient Services for APRDRG-142-4,,,"$35,580.00 "
All Inpatient Services for APRDRG-143-1,,,"$7,901.00 "
All Inpatient Services for APRDRG-143-2,,,"$11,129.00 "
All Inpatient Services for APRDRG-143-3,,,"$16,573.00 "
All Inpatient Services for APRDRG-143-4,,,"$30,653.00 "
All Inpatient Services for APRDRG-144-1,,,"$7,750.00 "
All Inpatient Services for APRDRG-144-2,,,"$9,454.00 "
All Inpatient Services for APRDRG-144-3,,,"$12,608.00 "
All Inpatient Services for APRDRG-144-4,,,"$22,399.00 "
All Inpatient Services for APRDRG-145-1,,,"$7,387.00 "
All Inpatient Services for APRDRG-145-2,,,"$9,073.00 "
All Inpatient Services for APRDRG-145-3,,,"$12,437.00 "
All Inpatient Services for APRDRG-145-4,,,"$23,883.00 "
All Inpatient Services for APRDRG-160-1,,,"$54,681.00 "
All Inpatient Services for APRDRG-160-2,,,"$62,083.00 "
All Inpatient Services for APRDRG-160-3,,,"$80,966.00 "
All Inpatient Services for APRDRG-160-4,,,"$154,699.00 "
All Inpatient Services for APRDRG-161-1,,,"$63,802.00 "
All Inpatient Services for APRDRG-161-2,,,"$83,347.00 "
All Inpatient Services for APRDRG-161-3,,,"$132,891.00 "
All Inpatient Services for APRDRG-161-4,,,"$372,087.00 "
All Inpatient Services for APRDRG-162-1,,,"$68,431.00 "
All Inpatient Services for APRDRG-162-2,,,"$82,724.00 "
All Inpatient Services for APRDRG-162-3,,,"$103,855.00 "
All Inpatient Services for APRDRG-162-4,,,"$171,587.00 "
All Inpatient Services for APRDRG-163-1,,,"$61,594.00 "
All Inpatient Services for APRDRG-163-2,,,"$71,581.00 "
All Inpatient Services for APRDRG-163-3,,,"$87,678.00 "
All Inpatient Services for APRDRG-163-4,,,"$149,920.00 "
All Inpatient Services for APRDRG-165-1,,,"$67,326.00 "
All Inpatient Services for APRDRG-165-2,,,"$73,553.00 "
All Inpatient Services for APRDRG-165-3,,,"$89,149.00 "
All Inpatient Services for APRDRG-165-4,,,"$136,806.00 "
All Inpatient Services for APRDRG-166-1,,,"$56,524.00 "
All Inpatient Services for APRDRG-166-2,,,"$62,934.00 "
All Inpatient Services for APRDRG-166-3,,,"$76,048.00 "
All Inpatient Services for APRDRG-166-4,,,"$121,794.00 "
All Inpatient Services for APRDRG-167-1,,,"$40,001.00 "
All Inpatient Services for APRDRG-167-2,,,"$44,987.00 "
All Inpatient Services for APRDRG-167-3,,,"$63,749.00 "
All Inpatient Services for APRDRG-167-4,,,"$118,311.00 "
All Inpatient Services for APRDRG-169-1,,,"$29,250.00 "
All Inpatient Services for APRDRG-169-2,,,"$36,881.00 "
All Inpatient Services for APRDRG-169-3,,,"$58,727.00 "
All Inpatient Services for APRDRG-169-4,,,"$112,646.00 "
All Inpatient Services for APRDRG-170-1,,,"$41,024.00 "
All Inpatient Services for APRDRG-170-2,,,"$41,314.00 "
All Inpatient Services for APRDRG-170-3,,,"$48,479.00 "
All Inpatient Services for APRDRG-170-4,,,"$86,860.00 "
All Inpatient Services for APRDRG-171-1,,,"$22,073.00 "
All Inpatient Services for APRDRG-171-2,,,"$27,975.00 "
All Inpatient Services for APRDRG-171-3,,,"$37,198.00 "
All Inpatient Services for APRDRG-171-4,,,"$68,024.00 "
All Inpatient Services for APRDRG-174-1,,,"$34,248.00 "
All Inpatient Services for APRDRG-174-2,,,"$36,490.00 "
All Inpatient Services for APRDRG-174-3,,,"$45,267.00 "
All Inpatient Services for APRDRG-174-4,,,"$76,040.00 "
All Inpatient Services for APRDRG-175-1,,,"$30,665.00 "
All Inpatient Services for APRDRG-175-2,,,"$34,226.00 "
All Inpatient Services for APRDRG-175-3,,,"$43,970.00 "
All Inpatient Services for APRDRG-175-4,,,"$86,218.00 "
All Inpatient Services for APRDRG-176-1,,,"$27,084.00 "
All Inpatient Services for APRDRG-176-2,,,"$44,313.00 "
All Inpatient Services for APRDRG-176-3,,,"$67,523.00 "
All Inpatient Services for APRDRG-176-4,,,"$121,776.00 "
All Inpatient Services for APRDRG-177-1,,,"$17,532.00 "
All Inpatient Services for APRDRG-177-2,,,"$23,529.00 "
All Inpatient Services for APRDRG-177-3,,,"$35,154.00 "
All Inpatient Services for APRDRG-177-4,,,"$67,814.00 "
All Inpatient Services for APRDRG-180-1,,,"$21,828.00 "
All Inpatient Services for APRDRG-180-2,,,"$26,345.00 "
All Inpatient Services for APRDRG-180-3,,,"$36,803.00 "
All Inpatient Services for APRDRG-180-4,,,"$68,032.00 "
All Inpatient Services for APRDRG-181-1,,,"$24,613.00 "
All Inpatient Services for APRDRG-181-2,,,"$33,188.00 "
All Inpatient Services for APRDRG-181-3,,,"$51,948.00 "
All Inpatient Services for APRDRG-181-4,,,"$102,763.00 "
All Inpatient Services for APRDRG-182-1,,,"$30,285.00 "
All Inpatient Services for APRDRG-182-2,,,"$35,678.00 "
All Inpatient Services for APRDRG-182-3,,,"$47,667.00 "
All Inpatient Services for APRDRG-182-4,,,"$90,036.00 "
All Inpatient Services for APRDRG-190-1,,,"$13,414.00 "
All Inpatient Services for APRDRG-190-2,,,"$14,832.00 "
All Inpatient Services for APRDRG-190-3,,,"$19,749.00 "
All Inpatient Services for APRDRG-190-4,,,"$38,584.00 "
All Inpatient Services for APRDRG-191-1,,,"$14,737.00 "
All Inpatient Services for APRDRG-191-2,,,"$17,051.00 "
All Inpatient Services for APRDRG-191-3,,,"$22,271.00 "
All Inpatient Services for APRDRG-191-4,,,"$45,440.00 "
All Inpatient Services for APRDRG-192-1,,,"$15,541.00 "
All Inpatient Services for APRDRG-192-2,,,"$19,043.00 "
All Inpatient Services for APRDRG-192-3,,,"$27,056.00 "
All Inpatient Services for APRDRG-192-4,,,"$55,249.00 "
All Inpatient Services for APRDRG-193-1,,,"$13,927.00 "
All Inpatient Services for APRDRG-193-2,,,"$18,552.00 "
All Inpatient Services for APRDRG-193-3,,,"$26,823.00 "
All Inpatient Services for APRDRG-193-4,,,"$48,107.00 "
All Inpatient Services for APRDRG-194-1,,,"$8,507.00 "
All Inpatient Services for APRDRG-194-2,,,"$10,896.00 "
All Inpatient Services for APRDRG-194-3,,,"$15,827.00 "
All Inpatient Services for APRDRG-194-4,,,"$32,088.00 "
All Inpatient Services for APRDRG-196-1,,,"$7,741.00 "
All Inpatient Services for APRDRG-196-2,,,"$8,827.00 "
All Inpatient Services for APRDRG-196-3,,,"$17,455.00 "
All Inpatient Services for APRDRG-196-4,,,"$47,810.00 "
All Inpatient Services for APRDRG-197-1,,,"$7,573.00 "
All Inpatient Services for APRDRG-197-2,,,"$10,293.00 "
All Inpatient Services for APRDRG-197-3,,,"$15,521.00 "
All Inpatient Services for APRDRG-197-4,,,"$35,571.00 "
All Inpatient Services for APRDRG-198-1,,,"$7,196.00 "
All Inpatient Services for APRDRG-198-2,,,"$8,542.00 "
All Inpatient Services for APRDRG-198-3,,,"$11,605.00 "
All Inpatient Services for APRDRG-198-4,,,"$37,610.00 "
All Inpatient Services for APRDRG-199-1,,,"$7,457.00 "
All Inpatient Services for APRDRG-199-2,,,"$9,180.00 "
All Inpatient Services for APRDRG-199-3,,,"$12,911.00 "
All Inpatient Services for APRDRG-199-4,,,"$34,172.00 "
All Inpatient Services for APRDRG-200-1,,,"$7,766.00 "
All Inpatient Services for APRDRG-200-2,,,"$9,614.00 "
All Inpatient Services for APRDRG-200-3,,,"$14,985.00 "
All Inpatient Services for APRDRG-200-4,,,"$35,948.00 "
All Inpatient Services for APRDRG-201-1,,,"$7,077.00 "
All Inpatient Services for APRDRG-201-2,,,"$9,271.00 "
All Inpatient Services for APRDRG-201-3,,,"$14,146.00 "
All Inpatient Services for APRDRG-201-4,,,"$31,638.00 "
All Inpatient Services for APRDRG-203-1,,,"$7,061.00 "
All Inpatient Services for APRDRG-203-2,,,"$8,569.00 "
All Inpatient Services for APRDRG-203-3,,,"$11,267.00 "
All Inpatient Services for APRDRG-203-4,,,"$18,822.00 "
All Inpatient Services for APRDRG-204-1,,,"$8,148.00 "
All Inpatient Services for APRDRG-204-2,,,"$9,651.00 "
All Inpatient Services for APRDRG-204-3,,,"$12,399.00 "
All Inpatient Services for APRDRG-204-4,,,"$23,912.00 "
All Inpatient Services for APRDRG-205-1,,,"$7,390.00 "
All Inpatient Services for APRDRG-205-2,,,"$9,674.00 "
All Inpatient Services for APRDRG-205-3,,,"$14,388.00 "
All Inpatient Services for APRDRG-205-4,,,"$40,082.00 "
All Inpatient Services for APRDRG-206-1,,,"$10,015.00 "
All Inpatient Services for APRDRG-206-2,,,"$10,598.00 "
All Inpatient Services for APRDRG-206-3,,,"$17,808.00 "
All Inpatient Services for APRDRG-206-4,,,"$37,927.00 "
All Inpatient Services for APRDRG-207-1,,,"$8,121.00 "
All Inpatient Services for APRDRG-207-2,,,"$10,641.00 "
All Inpatient Services for APRDRG-207-3,,,"$15,604.00 "
All Inpatient Services for APRDRG-207-4,,,"$35,272.00 "
All Inpatient Services for APRDRG-220-1,,,"$21,616.00 "
All Inpatient Services for APRDRG-220-2,,,"$30,235.00 "
All Inpatient Services for APRDRG-220-3,,,"$49,834.00 "
All Inpatient Services for APRDRG-220-4,,,"$103,017.00 "
All Inpatient Services for APRDRG-222-1,,,"$17,390.00 "
All Inpatient Services for APRDRG-222-2,,,"$22,545.00 "
All Inpatient Services for APRDRG-222-3,,,"$38,804.00 "
All Inpatient Services for APRDRG-222-4,,,"$85,862.00 "
All Inpatient Services for APRDRG-223-1,,,"$18,447.00 "
All Inpatient Services for APRDRG-223-2,,,"$24,240.00 "
All Inpatient Services for APRDRG-223-3,,,"$37,755.00 "
All Inpatient Services for APRDRG-223-4,,,"$84,821.00 "
All Inpatient Services for APRDRG-224-1,,,"$19,466.00 "
All Inpatient Services for APRDRG-224-2,,,"$25,258.00 "
All Inpatient Services for APRDRG-224-3,,,"$35,981.00 "
All Inpatient Services for APRDRG-224-4,,,"$77,917.00 "
All Inpatient Services for APRDRG-226-1,,,"$10,862.00 "
All Inpatient Services for APRDRG-226-2,,,"$14,766.00 "
All Inpatient Services for APRDRG-226-3,,,"$23,860.00 "
All Inpatient Services for APRDRG-226-4,,,"$48,987.00 "
All Inpatient Services for APRDRG-227-1,,,"$17,111.00 "
All Inpatient Services for APRDRG-227-2,,,"$22,089.00 "
All Inpatient Services for APRDRG-227-3,,,"$34,819.00 "
All Inpatient Services for APRDRG-227-4,,,"$72,278.00 "
All Inpatient Services for APRDRG-228-1,,,"$12,733.00 "
All Inpatient Services for APRDRG-228-2,,,"$16,688.00 "
All Inpatient Services for APRDRG-228-3,,,"$25,170.00 "
All Inpatient Services for APRDRG-228-4,,,"$59,030.00 "
All Inpatient Services for APRDRG-229-1,,,"$17,535.00 "
All Inpatient Services for APRDRG-229-2,,,"$23,469.00 "
All Inpatient Services for APRDRG-229-3,,,"$37,299.00 "
All Inpatient Services for APRDRG-229-4,,,"$82,315.00 "
All Inpatient Services for APRDRG-230-1,,,"$22,901.00 "
All Inpatient Services for APRDRG-230-2,,,"$28,943.00 "
All Inpatient Services for APRDRG-230-3,,,"$42,860.00 "
All Inpatient Services for APRDRG-230-4,,,"$89,019.00 "
All Inpatient Services for APRDRG-231-1,,,"$24,531.00 "
All Inpatient Services for APRDRG-231-2,,,"$30,370.00 "
All Inpatient Services for APRDRG-231-3,,,"$44,366.00 "
All Inpatient Services for APRDRG-231-4,,,"$91,381.00 "
All Inpatient Services for APRDRG-232-1,,,"$17,672.00 "
All Inpatient Services for APRDRG-232-2,,,"$20,837.00 "
All Inpatient Services for APRDRG-232-3,,,"$33,324.00 "
All Inpatient Services for APRDRG-232-4,,,"$81,654.00 "
All Inpatient Services for APRDRG-233-1,,,"$18,376.00 "
All Inpatient Services for APRDRG-233-2,,,"$18,384.00 "
All Inpatient Services for APRDRG-233-3,,,"$30,648.00 "
All Inpatient Services for APRDRG-233-4,,,"$62,754.00 "
All Inpatient Services for APRDRG-234-1,,,"$13,109.00 "
All Inpatient Services for APRDRG-234-2,,,"$18,286.00 "
All Inpatient Services for APRDRG-234-3,,,"$30,055.00 "
All Inpatient Services for APRDRG-234-4,,,"$60,577.00 "
All Inpatient Services for APRDRG-240-1,,,"$10,067.00 "
All Inpatient Services for APRDRG-240-2,,,"$13,244.00 "
All Inpatient Services for APRDRG-240-3,,,"$20,456.00 "
All Inpatient Services for APRDRG-240-4,,,"$41,490.00 "
All Inpatient Services for APRDRG-241-1,,,"$9,978.00 "
All Inpatient Services for APRDRG-241-2,,,"$13,098.00 "
All Inpatient Services for APRDRG-241-3,,,"$19,909.00 "
All Inpatient Services for APRDRG-241-4,,,"$54,089.00 "
All Inpatient Services for APRDRG-242-1,,,"$8,797.00 "
All Inpatient Services for APRDRG-242-2,,,"$11,428.00 "
All Inpatient Services for APRDRG-242-3,,,"$17,389.00 "
All Inpatient Services for APRDRG-242-4,,,"$46,780.00 "
All Inpatient Services for APRDRG-243-1,,,"$8,600.00 "
All Inpatient Services for APRDRG-243-2,,,"$10,681.00 "
All Inpatient Services for APRDRG-243-3,,,"$15,405.00 "
All Inpatient Services for APRDRG-243-4,,,"$37,510.00 "
All Inpatient Services for APRDRG-244-1,,,"$8,515.00 "
All Inpatient Services for APRDRG-244-2,,,"$10,969.00 "
All Inpatient Services for APRDRG-244-3,,,"$16,738.00 "
All Inpatient Services for APRDRG-244-4,,,"$39,881.00 "
All Inpatient Services for APRDRG-245-1,,,"$9,379.00 "
