CPT_Code,Procedure_Description,Cash_Price,Gross_Price
CPT® 70544,Hc Mra Head Wo/contrast,4856.05,4856.05
CPT® 70543,Hc Mri Neck W&wo/contrast,5434.05,5434.05
CPT® 70543,Hc Mri Face &/or Orbit W&wo/cont.,5434.05,5434.05
CPT® 71550,Hc Mri Chest Wo Contrast,4856.05,4856.05
CPT® 73218,Hc Mri Arm Non Joint Wo Cont.left,4898.55,4898.55
CPT® 73720,Hc Mri Leg W&wo/contrast Bilat,4856.05,4856.05
CPT® 70543,Hc Mri Brachial Plexus Wo&w/cont.,5070.25,5070.25
CPT® 73718,Hc Mri Leg Wo/contrast Bilat.,3807.15,3807.15
CPT® 73221,Hc Mri Wrist Left Wo/contrast,4856.05,4856.05
CPT® 73221,Hc Mri Elbow Left Wo/contrast,4856.05,4856.05
CPT® 73221,Hc Mri Shoulder Left Wo/contrast,4856.05,4856.05
CPT® 73221,Hc Mri Arm Any Jnt Wo/contr.bilat,4856.05,4856.05
CPT® 72148,Hc Mri Lumb Spine Wo Con,5391.55,5391.55
CPT® 73220,Hc Mri Arm W&wo/contrast Bilat,4856.05,4856.05
CPT® 73720,Hc Mri Leg Lt Non Joint W&wo/cont,4856.05,4856.05
CPT® 73218,Hc Mri Arm Wo Contrast Bilat,3390.65,3390.65
CPT® 72198,Hc Mra Pelvis,4856.05,4856.05
CPT® 72197,Hc Mri Pelvis W&wo/contrast,5446.8,5446.8
CPT® 72196,Hc Mri Pelvis W/contrast,4856.05,4856.05
CPT® 72195,Hc Mri Pelvis Wo/contrast,4920.65,4920.65
CPT® 72159,Hc Mra Spine,5391.55,5391.55
CPT® 72158,Hc Mri Lumb Sp W&wo Con,5392.4,5392.4
CPT® 72157,Hc Mri Thor W&wo Con,6140.4,6140.4
CPT® 73220,Hc Mri Arm Lt Non Joint W&wo/cont,4856.05,4856.05
CPT® 29105,Hc Apply Long Arm Splint Bilateral,1117.75,1117.75
CPT® 29131,"HC CAST FINGER, LEFT, 2ND DIGIT",346.8,346.8
CPT® 29131,HC APPLY FINGER SPLINT; DYNAMIC LEFT HAND 3RD DIGIT,346.8,346.8
CPT® 29130,Hc Apply Finger Splint; Static,301.75,301.75
CPT® 29125,Hc Apply Short Arm Splint; Static,1005.55,1005.55
CPT® 29125,Hc Apply Short Arm Splint; Static Left,1005.55,1005.55
CPT® 29125,Hc Apply Short Arm Splint; Static Bilateral,1374.45,1374.45
CPT® 29125,Hc Apply Short Arm Splint; Static Right,1005.55,1005.55
CPT® 29105,Hc Apply Long Arm Splint,515.1,515.1
CPT® 27840,Hc Closed Tx Ankle Dislocation W/o Anesthesia,835.55,835.55
CPT® 29105,Hc Apply Long Arm Splint Right,515.1,515.1
CPT® 29131,HC APPLY FINGER SPLINT; DYNAMIC RIGHT HAND THUMB,346.8,346.8
CPT® 29085,Hc Apply Gauntlet Cast,363.8,363.8
CPT® 29085,Hc Apply Gauntlet Cast Bilateral,535.5,535.5
CPT® 29085,Hc Apply Gauntlet Cast Right,363.8,363.8
CPT® 29085,Hc Apply Gauntlet Cast Left,363.8,363.8
CPT® 29055,Hc Apply Shoulder Spica,1997.5,1997.5
CPT® 29065,Hc Apply Long Arm Cast,742.05,742.05
CPT® 29075,Hc Apply Short Arm Cast,776.9,776.9
CPT® 77049,Hc Mri Breast With And Wo Contrast Bilateral,7034.6,7034.6
CPT® 29105,Hc Apply Long Arm Splint Left,515.1,515.1
CPT® 29305,Hc Apply Shoulder Cast Body To Hips,1419.5,1419.5
CPT® 29425,Hc Apply Walker Short Leg Cast Bilateral,1236.75,1236.75
CPT® 29425,Hc Apply Walker Short Leg Cast,1005.55,1005.55
CPT® 29405,Hc Apply Short Leg Cast Right,782.85,782.85
CPT® 29405,Hc Apply Short Leg Cast,782.85,782.85
CPT® 29405,Hc Apply Short Leg Cast Bilateral,1005.55,1005.55
CPT® 29345,Hc Apply Long Leg Cast Left,1189.15,1189.15
CPT® 29345,Hc Apply Long Leg Cast Right,1189.15,1189.15
CPT® 29355,Hc Apply Wlkr Lg Leg Cast,1056.55,1056.55
CPT® 29131,HC APPLY FINGER SPLINT; DYNAMIC LEFT HAND 4TH DIGIT,346.8,346.8
CPT® 29365,Hc Apply Cylinder Cast,782.85,782.85
CPT® 29131,HC APPLY FINGER SPLINT; DYNAMIC LEFT HAND 5TH DIGIT,346.8,346.8
CPT® 29260,Hc Strapping; Elbow Or Wrist,274.55,274.55
CPT® 29240,Hc Strapping; Shoulder,600.95,600.95
CPT® 29131,Hc Apply Finger Splint; Dynamic,346.8,346.8
CPT® 29131,HC APPLY FINGER SPLINT; DYNAMIC LEFT HAND THUMB,346.8,346.8
CPT® 29131,HC APPLY FINGER SPLINT; DYNAMIC RIGHT HAND 5TH DIGIT,346.8,346.8
CPT® 29131,HC APPLY FINGER SPLINT; DYNAMIC RIGHT HAND 4TH DIGIT,346.8,346.8
CPT® 29131,HC APPLY FINGER SPLINT; DYNAMIC RIGHT HAND 3RD DIGIT,346.8,346.8
CPT® 29131,HC APPLY FINGER SPLINT; DYNAMIC RIGHT HAND 2ND DIGIT,346.8,346.8
CPT® 26641,Hc Closed Tx Carpo/metacarpal Dislocation Thumb W/manj,2215.1,2215.1
CPT® 29345,Hc Apply Long Leg Cast Bilateral,1189.15,1189.15
CPT® 90700,Hc Dtap,137.7,137.7
CPT® J1670,Hc Tetanus Immune Globulin,867.85,867.85
CPT® 90736,Hc Zoster,446.25,446.25
CPT® 90734,"Hc Meningococcal Mcv4, Unspecified",815.15,815.15
CPT® 90732,Hc Pneumococcal Polysaccharide,493.85,493.85
CPT® 90723,Hc Dtap / Hep B / Ipv,657.05,657.05
CPT® 90716,Hc Varicella,677.45,677.45
CPT® 90715,Hc Tdap,252.45,252.45
CPT® 90714,Hc Td,158.95,158.95
CPT® 27860,Hc Manipulation Ankle Under General Anesthesia,589.05,589.05
CPT® 90707,Hc Mmr,197.2,197.2
CPT® 90634,"Hc Hep A Vaccine Pedi, 3 Dose, Im",192.95,192.95
CPT® 90696,Hc Dtap / Ipv,320.45,320.45
CPT® 90680,Hc Rotavirus Pentavalent,400.35,400.35
CPT® 90670,Hc Pneumococcal Conjugate 13-valent,1949.05,1949.05
CPT® 90651,Hc Hpv 9-valent,1014.9,1014.9
CPT® 90648,Hc Hib (prp-t),176.8,176.8
CPT® 90647,Hc Hib (prp-omp),105.4,105.4
CPT® 90620,"Hc Meningococcal B, Omv",422.45,422.45
CPT® 70542,Hc Mri Neck W/contrast,5874.35,5874.35
CPT® 90710,Hc Mmrv,1053.15,1053.15
CPT® 90688,Hc Flu Quadrivalent Im,1.7,1.7
CPT® 25624,Hc Closed Tx Carpal Scaphoid Fracture W/manj,1655.8,1655.8
CPT® 21110,Hc Ply Interdental Fixation Device,2425.05,2425.05
CPT® 20670,Hc Removal Of Fixation Device,940.1,940.1
CPT® M1145,"Hc Mfn Drug Add-on, Per Dose",0,0
CPT® 91301,Hc Moderna Covid-19 Vaccine,0,0
CPT® 91300,Hc Pfizer-biontech Covid-19 Vaccine,0,0
CPT® 90739,Hc Hepb Vaccine Adult 2 Dose Schedule For Im Use,635.375,635.375
CPT® 90653,Hc Trivalent Adjuvanted Age 65+ P=free (fluad),1.7,1.7
CPT® 90698,Hc Dtap / Hib / Ipv,598.4,598.4
CPT® 90685,"Hc Flu Quadrivalent Pediatric, P-free Im",1.7,1.7
CPT® 90633,"Hc Hep A Vaccine Pedi, 2 Dose, Im",206.55,206.55
CPT® 90672,Hc Flu Quadrivalent Intranasal (flumist),1.7,1.7
Custom 90674,Hc Flu Quadrivalent Mdck P-free Im (flucelvax P-free),1.7,1.7
CPT® 60686,Hc Flu Quadrivalent P-free Im,1.7,1.7
CPT® J2790,Hc Rho (d) Immune Globulin,535.5,535.5
CPT® 90713,Hc Ipv,197.2,197.2
CPT® 90746,Hc Hep B Vaccine 3 Dose Adult Im,376.55,376.55
CPT® 90744,"Hc Hep B, Adolescent Or Pediatric 3 Dose",153.85,153.85
CPT® 90743,"Hc Hep B, Adolescent Or Pediatric 2 Dose",143.65,143.65
CPT® 74185,Hc Mra Abdomen W/wo Contrast,4856.05,4856.05
CPT® 90682,"Hc Recombinant, Quadrivalent, P-free (flublok)",1.7,1.7
CPT® 68110,"Hc Excision Of Lesion, Conjunctiva (<= 1 Cm) - Os - Left Eye",367.2,367.2
CPT® 67966,"Hc Wedge Resection, Lid (> 1/4 Of Lid) - Od - Right Eye",7416.25,7416.25
CPT® 68815,Hc Nasolacrimal Duct Probing W Tube Insertion - Os - Left Eye,7416.25,7416.25
CPT® 68815,Hc Nasolacrimal Duct Probing W Tube Insertion - Od - Right Eye,7416.25,7416.25
CPT® 68700,Hc Repair Of Canaliculus - Bilat,11124.8,11124.8
CPT® 68700,Hc Repair Of Canaliculus - Os - Left Eye,7416.25,7416.25
CPT® 68700,Hc Repair Of Canaliculus - Od - Right Eye,7416.25,7416.25
CPT® 68440,"Hc Punctoplasty, Incisional - Bilat",1713.6,1713.6
CPT® 68440,"Hc Punctoplasty, Incisional - Os - Left Eye",1141.55,1141.55
CPT® 68840,Hc Canaliculi Probe - Od - Right Eye,7416.25,7416.25
CPT® 68110,"Hc Excision Of Lesion, Conjunctiva (<= 1 Cm) - Bilat",731.85,731.85
CPT® 68840,Hc Canaliculi Probe - Os - Left Eye,7416.25,7416.25
CPT® 68110,"Hc Excision Of Lesion, Conjunctiva (<= 1 Cm) - Od - Right Eye",5139.95,5139.95
CPT® 68100,"Hc Biopsy, Conjunctival - Os - Left Eye",7416.25,7416.25
CPT® 68100,"Hc Biopsy, Conjunctival - Od - Right Eye",7416.25,7416.25
CPT® 68020,"Hc I&d Of Conjunctiva, Drainage Of Cyst -bilat",4964.85,4964.85
CPT® 68020,"Hc I&d Of Conjunctiva, Drainage Of Cyst - Os - Left Eye",3310.75,3310.75
CPT® 68020,"Hc I&d Of Conjunctiva, Drainage Of Cyst - Od - Right Eye",3310.75,3310.75
CPT® 67966,"Hc Wedge Resection, Lid (> 1/4 Of Lid) -bilat",11124.8,11124.8
CPT® 70542,Hc Mri Face &/or Orbit W/contrast,5874.35,5874.35
CPT® 68440,"Hc Punctoplasty, Incisional - Od - Right Eye",1141.55,1141.55
CPT® 65800,"Hc Aspiration Of Aqueous, Diagnostic - Od - Right Eye",7865.9,7865.9
CPT® 66761,Hc Yag Iridectomy -bilat,3546.2,3546.2
CPT® 66761,Hc Dph Yag Iridotomy - Bilat,3546.2,3546.2
CPT® 66761,Hc Argon Iridotomy -  - Bilat,3546.2,3546.2
CPT® 66761,Hc Argon Iridectomy - Bilat,3546.2,3546.2
CPT® 65855,Hc Laser Trabeculoplasty Selective - Od - Right Eye,2363.85,2363.85
CPT® 65855,Hc Argon Trabeculoplasty - Od - Right Eye,2363.85,2363.85
CPT® 65855,Hc Laser Trabeculoplasty Selective - Os - Left Eye,2363.85,2363.85
CPT® 65855,Hc Argon Trabeculoplasty - Os - Left Eye,2363.85,2363.85
CPT® 68815,Hc Nasolacrimal Duct Probing W Tube Insertion - Bilat,11124.8,11124.8
CPT® 65800,"Hc Paracentesis Of Anterior Chamber, Diagnostic - Od - Right Eye",7865.9,7865.9
CPT® 67961,"Hc Wedge Resection, Lid (<= 1/4 Of Lid) - Bilat",11124.8,11124.8
CPT® 65800,"Hc Paracentesis Of Anterior Chamber, Diagnostic - Os - Left Eye",7865.9,7865.9
CPT® 65800,"Hc Aspiration Of Aqueous, Diagnostic - Os - Left Eye",7865.9,7865.9
CPT® 65800,"Hc Paracentesis Of Anterior Chamber, Diagnostic - Bilat",11799.7,11799.7
CPT® 65800,"Hc Aspiration Of Aqueous, Diagnostic - Bilat",11799.7,11799.7
CPT® 67031,Hc Yag Vitreolysis - Os - Left Eye,2045.1,2045.1
CPT® 67031,Hc Yag Vitreolysis - Od - Right Eye,2045.1,2045.1
CPT® 67500,"Hc Dph Retrobulbar Injection, Medication - Bilat",2384.505,2384.505
CPT® 68840,Hc Canaliculi Probe -bilat,11124.8,11124.8
CPT® 65855,Hc Laser Trabeculoplasty Selective - Bilat,3546.2,3546.2
CPT® 67880,"Hc Tarsorrhaphy, Permanent - Od - Right Eye",7416.25,7416.25
CPT® 67966,"Hc Wedge Resection, Lid (> 1/4 Of Lid) - Os - Left Eye",7416.25,7416.25
CPT® 67908,Hc Conjunctivo-tarso-meullers Levator Resec - Od - Right Eye,7416.25,7416.25
CPT® 67904,"Hc Levator Advancement, Ptosis Repair, External -bilat",11124.8,11124.8
CPT® 67904,"Hc Levator Advancement, Ptosis Repair, External - Os - Left Eye",7416.25,7416.25
CPT® 67904,"Hc Levator Advancement, Ptosis Repair, External - Od - Right Eye",7416.25,7416.25
CPT® 67903,"Hc Levator Advancement, Ptosis Repair, Internal - Bilat",11124.8,11124.8
CPT® 67903,"Hc Levator Advancement, Ptosis Repair, Internal - Os - Left Eye",7416.25,7416.25
CPT® 67903,"Hc Levator Advancement, Ptosis Repair, Internal - Od - Right Eye",7416.25,7416.25
CPT® 67908,Hc Conjunctivo-tarso-meullers Levator Resec - Bilat,11124.8,11124.8
CPT® 67880,"Hc Tarsorrhaphy, Permanent - Os - Left Eye",7416.25,7416.25
CPT® 67908,"Hc Putterman, Ptosis Repair - Od - Right Eye",7416.25,7416.25
CPT® 67141,"Hc Repair Retinal Breaks, Cryotherapy - Bilat",1713.6,1713.6
CPT® 67141,"Hc Repair Retinal Breaks, Cryotherapy - Os - Left Eye",1141.55,1141.55
CPT® 67141,"Hc Repair Retinal Breaks, Cryotherapy - Od - Right Eye",1141.55,1141.55
CPT® 67141,"Hc Prophylaxis Of Retinal Detachment, Cryo - Bilat",1713.6,1713.6
CPT® 67141,"Hc Prophylaxis Of Retinal Detachment, Cryo - Os - Left Eye",1141.55,1141.55
CPT® 67141,"Hc Prophylaxis Of Retinal Detachment, Cryo - Od - Right Eye",1141.55,1141.55
CPT® 67105,"Hc Repair Retinal Detach, Photocoag - Bilat",3274.2,3274.2
CPT® 67105,"Hc Repair Retinal Detach, Photocoag - Os - Left Eye",2182.8,2182.8
CPT® 67880,"Hc Tarsorrhaphy, Permanent - Bilat",11124.8,11124.8
CPT® 67921,"Hc Entropion Repair, Suture - Od - Right Eye",12580,12580
CPT® 67961,"Hc Wedge Resection, Lid (<= 1/4 Of Lid) - Os - Left Eye",7416.25,7416.25
CPT® 67961,"Hc Wedge Resection, Lid (<= 1/4 Of Lid) - Od - Right Eye",7416.25,7416.25
CPT® 67930,"Hc Repair Wound, Eyelid, Partial Thickness - Bilat",11124.8,11124.8
CPT® 67930,"Hc Repair Wound, Eyelid, Partial Thickness - Os - Left Eye",7416.25,7416.25
CPT® 67930,"Hc Repair Wound, Eyelid, Partial Thickness - Od - Right Eye",7416.25,7416.25
CPT® 67923,"Hc Entropion Repair, Tarsal Wedge Excision - Bilat",11124.8,11124.8
CPT® 67923,"Hc Entropion Repair, Tarsal Wedge Excision - Os - Left Eye",7416.25,7416.25
CPT® 67923,"Hc Entropion Repair, Tarsal Wedge Excision - Od - Right Eye",7416.25,7416.25
CPT® 67908,Hc Conjunctivo-tarso-meullers Levator Resec - Os - Left Eye,7416.25,7416.25
CPT® 67921,"Hc Entropion Repair, Suture - Os - Left Eye",12580,12580
CPT® 66761,Hc Yag Iridotomy - Os - Left Eye,2363.85,2363.85
CPT® 67917,Hc Lateral Tarsal Strip - Bilat,11124.8,11124.8
CPT® 67917,Hc Lateral Tarsal Strip - Os - Left Eye,7416.25,7416.25
CPT® 67917,Hc Lateral Tarsal Strip - Od - Right Eye,7416.25,7416.25
CPT® 67916,"Hc Ectropion Repair, Tarsal Wedge Excision - Bilat",11124.8,11124.8
CPT® 67916,"Hc Ectropion Repair, Tarsal Wedge Excision - Os - Left Eye",7416.25,7416.25
CPT® 67916,"Hc Ectropion Repair, Tarsal Wedge Excision - Od - Right Eye",7416.25,7416.25
CPT® 67908,"Hc Putterman, Ptosis Repair - Bilat",11124.8,11124.8
CPT® 67908,"Hc Putterman, Ptosis Repair - Os - Left Eye",7416.25,7416.25
CPT® 67921,"Hc Entropion Repair, Suture - Bilat",18854.7,18854.7
CPT® 92285,Hc Non-mydriatic Color Photography - Od - Right Eye,252.45,252.45
CPT® 66761,Hc Argon Iridectomy - Os - Left Eye,2363.85,2363.85
CPT® 64643,Hc Chemodener Addl 1 Ext 1-4 Muscle,391,391
CPT® 64642,Hc Chemodenerv 1 Ext 1-4 Muscles,2767.6,2767.6
CPT® 10004,Hc Fna Each Addl Lesion Without Guidance,479.4,479.4
CPT® 10021,Hc Fna Without Imaging 1st Lesion,410.55,410.55
CPT® 67805,"Hc Excision Of Chalazion, Multiple, Different Lids - Os - Left Eye",1589.5,1589.5
CPT® 67805,"Hc Excision Of Chalazion, Multiple, Different Lids - Od - Right Eye",1589.5,1589.5
CPT® 67801,"Hc Excision Of Chalazion, Multiple, Same Lid - Os - Left Eye",3737.45,3737.45
CPT® 10004,Hc Fna Bx W/o Img Gdn Ea Addl,479.4,479.4
CPT® 92285,Hc Slit Lamp Photography - Od - Right Eye,252.45,252.45
CPT® 95806,Hc Portable Sleep Study,716.55,716.55
CPT® 92285,Hc External Photography - Od - Right Eye,252.45,252.45
CPT® 92285,Hc Slit Lamp Photography - Os - Left Eye,252.45,252.45
CPT® 92285,Hc Non-mydriatic Color Photography - Os - Left Eye,252.45,252.45
CPT® 92285,Hc External Photography - Os - Left Eye,252.45,252.45
CPT® 92285,Hc Slit Lamp Photography Bilat,255.85,255.85
CPT® 92285,Hc Non-mydriatic Color Photography - Bilat,255.85,255.85
CPT® 92285,Hc External Photography -bilat,130.05,130.05
CPT® 68810,Hc Nasolacrimal Duct Probing - Od - Right Eye,1589.5,1589.5
CPT® 67801,"Hc Excision Of Chalazion, Multiple, Same Lid - Od - Right Eye",3737.45,3737.45
CPT® 72198,Hc Dph Mra Pelvis With And Without Contrast,1176.4,1176.4
CPT® 70542,Hc Mri Brachial Plexus W/cont.,4065.55,4065.55
CPT® 29505,Hc Apply Long Leg Splint Left,515.1,515.1
CPT® 70540,Hc Mri Neck Wo Contrast,4856.05,4856.05
CPT® 70336,Hc Mri Temp Mandibular Jts Bilat.,5025.2,5025.2
CPT® 19287,Hc Mri Rt Clip Breast,1910.8,1910.8
CPT® 19287,Hc Dph Bi Mri Clip Left,1910.8,1910.8
CPT® 70557,Hc Dph Mri Brain Open Cranial Wo Contrast,599.25,599.25
CPT® 70559,Hc Dph Mri Brain Open Cranial W Wo Contrast,651.95,651.95
CPT® 64644,Hc Chemodenerv 1 Ext 5 Or More Muscle,1729.75,1729.75
CPT® 72159,Hc Dph Mra Spine With And Without Contrast,651.95,651.95
CPT® 67875,"Hc Tarsorrhaphy, Temporary - Od - Right Eye",3737.45,3737.45
CPT® 73725,Hc Mra Lower Extremity With And Without Contrast Rt,1176.4,1176.4
CPT® 73725,Hc Mra Lower Extremity With And Without Contrast Lt,1176.4,1176.4
CPT® 71555,Hc Dph Mra Chest With & Without Contrast,1176.4,1176.4
CPT® 73225,Hc Mra Arm Right With And Without Contrast,4856.05,4856.05
CPT® 73225,Hc Mra Arm Left With And Without Contrast,4856.05,4856.05
CPT® 10012,Hc Fna Bx W/mr Gdn Ea Addl,884.85,884.85
CPT® 10011,Hc Fna Bx W/mr Gdn 1st Les,1768.85,1768.85
CPT® 95250,Hc Cgm Set-up,345.1,345.1
CPT® 70558,Hc Dph Mri Brain Open Cranial W Contrast,651.95,651.95
CPT® 66762,Hc Laser Iridoplasty - Od - Right Eye,923.95,923.95
CPT® 67110,Hc Pneumatic Retinopexy - Bilat,11734.25,11734.25
CPT® 67015,Hc Vitreous Tap - Od - Right Eye,9338.1,9338.1
CPT® 67015,Hc Vitreous Tap - Os - Left Eye,9338.1,9338.1
CPT® 67015,Hc Vitreous Tap - Bilat,14007.15,14007.15
CPT® 66821,Hc Laser Membranotomy - Od - Right Eye,2363.85,2363.85
CPT® 66821,Hc Yag Capsulotomy - Od - Right Eye,2363.85,2363.85
CPT® 66821,Hc Laser Membranotomy - Os - Left Eye,2363.85,2363.85
CPT® 66821,Hc Yag Capsulotomy - Os - Left Eye,2363.85,2363.85
CPT® 68810,Hc Nasolacrimal Duct Probing - Os - Left Eye,1589.5,1589.5
CPT® 66821,Hc Yag Capsulotomy - Bilat,3546.2,3546.2
CPT® 67145,Hc Prophylaxis Of Retinal Detachment -bilat,2997.1,2997.1
CPT® 66762,Hc Laser Iridoplasty - Os - Left Eye,923.95,923.95
CPT® 66762,Hc Laser Iridoplasty - Bilat,1386.35,1386.35
CPT® 66761,Hc Yag Iridectomy - Od - Right Eye,2363.85,2363.85
CPT® 66761,Hc Yag Iridotomy - Od - Right Eye,2363.85,2363.85
CPT® 66761,Hc Argon Iridotomy - Od - Right Eye,2363.85,2363.85
CPT® 66761,Hc Argon Iridectomy - Od - Right Eye,2363.85,2363.85
CPT® 66761,Hc Yag Iridectomy - Os - Left Eye,2363.85,2363.85
CPT® 29425,Hc Apply Walker Short Leg Cast Right,1005.55,1005.55
CPT® 66821,Hc Laser Membranotomy - Bilat,3546.2,3546.2
CPT® 67220,"Hc Destroy Choroid Lesion, Photocoag - Bilat",2997.1,2997.1
CPT® 66761,Hc Argon Iridotomy - Os - Left Eye,2363.85,2363.85
CPT® 67875,"Hc Tarsorrhaphy, Temporary - Os - Left Eye",3737.45,3737.45
CPT® 67875,"Hc Tarsorrhaphy, Temporary -bilat",5606.6,5606.6
CPT® 67800,Hc Excision Of Chalazion Bilat,5606.6,5606.6
CPT® 67800,Hc Excision Of Chalazion Left,3737.45,3737.45
CPT® 67800,Hc Excision Of Chalazion Right,3737.45,3737.45
CPT® 67500,"Hc Dph Retrobulbar Injection, Medication - Os - Left Eye",1095.65,1095.65
CPT® 67500,"Hc Dph Retrobulbar Injection, Medication - Od - Right Eye",1095.65,1095.65
CPT® 67110,Hc Pneumatic Retinopexy - Os - Left Eye,7822.55,7822.55
CPT® 67220,"Hc Destroy Choroid Lesion, Photocoag - Os - Left Eye",1997.5,1997.5
CPT® 67110,Hc Pneumatic Retinopexy - Od - Right Eye,7822.55,7822.55
CPT® 67210,Hc Focal Laser - Od - Right Eye,1997.5,1997.5
CPT® 67210,Hc Focal Laser - Os - Left Eye,1997.5,1997.5
CPT® 67210,Hc Focal Laser - Bilat,2997.1,2997.1
CPT® 67145,"Hc Repair Retinal Breaks, Laser - Od - Right Eye",1997.5,1997.5
CPT® 67145,"Hc Prophylaxis Of Retinal Detachment, Laser - Od - Right Eye",1997.5,1997.5
CPT® 67145,"Hc Repair Retinal Breaks, Laser - Os - Left Eye",1997.5,1997.5
CPT® 67145,"Hc Prophylaxis Of Retinal Detachment, Laser - Os - Left Eye",1997.5,1997.5
