Charge Number,Procedure Name,Procedure Code (CPT/HCPCS),Default Modifier,Gross Charge,Discounted Cash Charge ,Hospital Inpatient / Outpatient / Both
J7620250,"ALBUTRL TO 2.5MG&IPRATROPIUM BR TO.5MG,F",J7620,, $0.43 , $0.25 ,Both
82075,ALCOHOL (ETHANOL); BREATH,82075,, $90.00 , $52.20 ,Both
80320,ALCOHOLS,80320,, $85.00 , $49.30 ,Both
80408,ALDESTERONE SUPRESSION EVALUATION PANEL,80408,, $376.00 , $218.08 ,Both
82088,ALDOSTERONE,82088,, $122.00 , $70.76 ,Both
80323,"ALKALOIDS, NOT OTHERWISE SPECIFIED",80323,, $85.00 , $49.30 ,Both
86003,"ALLERGEN SPEC IGE; QUANTITATIVE OR SEMIQUANT, CRUDE EXTRCT, EA",86003,, $16.00 , $9.28 ,Both
86005,"ALLERGEN SPECIFIC IGE; QUALITATIVE, MULTIALLERGN SCREEN",86005,, $24.00 , $13.92 ,Both
86001,ALLERGENSPECIFIC IGG,86001,, $23.00 , $13.34 ,Both
95018,"ALLERGY TESTING, BIOLOGICALS, SPEC # OF TESTS",95018,, $75.00 , $43.50 ,Both
95017,"ALLERGY TESTING, VENOMS, SPEC # OF TESTS",95017,, $30.00 , $17.40 ,Both
82105,ALPHA - FETOPROTEIN SERUM,82105,, $50.00 , $29.00 ,Both
82104,ALPHA -1 AMTITRYPSIA PHENOTYPE,82104,, $43.00 , $24.94 ,Both
82103,ALPHA -1 ANTITRYPSIN TOTAL,82103,, $40.00 , $23.20 ,Both
82106,ALPHA-FETOPROTEIN AMNIOTIC FLUID,82106,, $51.00 , $29.58 ,Both
J2997636,"ALTEPLASE RECOMBINANT, PER 1 MG, FAC FEE",J2997,, $109.67 , $63.61 ,Both
M010223162,"ALTRX, LINER, 32 X 48MM, NEUTRAL, POLY (122132048)",C1776,, $777.00 , $450.66 ,Both
M010227460,"ALTRX, LINER, 32 X 50MM, NEUTRAL, POLY (122132050)",C1776,, $777.00 , $450.66 ,Both
M010223455,"ALTRX, LINER, 36 X 54MM, NEUTRAL, POLY (122136054)",C1776,, $777.00 , $450.66 ,Both
M010136047,"ALTRX, LINER, 36 X 56MM, NEUTRAL, POLY (122136056)",C1776,, $777.00 , $450.66 ,Both
M010136056,"ALTRX, LINER, 36 X 58MM, NEUTRAL, POLY (122136058)",C1776,, $875.00 , $507.50 ,Both
M010231104,"ALTRX, LINER, 52MM, NEUTRAL, POLY (122136052)",C1776,, $777.00 , $450.66 ,Both
82108,ALUMINUM CHEMISTRY,82108,, $76.00 , $44.08 ,Both
80150,AMIKACIN,80150,, $45.00 , $26.10 ,Both
82120,"AMINES, VAGINAL FLUID",82120,, $18.00 , $10.44 ,Both
82131,AMINO ACIDS FRACTIONATION QUANTITATION,82131,, $69.00 , $40.02 ,Both
82128,AMINO ACIDS QUALITATIVE,82128,, $42.00 , $24.36 ,Both
82136,"AMINO ACIDS, 2 TO 5, QUANTITATIVE, EACH",82136,, $59.00 , $34.22 ,Both
82139,"AMINO ACIDS, 6 OR MORE, QUANTITATIVE, EA",82139,, $51.00 , $29.58 ,Both
82127,"AMINO ACIDS, SINGLE, QUALITATIVE, EACH",82127,, $43.00 , $24.94 ,Both
82135,AMINOLEVULNIC ACID (ALA),82135,, $49.00 , $28.42 ,Both
J0280250,AMINOPHYLLINE UP TO 250 MG,J0280,, $17.83 , $10.34 ,Both
J0282636,AMIODARONE PER 30 MG,J0282,, $9.95 , $5.77 ,Both
82143,AMNIOTIC FLUID SCAN (SPECTROPHOTMETRIC),82143,, $28.00 , $16.24 ,Both
80324,AMPHETAMINES; 1 OR 2,80324,, $85.00 , $49.30 ,Both
80325,AMPHETAMINES; 3 OR 4,80325,, $166.00 , $96.28 ,Both
J0285636,"AMPHOTERICIN B,50MG,INJ",J0285,, $54.45 , $31.58 ,Both
J0290250,"AMPICILLIN SOD, TO 500 MG OMNIPEN, FAC FEE",J0290,, $4.66 , $2.70 ,Both
J0295250,"AMPICILLIN SODIUM/SULBACT SODM,1.5G, FAC FEE",J0295,, $2.83 , $1.64 ,Both
80329,"ANALGESICS, NON-OPIOID; 1 OR 2",80329,, $85.00 , $49.30 ,Both
M0201792,ANCHOR PEEK PUSH LOCK HIP 3.5 X 14MM,C1713,, $595.00 , $345.10 ,Both
PC101621,ANCHOR PUSH LOCK 4.5 X 18.5MM,C1713,, $595.00 , $345.10 ,Both
PC106006,"ANCHOR, ACTIVE, N300, SET OF 2 (ACCK5300)",C1713,, $506.00 , $293.48 ,Both
PC104650,"ANCHOR, BIO, CROSSFT, 5.5MM W/ THREE #2 HIFI SUTUR(CFBC-5503",C1713,, $605.50 , $351.19 ,Both
M010744527,"ANCHOR, BIOCOMP SWIVELOCK, TENODESIS,8 X 12MM(AR-1662BCS-812)",C1713,, $708.75 , $411.08 ,Both
M010272560,"ANCHOR, BIOCOMPOSITE SWIVELOCK SP, 5.5 X 24.5MM (AR-2323BCM)",C1713,, $672.00 , $389.76 ,Both
PC104441,"ANCHOR, BIO-SWIVELOCK C, CLOSED EYE, 4.75 X19.1MM(AR-2324BCC",C1713,, $700.00 , $406.00 ,Both
PC107059,"ANCHOR, BONE, W/ARTHROSCOPIC DELIVERY SYSTEM, 3/PK (4403)",C1713,, $975.00 , $565.50 ,Both
PC104645,"ANCHOR, CORKSCREW FT,PEEK,5.5X14.7MM,W/3 #2FBRW(AR-1927PSF-3)",C1713,, $420.00 , $243.60 ,Both
PC105221,"ANCHOR, CORKSCREW, FT, 2.2X4MM, MICRO, W/4-0 FW(AR-1318FT-40)",C1713,, $570.00 , $330.60 ,Both
PC103366,"ANCHOR, CORKSCREW, FT, 2.7 X 7MM, MINI (AR-1319FT)",C1713,, $570.00 , $330.60 ,Both
PC107069,"ANCHOR, CROSSFT, 4.75MM, KNOTLESS DT (CFK-475DT)",C1713,, $713.44 , $413.80 ,Both
M010735975,"ANCHOR, GRYPHON P, BR, DS, W/ DYNACORD (210121)",C1713,, $402.80 , $233.62 ,Both
M010735977,"ANCHOR, GRYPHON P, PEEK, DS, W/ DYNACORD (210123)",C1713,, $402.80 , $233.62 ,Both
M010735976,"ANCHOR, GRYPHON P, PEEK, W/ DYNACORD (210122)",C1713,, $402.80 , $233.62 ,Both
M010689844,"ANCHOR, HEALIX ADVANCE PEEK, 4.5MM, 3 SUT, W/DYNACORD(222029)",C1713,, $927.00 , $537.66 ,Both
PC106705,"ANCHOR, HEALIX ADVANCE PEEK, 4.5MM, W/ DYNACORD (222028)",C1713,, $873.00 , $506.34 ,Both
PC106848,"ANCHOR, HEALIX ADVANCE PEEK, 5.5MM, 3 SUT, W/DYNACORD(222033)",C1713,, $927.00 , $537.66 ,Both
M010735987,"ANCHOR, HEALIX ADVANCE PEEK, 5.5MM, W/DYNACORD (222032)",C1713,, $434.00 , $251.72 ,Both
PC101656,"ANCHOR, PEEK PUSH LOCK, HIP, 3.5 X 14MM(AR-1926PHS",C1713,, $595.00 , $345.10 ,Both
M0213380,"ANCHOR, POPLOK, 4.5MM (CKP-4500)",C1713,, $614.25 , $356.27 ,Both
M0201918,"ANCHOR, PUSH LOCK, 4.5 X 18.5MM",C1713,, $595.00 , $345.10 ,Both
M010682738,"ANCHOR, REGENETEN, BONE, 3/PK, W/ ARTHROSC DEL SYS (2503-A)",C1713,, $975.00 , $565.50 ,Both
PC103139,"ANCHOR, SUTURE, 1.0MM, JUGGERKNOT, W/ 2-0 MAXBRAID (912076)",C1713,, $764.75 , $443.56 ,Both
PC103633,"ANCHOR, SUTURE, 1.0MM, W/ 3-0 MAXBRAID, JUGGERKNOT (912082)",C1713,, $576.00 , $334.08 ,Both
PC104779,"ANCHOR, SUTURE, 1.8MM, Q-FIX (25-1800)",C1713,, $440.00 , $255.20 ,Both
M010509708,"ANCHOR, SUTURE, 2.8MM, Q-FIX (25-2800)",C1713,, $440.00 , $255.20 ,Both
M010704706,"ANCHOR, SUTURE, FIBERTAK DX, W/1.3MM FBRWR SUT TAP(AR-8990ST)",C1713,, $682.50 , $395.85 ,Both
M010745294,"ANCHOR, SUTURE, FIBERTAK, BICEPS, SYS, W/ACCESSORIES(AR-3670)",C1713,, $937.50 , $543.75 ,Both
M010678181,"ANCHOR, SUTURE, FIBERTAK, KNOTLESS (AR-3638)",C1713,, $691.25 , $400.93 ,Both
PC105717,"ANCHOR, SUTURE, FIBERTAK, W/ TWO #2 FIBERWIRE CL (AR-3600-2)",C1713,, $595.00 , $345.10 ,Both
PC107034,"ANCHOR, SUTURE,FIBERSTITCH,CVD,W/2-0 FBRWR,2 POLY IM(AR-4570)",C1713,, $866.25 , $502.43 ,Both
M010310906,"ANCHOR, SWIVELOCK C, PEEK, 3.5 X 15.8MM (AR-2325PSLC)",C1713,, $528.06 , $306.27 ,Both
PC103362,"ANCHOR, SWIVELOCK C, PEEK, 4.75 X 19.1MM (AR-2324PSLC)",C1713,, $528.50 , $306.53 ,Both
PC103202,"ANCHOR, SWIVELOCK C, PEEK, 5.5 X 19.1MM (AR-2323PSLC)",C1713,, $528.50 , $306.53 ,Both
PC106672,"ANCHOR, SWIVELOCK SP, PEEK, 5.5 X 24.5MM (AR-2323PSLM)",C1713,, $700.00 , $406.00 ,Both
PC105716,"ANCHOR,SWVLCK C,PEEK,4.75X19.1MM,CLSD EY,W/TGRTP(AR-2324PCTT)",C1713,, $602.44 , $349.42 ,Both
82154,ANDROSTANEDIOL GLUCURONIDE,82154,, $86.00 , $49.88 ,Both
82157,ANDROSTENEDIONE,82157,, $88.00 , $51.04 ,Both
82160,ANDROSTERONE,82160,, $77.00 , $44.66 ,Both
J0330250,ANECTINE  (SUCCINYLCHOLINE) UP TO 20MG,J0330,, $2.75 , $1.60 ,Both
75898,ANGIOGRAM F/U,75898,TC, $178.00 , $103.24 ,Both
75733,ANGIOGRAPHY ADRENAL BILATERAL SELECTIVE,75733,TC, $451.00 , $261.58 ,Both
75731,ANGIOGRAPHY ADRENAL UNILATERAL SELECTIVE,75731,TC, $426.00 , $247.08 ,Both
75716,ANGIOGRAPHY EXTREMITY BILATERAL,75716,TC, $318.00 , $184.44 ,Both
75710,ANGIOGRAPHY EXTREMITY UNILATERAL,75710,TC, $312.00 , $180.96 ,Both
75756,ANGIOGRAPHY MAMARY INTERNAL,75756,TC, $433.00 , $251.14 ,Both
75743,ANGIOGRAPHY PULMONARY BILATERAL SELECT I,75743,TC, $324.00 , $187.92 ,Both
75746,ANGIOGRAPHY PULMONARY NONSELECT CATHETER,75746,TC, $357.00 , $207.06 ,Both
75741,ANGIOGRAPHY PULMONARY UNILATERAL SELECT,75741,TC, $320.00 , $185.60 ,Both
75774,ANGIOGRAPHY SELECTIVE EACH ADD VESSEL,75774,TC, $237.00 , $137.46 ,Both
75705,ANGIOGRAPHY SPINE SELECTIVE,75705,TC, $540.00 , $313.20 ,Both
75726,ANGIOGRAPHY VISCERAL SELECTIVE SUPRASELE,75726,TC, $346.00 , $200.68 ,Both
75736,"ANGIOGRAPHY, PELVIC, SELECTIVE OR SUPRAS",75736,TC, $387.00 , $224.46 ,Both
82164,ANGIOTENSIN I (ACE),82164,, $44.00 , $25.52 ,Both
82163,ANGIOTENSINS II,82163,, $62.00 , $35.96 ,Both
87003,ANIMAL INOCULATION SMALL W DISSECTION,87003,, $50.00 , $29.00 ,Both
86671,ANTIBDOY FUNGUS UNSPECIFIED ELSEWHERE,86671,, $37.00 , $21.46 ,Both
86674,ANTIBDOY GIARDIA LAMBIA,86674,, $44.00 , $25.52 ,Both
86602,ANTIBODY ACTONOMYCES,86602,, $31.00 , $17.98 ,Both
86603,ANTIBODY ADENOVIRUS,86603,, $39.00 , $22.62 ,Both
86606,ANTIBODY ASPERGILLUS,86606,, $45.00 , $26.10 ,Both
86609,ANTIBODY BACTERIUM UNSPECIFIED ELSEWHERE,86609,, $39.00 , $22.62 ,Both
86612,ANTIBODY BLASTOMYCES,86612,, $39.00 , $22.62 ,Both
86615,ANTIBODY BORDETELLA,86615,, $40.00 , $23.20 ,Both
86618,ANTIBODY BORELLIA BUFGDORFEN (LYME),86618,, $51.00 , $29.58 ,Both
86619,ANTIBODY BORRELIA RELAPSING FEVER,86619,, $40.00 , $23.20 ,Both
86622,ANTIBODY BRUCELLA,86622,, $27.00 , $15.66 ,Both
86625,ANTIBODY CAMPYLOBACTER,86625,, $39.00 , $22.62 ,Both
86628,ANTIBODY CANDIDA,86628,, $36.00 , $20.88 ,Both
86635,ANTIBODY COCCIDIOSDES,86635,, $34.00 , $19.72 ,Both
86638,ANTIBODY COXIELLA BRUNETTI (Q FEVER),86638,, $36.00 , $20.88 ,Both
86641,ANTIBODY CRYPTOCOCCUS,86641,, $43.00 , $24.94 ,Both
86644,ANTIBODY CYTOMEGALOVIRUS (CMV),86644,, $43.00 , $24.94 ,Both
86645,ANTIBODY CYTOMEGALOVIRUS (CMV) LGM,86645,, $50.00 , $29.00 ,Both
86648,ANTIBODY DIPTHERIA,86648,, $46.00 , $26.68 ,Both
86860,ANTIBODY ELUTION RBC EA ELUTION,86860,, $115.00 , $66.70 ,Both
86651,ANTIBODY ENCEPHALITIS CALIFORNIA,86651,, $40.00 , $23.20 ,Both
86652,ANTIBODY ENCEPHALITIS EASTERN EQUINE,86652,, $40.00 , $23.20 ,Both
86653,ANTIBODY ENCEPHALITIS ST LOUIS,86653,, $40.00 , $23.20 ,Both
86654,ANTIBODY ENCEPHALITIS WESTERN EQUINE,86654,, $40.00 , $23.20 ,Both
86658,ANTIBODY ENTEROVIRUS,86658,, $39.00 , $22.62 ,Both
86668,ANTIBODY FRANCISELLA TULARENSIS,86668,, $42.00 , $24.36 ,Both
86677,ANTIBODY HELICOBACTER PYLORI,86677,, $50.00 , $29.00 ,Both
86682,ANTIBODY HELMINTH UNSPEICIFIED ELSEWHERE,86682,, $39.00 , $22.62 ,Both
86828,ANTIBODY HLA CLASS I & CLASS II ANTIGENS QUAL,86828,, $192.00 , $111.36 ,Both
86832,ANTIBODY HLA CLASS I HIGH DEFINITION PANEL QUAL,86832,, $970.00 , $562.60 ,Both
