 PROCEDURE DESCRIPTION , PRICE , REVENUE CODE , CPT CODE , ALTERNATE CPT HCPC , CPT HCPC MODIFIER 
PREVENTIVE  MEDICINE COUNSEL 60 MIN, $240 , 510 ,99404,  ,  
PREVENTIVE MEDICINE COUNSEL 30 MIN, $240 , 510 ,99402,  ,  
PREVENTIVE MEDICINE COUNSEL 45 MIN, $240 , 510 ,99403,  ,  
UNLISTED PREVENTIVE  MEDICINE SERV, $200 , 510 ,99429,  ,  
URGENT CARE ESTABLISH PATIENT VISIT - LEVEL 01," $1,026 ", 516 ,99211, G0463 ,  
URGENT CARE ESTABLISH PATIENT VISIT - LEVEL 02," $1,226 ", 516 ,99212, G0463 ,  
URGENT CARE ESTABLISH PATIENT VISIT - LEVEL 03," $1,426 ", 516 ,99213, G0463 ,  
URGENT CARE ESTABLISH PATIENT VISIT - LEVEL 04," $1,626 ", 516 ,99214, G0463 ,  
URGENT CARE ESTABLISH PATIENT VISIT - LEVEL 05," $1,826 ", 516 ,99215, G0463 ,  
URGENT CARE NEW PATIENT VISIT - LEVEL 01," $1,026 ", 516 ,99201, G0463 ,  
URGENT CARE NEW PATIENT VISIT - LEVEL 02," $1,226 ", 516 ,99202, G0463 ,  
URGENT CARE NEW PATIENT VISIT - LEVEL 03," $1,426 ", 516 ,99203, G0463 ,  
URGENT CARE NEW PATIENT VISIT - LEVEL 04," $1,626 ", 516 ,99204, G0463 ,  
URGENT CARE NEW PATIENT VISIT - LEVEL 05," $1,826 ", 516 ,99205, G0463 ,  
OB OR HOURS LEVEL 01 15 MINS," $2,500 ", 360 ,  ,  ,  
OB OR HOURS LEVEL 01 EA ADDL 15 MINS," $1,000 ", 360 ,  ,  ,  
OB OR HOURS LEVEL 02 15 MINS," $3,000 ", 360 ,  ,  ,  
OB OR HOURS LEVEL 02 EA ADDL 15 MIN," $1,250 ", 360 ,  ,  ,  
OB OR HOURS LEVEL 03 15 MINS," $3,500 ", 360 ,  ,  ,  
OB OR HOURS LEVEL 03 EA ADDL 15 MIN," $1,500 ", 360 ,  ,  ,  
OB OR HOURS LEVEL 04 15 MINS," $4,000 ", 360 ,  ,  ,  
OB OR HOURS LEVEL 04 EA ADDL 15 MIN," $2,000 ", 360 ,  ,  ,  
OB OR HOURS LEVEL 05 15 MINS," $5,000 ", 360 ,  ,  ,  
OB OR HOURS LEVEL 05 EA ADDL 15 MIN," $2,500 ", 360 ,  ,  ,  
OR HOURS LEVEL 01 15 MINS," $2,500 ", 360 ,  ,  ,  
OR HOURS LEVEL 01 EA ADDL 15 MINS," $1,000 ", 360 ,  ,  ,  
OR HOURS LEVEL 02 15 MINS," $3,000 ", 360 ,  ,  ,  
OR HOURS LEVEL 02 EA ADDL 15 MIN," $1,250 ", 360 ,  ,  ,  
OR HOURS LEVEL 03 15 MINS," $3,500 ", 360 ,  ,  ,  
OR HOURS LEVEL 03 EA ADDL 15 MIN," $1,500 ", 360 ,  ,  ,  
OR HOURS LEVEL 04 15 MINS," $4,000 ", 360 ,  ,  ,  
OR HOURS LEVEL 04 EA ADDL 15 MIN," $2,000 ", 360 ,  ,  ,  
OR HOURS LEVEL 05 15 MINS," $5,000 ", 360 ,  ,  ,  
OR HOURS LEVEL 05 EA ADDL 15 MIN," $2,500 ", 360 ,  ,  ,  
AMB ANESTHESIA HOURS EA ADDL 15 MIN, $500 , 370 ,  ,  ,  
AMB ANESTHESIA HOURS FIRST 15 MIN," $1,000 ", 370 ,  ,  ,  
AMB PACU EACH ADDTL 15 MINS, $250 , 710 ,  ,  ,  
AMB PACU FIRST 15 MINS, $500 , 710 ,  ,  ,  
ANESTHESIA HOURS LEVEL 01 15 MIN," $1,000 ", 370 ,  ,  ,  
ANESTHESIA HOURS LEVEL 01 EA ADDL 15 MIN, $500 , 370 ,  ,  ,  
ANESTHESIA HOURS LEVEL 02 15 MIN," $1,250 ", 370 ,  ,  ,  
ANESTHESIA HOURS LEVEL 02 EA ADDL 15 MIN, $750 , 370 ,  ,  ,  
ANESTHESIA HOURS LEVEL 03 15 MIN," $1,500 ", 370 ,  ,  ,  
ANESTHESIA HOURS LEVEL 03 EA ADDL 15 MIN," $1,000 ", 370 ,  ,  ,  
ANESTHESIA HOURS LEVEL 04 15 MIN," $1,750 ", 370 ,  ,  ,  
ANESTHESIA HOURS LEVEL 04 EA ADDL 15 MIN," $1,250 ", 370 ,  ,  ,  
ANESTHESIA HOURS LEVEL 05 15 MIN," $2,500 ", 370 ,  ,  ,  
ANESTHESIA HOURS LEVEL 05 EA ADDL 15 MIN," $1,500 ", 370 ,  ,  ,  
BRONCH ANESTHESIA HOURS EA ADDL 15 MIN, $500 , 370 ,  ,  ,  
BRONCH ANESTHESIA HOURS FIRST 15 MIN," $1,000 ", 370 ,  ,  ,  
BRONCH PACU EACH ADDTL 15 MINS, $250 , 710 ,  ,  ,  
BRONCH PACU FIRST 15 MINS, $500 , 710 ,  ,  ,  
ENDO ANESTHESIA HOURS EA ADDL 15 MIN, $500 , 370 ,  ,  ,  
ENDO ANESTHESIA HOURS FIRST 15 MIN," $1,000 ", 370 ,  ,  ,  
ENDO PACU EACH ADDTL 15 MINS, $250 , 710 ,  ,  ,  
ENDO PACU FIRST 15 MINS, $500 , 710 ,  ,  ,  
MOD SEDATION DIFF PHYS/QHP <5 YRS INIT 30 MIN, $200 , 370 ,99148,  ,  
MODERATE SEDATION DIFF PHYS/QHP 5/>YRS INIT 30 MIN, $250 , 370 ,99149,  ,  
MODERATE SEDATION DIFF PHYS/QHP EA ADDL 15 MIN, $200 , 370 ,99150,  ,  
MODERATE SEDATION SAME PHYS/QHP <5 YRS INIT 30 MIN, $250 , 370 ,99143,  ,  
MODERATE SEDATION SAME PHYS/QHP 5/>YRS INIT 30 MIN, $250 , 370 ,99144,  ,  
MODERATE SEDATION SAME PHYS/QHP EACH ADDL 15 MIN, $200 , 370 ,99145,  ,  
PACU 15 MINS, $500 , 710 ,  ,  ,  
PACU EA ADDL 15 MINS, $250 , 710 ,  ,  ,  
RADIOLOGY ANESTHESIA HOURS LEVEL 01 15 MIN," $1,000 ", 370 ,  ,  ,  
RADIOLOGY ANESTHESIA HOURS LEVEL 01 EA ADDL 15 MIN, $500 , 370 ,  ,  ,  
ABACAVIR 20 MG/ML LIQ 15 ML UD RPKG, $15 , 250 ,  ,  ,  
ABACAVIR 20 MG/ML LIQ 240 ML, $17 , 250 ,  ,  ,  
ABACAVIR 300 MG TAB, $41 , 250 ,  ,  ,  
ABACAVIR-LAMIVUDINE 600 MG-300 MG TAB, $135 , 250 ,  ,  ,  
ABACAVIR-LAMIVUDINE-ZIDOVUDINE TAB, $113 , 250 ,  ,  ,  
ABATACEPT 125 MG/1 ML INJ SYRINGE," $2,492 ", 636 ,J0129,  ,  
ABATACEPT 250 MG INJ PWVL," $2,439 ", 636 ,J0129,  ,  
ABCIXIMAB 2 MG/ML INJ 5 ML, $633 , 636 ,J0130,  ,  
ABIRATERONE 250 MG TAB, $227 , 250 ,  ,  ,  
ABREVA 10% CREAM, $25 , 250 ,  ,  ,  
ACARBOSE 100 MG TAB, $15 , 250 ,  ,  ,  
ACARBOSE 25 MG TAB, $15 , 250 ,  ,  ,  
ACARBOSE 50 MG TAB, $15 , 250 ,  ,  ,  
ACETAMINOPHEN 10 MG/ML INJ 100 ML, $17 , 636 ,J0131,  ,  
ACETAMINOPHEN 120 MG SUPP, $15 , 250 ,  ,  ,  
ACETAMINOPHEN 160 MG/5 ML LIQ 118 ML, $17 , 250 ,  ,  ,  
ACETAMINOPHEN 160 MG/5 ML LIQ 473 ML, $17 , 250 ,  ,  ,  
ACETAMINOPHEN 160 MG/5 ML LIQ 5 ML UD, $15 , 250 ,  ,  ,  
ACETAMINOPHEN 160 MG/5 ML SUSP 120 ML, $15 , 250 ,  ,  ,  
ACETAMINOPHEN 160 MG/5 ML SUSP 5 ML UD, $15 , 250 ,  ,  ,  
ACETAMINOPHEN 325 MG SUPP, $15 , 250 ,  ,  ,  
ACETAMINOPHEN 325 MG TAB, $15 , 250 ,  ,  ,  
ACETAMINOPHEN 325 MG/10.15 ML LIQ 10.15 ML UD, $15 , 250 ,  ,  ,  
ACETAMINOPHEN 500 MG TAB, $15 , 250 ,  ,  ,  
ACETAMINOPHEN 650 MG SUPP, $15 , 250 ,  ,  ,  
ACETAMINOPHEN 650 MG/20.3 ML LIQ 20.3 ML UD, $15 , 250 ,  ,  ,  
ACETAMINOPHEN 650 MG/20.3 ML SUSP 20.3 ML UD, $15 , 250 ,  ,  ,  
ACETAMINOPHEN 80 MG CHEW TAB, $15 , 250 ,  ,  ,  
ACETAMINOPHEN 80 MG/0.8 ML LIQ 0.8 ML UD RPKG, $15 , 250 ,  ,  ,  
ACETAMINOPHEN 80 MG/0.8 ML LIQ 15 ML, $17 , 250 ,  ,  ,  
ACETAMINOPHEN 80 MG/0.8 ML SUSP 0.8 ML UD RPKG, $15 , 250 ,  ,  ,  
ACETAMINOPHEN 80 MG/0.8 ML SUSP 15 ML, $15 , 250 ,  ,  ,  
ACETAMINOPHEN-CODEINE 120-12 MG/5 ML LIQ 118 ML, $17 , 250 ,  ,  ,  
ACETAMINOPHEN-CODEINE 120-12 MG/5 ML LIQ 15 ML UD, $15 , 250 ,  ,  ,  
ACETAMINOPHEN-CODEINE 120-12 MG/5 ML LIQ 473 ML, $17 , 250 ,  ,  ,  
ACETAMINOPHEN-CODEINE 120-12 MG/5 ML LIQ 5 ML UD, $15 , 250 ,  ,  ,  
ACETAMINOPHEN-CODEINE 120-12 MG/5ML LIQ 12.5ML UD, $15 , 250 ,  ,  ,  
ACETAMINOPHEN-CODEINE 300 MG-30 MG TAB, $15 , 250 ,  ,  ,  
ACETAMINOPHEN-CODEINE 300 MG-60 MG TAB, $15 , 250 ,  ,  ,  
ACETAMINOPHEN-DICHLORALPHENAZONE-ISOMETHEPTENE CAP, $15 , 250 ,  ,  ,  
ACETAMINOPHEN-HYDROCODONE 325 MG-10 MG TAB, $15 , 250 ,  ,  ,  
ACETAMINOPHEN-HYDROCODONE 325 MG-5 MG TAB, $15 , 250 ,  ,  ,  
ACETAMINOPHEN-HYDROCODONE 500 MG-5 MG TAB, $15 , 250 ,  ,  ,  
ACETAMINOPHEN-OXYCODONE 325 MG-5 MG TAB, $15 , 250 ,  ,  ,  
ACETAMINOPHEN-OXYCODONE 500 MG-5 MG CAP, $15 , 250 ,  ,  ,  
ACETAZOLAMIDE 25 MG/ML LIQ (EXTEM), $17 , 250 ,  ,  ,  
ACETAZOLAMIDE 250 MG TAB, $15 , 250 ,  ,  ,  
ACETAZOLAMIDE 500 MG ER CAP, $25 , 250 ,  ,  ,  
ACETAZOLAMIDE 500 MG INJ PWVL, $195 , 636 ,J1120,  ,  
ACETIC ACID 0.25% IRRIGATION SOL 1000 ML, $17 , 250 ,  ,  ,  
ACETIC ACID 0.25% IRRIGATION SOL 250 ML, $17 , 250 ,  ,  ,  
ACETIC ACID 2% OTIC SOL 15 ML, $15 , 250 ,  ,  ,  
ACETIC ACID 4% TOP SOL 125 ML (EXTEM), $15 , 250 ,  ,  ,  
ACETIC ACID 5% TOP SOL 30 ML, $15 , 250 ,  ,  ,  
ACETIC ACID GLACIAL TOP SOL 500 ML, $15 , 250 ,  ,  ,  
ACETIC ACID-AL ACETATE 2%-0.79% OTIC SOL 60 ML, $15 , 250 ,  ,  ,  
ACETIC ACID-HYDROCORTISONE 2%-1% OTIC SOL 10 ML, $77 , 250 ,  ,  ,  
ACETYLCHOLINE 1% OPHTH PWDR, $237 , 250 ,  ,  ,  
ACETYLCYSTEINE 10% PO/INH SOL 10 ML, $17 , 636 ,J7608,  ,  
ACETYLCYSTEINE 10% PO/INH SOL 30 ML, $17 , 636 ,J7608,  ,  
ACETYLCYSTEINE 10% PO/INH SOL 4 ML, $17 , 636 ,J7608,  ,  
ACETYLCYSTEINE 20% INJ 30 ML, $30 , 636 ,J0132,  ,  
ACETYLCYSTEINE 20% PO/INH SOL 10 ML, $17 , 636 ,J7608,  ,  
ACETYLCYSTEINE 20% PO/INH SOL 3 ML, $17 , 250 ,  ,  ,  
ACETYLCYSTEINE 20% PO/INH SOL 30 ML, $17 , 636 ,J7608,  ,  
ACETYLCYSTEINE 20% PO/INH SOL 4 ML, $17 , 636 ,J7608,  ,  
ACITRETIN 10 MG CAP, $118 , 250 ,  ,  ,  
ACITRETIN 25 MG CAP, $145 , 250 ,  ,  ,  
ACYCLOVIR 1000 MG INJ PWVL, $42 , 636 ,J0133,  ,  
ACYCLOVIR 200 MG CAP, $15 , 250 ,  ,  ,  
ACYCLOVIR 200 MG/5 ML SUSP 473 ML, $15 , 250 ,  ,  ,  
ACYCLOVIR 200 MG/5 ML SUSP 5 ML UD RPKG, $15 , 250 ,  ,  ,  
ACYCLOVIR 400 MG TAB, $15 , 250 ,  ,  ,  
ACYCLOVIR 5 MG/ML INJ CMPD SOLN, $20 , 636 ,J0133,  ,  
ACYCLOVIR 5% TOP OINT 15 GM, $100 , 250 ,  ,  ,  
ACYCLOVIR 5% TOP OINT 30 GM, $100 , 250 ,  ,  ,  
ACYCLOVIR 5% TOP OINT 5 GM, $106 , 250 ,  ,  ,  
ACYCLOVIR 50 MG/ML INJ 10 ML, $17 , 636 ,J0133,  ,  
ACYCLOVIR 50 MG/ML INJ 20 ML, $17 , 636 ,J0133,  ,  
ACYCLOVIR 500 MG INJ PWVL, $21 , 636 ,J0133,  ,  
ACYCLOVIR 800 MG TAB, $16 , 250 ,  ,  ,  
ADALIMUMAB 40 MG/0.8 ML INJ PEN," $3,783 ", 636 ,J0135,  ,  
ADALIMUMAB 40 MG/0.8 ML INJ SYRINGE," $3,783 ", 636 ,J0135,  ,  
ADENOSINE 12 MG/4 ML INJ SYRINGE, $48 , 636 ,J0150,  ,  
ADENOSINE 3 MG/ML INJ 2 ML, $29 , 636 ,J0150,  ,  
ADENOSINE 3 MG/ML INJ 20 ML, $49 , 636 ,J0151,  ,  
ADENOSINE 3 MG/ML INJ 30 ML, $49 , 636 ,J0151,  ,  
ADENOSINE 3 MG/ML INJ 4 ML, $26 , 636 ,J0150,  ,  
ADENOSINE 6 MG/2 ML INJ SYRINGE, $82 , 636 ,J0150,  ,  
ADO-TRASTUZUMAB EMTANSINE 100 MG INJ PWVL," $12,482 ", 636 ,J9354,  ,  
ADO-TRASTUZUMAB EMTANSINE 160 MG INJ PWVL," $19,970 ", 636 ,J9354,  ,  
AL HYDROXIDE-MAG CARBONATE 254MG-237.5MG/5ML SUSP, $15 , 250 ,  ,  ,  
AL HYDROXIDE-MAG CARBONATE SUSP 30 ML UD RPKG, $15 , 250 ,  ,  ,  
AL HYDROXIDE-MAG HYDROXIDE-SIMETHICON SUSP 30ML UD, $15 , 250 ,  ,  ,  
AL HYDROXIDE-MAG HYDROXIDE-SIMETHICONE SUSP 148 ML, $15 , 250 ,  ,  ,  
AL HYDROXIDE-MAG HYDROXIDE-SIMETHICONE SUSP 355 ML, $15 , 250 ,  ,  ,  
AL HYDROXIDE-MAG TRISILICATE 80MG-14.2MG CHEW TAB, $15 , 250 ,  ,  ,  
ALBENDAZOLE 200 MG TAB, $224 , 250 ,  ,  ,  
ALBUMIN HUMAN 25% (12.5 GM/50 ML) INJ 50 ML, $17 , 636 ,P9047,  ,  
ALBUMIN HUMAN 25% (25 GM/100 ML) INJ 100 ML, $17 , 636 ,P9047,  ,  
ALBUMIN HUMAN 25% (5 GM/20 ML) INJ 20 ML, $17 , 636 ,P9047,  ,  
ALBUMIN HUMAN 5% (12.5 GM/250 ML) INJ 250 ML, $17 , 636 ,P9045,  ,  
ALBUMIN HUMAN 5% (2.5 GM/50 ML) INJ 50 ML, $17 , 636 ,P9041,  ,  
ALBUMIN HUMAN 5% (25 GM/500 ML) INJ 500 ML, $17 , 636 ,P9045,  ,  
ALBUTEROL 0.042% (1.25 MG/3 ML) NEB SOL 3 ML, $15 , 636 ,J7613,  ,  
ALBUTEROL 0.083% (2.5 MG/3 ML) NEB SOL 3 ML, $15 , 636 ,J7613,  ,  
ALBUTEROL 0.5% (2.5 MG/0.5 ML) NEB SOL 0.5 ML, $15 , 636 ,J7611,  ,  
ALBUTEROL 0.5% (2.5 MG/0.5 ML) NEB SOL 20 ML, $15 , 636 ,J7611,  ,  
ALBUTEROL 108 MCG/INH INH 8 GM, $15 , 250 ,  ,  ,  
ALBUTEROL 2 MG TAB, $15 , 250 ,  ,  ,  
ALBUTEROL 2 MG/5 ML LIQ 480 ML, $17 , 250 ,  ,  ,  
ALBUTEROL 2 MG/5 ML LIQ 5 ML UD RPKG, $15 , 250 ,  ,  ,  
ALBUTEROL 4 MG ER TAB, $15 , 250 ,  ,  ,  
ALBUTEROL 4 MG TAB, $15 , 250 ,  ,  ,  
ALBUTEROL 8 MG ER TAB, $15 , 250 ,  ,  ,  
ALBUTEROL 90 MCG/INH INH 17 GM, $15 , 250 ,  ,  ,  
ALBUTEROL 90 MCG/INH INH 6.7 GM, $32 , 250 ,  ,  ,  
ALBUTEROL 90 MCG/INH INH 8 GM, $22 , 250 ,  ,  ,  
ALBUTEROL-IPRATROPIUM 103MCG-18MCG/INH INH 14.7 GM, $62 , 250 ,  ,  ,  
ALCLOMETASONE 0.05% TOP CRM 15 GM, $15 , 250 ,  ,  ,  
ALCLOMETASONE 0.05% TOP OINT 15 GM, $15 , 250 ,  ,  ,  
"ALDESLEUKIN 22,000,000 UNITS INJ PWVL"," $6,336 ", 636 ,J9015,  ,  
ALEMTUZUMAB 30 MG/ML INJ 1 ML," $7,943 ", 636 ,J9010,  ,  
ALENDRONATE 10 MG TAB, $15 , 250 ,  ,  ,  
ALENDRONATE 5 MG TAB, $15 , 250 ,  ,  ,  
ALENDRONATE 70 MG TAB, $99 , 250 ,  ,  ,  
ALFENTANIL 0.5 MG/ML INJ 2 ML, $17 , 250 ,  ,  ,  
ALFENTANIL 0.5 MG/ML INJ 5 ML, $17 , 250 ,  ,  ,  
ALGINIC ACID-AL HYDROXIDE-MAG CARBONATE SUSP 360ML, $15 , 250 ,  ,  ,  
ALGINIC ACID-AL HYDROX-MAG CARB SUSP 15 ML UD RPKG, $15 , 250 ,  ,  ,  
ALITRETINOIN 0.1% TOP GEL 60 GM, $161 , 250 ,  ,  ,  
ALL OTHER MEDS-INTERM, $15 , 250 ,  ,  ,  
ALLOPURINOL 100 MG TAB, $15 , 250 ,  ,  ,  
ALLOPURINOL 150 MG (1/2 OF 300 MG) HALF TAB, $15 , 250 ,  ,  ,  
ALLOPURINOL 20 MG/ML LIQ (EXTEM), $17 , 250 ,  ,  ,  
ALLOPURINOL 300 MG TAB, $15 , 250 ,  ,  ,  
ALLOPURINOL 50 MG (1/2 OF 100 MG) HALF TAB, $15 , 250 ,  ,  ,  
ALLOPURINOL 500 MG INJ PWVL," $1,922 ", 250 ,  ,  ,  
ALPRAZOLAM 0.25 MG TAB, $15 , 250 ,  ,  ,  
ALPRAZOLAM 0.5 MG TAB, $15 , 250 ,  ,  ,  
ALPRAZOLAM 1 MG TAB, $15 , 250 ,  ,  ,  
ALPRAZOLAM 2 MG TAB, $15 , 250 ,  ,  ,  
ALPROSTADIL 20 MCG INJ PWVL, $193 , 636 ,J0270,  ,  
ALPROSTADIL 40 MCG INJ PWVL, $255 , 636 ,J0270,  ,  
ALPROSTADIL 500 MCG/ML INJ 1 ML, $405 , 636 ,J0270,  ,  
ALTEPLASE 0.25 MG/ML INTRAVENTRICULAR INJ 3 ML, $17 , 250 ,  ,  ,  
ALTEPLASE 0.5 MG/ML INTRATHECAL INJ 3 ML, $17 , 250 ,  ,  ,  
ALTEPLASE 0.5 MG/ML INTRAVENTRICULAR INJ 3 ML, $17 , 250 ,  ,  ,  
ALTEPLASE 100 MG INJ PWVL," $21,825 ", 636 ,J2997,  ,  
ALTEPLASE 2 MG INJ PWVL, $457 , 636 ,J2997,  ,  
ALTEPLASE 25 MCG/0.1 ML INTRAVITREAL INJ 0.15 ML, $17 , 250 ,  ,  ,  
ALTEPLASE 50 MG INJ PWVL," $10,913 ", 636 ,J2997,  ,  
ALUMINUM CHLORIDE HEXAHYDRATE 20% TOP SOL 35 ML, $15 , 250 ,  ,  ,  
ALUMINUM CHLORIDE HEXAHYDRATE 20% TOP SOL 60 ML, $15 , 250 ,  ,  ,  
ALUMINUM HYDROXIDE 320 MG/5 ML SUSP 30 ML UD, $15 , 250 ,  ,  ,  
ALUMINUM HYDROXIDE 320 MG/5 ML SUSP 480 ML, $15 , 250 ,  ,  ,  
ALUMINUM SULFATE-CALCIUM ACETATE TOP PWDR, $15 , 250 ,  ,  ,  
ALVIMOPAN 12 MG CAP, $424 , 250 ,  ,  ,  
AMANTADINE 100 MG CAP, $15 , 250 ,  ,  ,  
AMANTADINE 50 MG/5 ML LIQ 10 ML UD, $15 , 250 ,  ,  ,  
AMANTADINE 50 MG/5 ML LIQ 20 ML UD RPKG, $15 , 250 ,  ,  ,  
AMANTADINE 50 MG/5 ML LIQ 473 ML, $17 , 250 ,  ,  ,  
AMBRISENTAN 10 MG TAB, $879 , 250 ,  ,  ,  
AMBRISENTAN 5 MG TAB, $879 , 250 ,  ,  ,  
AMIFOSTINE 500 MG INJ PWVL," $2,367 ", 636 ,J0207,  ,  
AMIKACIN 10 MG/ML INTRATHECAL INJ 3 ML, $17 , 250 ,  ,  ,  
AMIKACIN 250 MG/ML INJ 2 ML, $17 , 636 ,J0278,  ,  
AMIKACIN 250 MG/ML INJ 4 ML, $17 , 636 ,J0278,  ,  
AMIKACIN 250 MG/ML SUBCONJUNCT INJ 0.45 ML, $17 , 250 ,  ,  ,  
AMIKACIN 5 MG/ML INJ CMPD SOLN, $20 , 250 ,  ,  ,  
AMIKACIN 8 MG/ML OPHTH SOL 15 ML, $15 , 250 ,  ,  ,  
AMILORIDE 5 MG TAB, $15 , 250 ,  ,  ,  
AMINO ACIDS 10% (AMINOSYN II) IV 1000 ML, $17 , 250 ,  ,  ,  
AMINO ACIDS 10% (AMINOSYN) IV 500 ML, $17 , 250 ,  ,  ,  
AMINO ACIDS 10% (PREMASOL) IV 1000 ML, $17 , 250 ,  ,  ,  
AMINO ACIDS 10% (PREMASOL) IV 2000 ML, $17 , 250 ,  ,  ,  
AMINO ACIDS 10% (PREMASOL) IV 500 ML, $17 , 250 ,  ,  ,  
AMINO ACIDS 10% (TRAVASOL) IV 1000 ML, $17 , 250 ,  ,  ,  
AMINO ACIDS 10% (TRAVASOL) IV 2000 ML, $17 , 250 ,  ,  ,  
AMINO ACIDS 10% (TRAVASOL) IV 500 ML, $17 , 250 ,  ,  ,  
AMINO ACIDS 15% (CLINISOL) IV 2000 ML, $17 , 250 ,  ,  ,  
AMINO ACIDS 15% (CLINISOL) IV 500 ML, $17 , 250 ,  ,  ,  
AMINO ACIDS 20% (PROSOL) IV 2000 ML, $17 , 250 ,  ,  ,  
AMINO ACIDS 5.4% (NEPHRAMINE) IV 250 ML, $17 , 250 ,  ,  ,  
AMINO ACIDS 6% (PREMASOL) IV 500 ML, $17 , 250 ,  ,  ,  
