Procedure ID,HCPCS/CPT Code,Description,Gross Charge,Undiscounted Cash Price
756,0C1713    ,PLATE 7200021 ATL VISION,4601,4601
757,0C1713    ,PLATE 23MM ATL VS ELI BN,4601,4601
758,0C1713    ,PLATE 7200050 ATL VISION,4832,4832
759,0C1713    ,PLATE ATL VSN LCK 52.5MM,5062,5062
760,0C1713    ,PLATE VSN ELTE CSPN 60MM,5062,5062
761,0C1713    ,PLATE 7200062 ATL VISION,5062,5062
762,0C1713    ,PLATE SPN ATL VSN 65MM  ,5062,5062
763,0C1713    ,PLATE 7200070 ATL VISION,5062,5062
764,0C1713    ,PLATE SPN NEW LCK 7LVL  ,5062,5062
765,0C1713    ,PLATE 7200080 ATL VISION,5292,5292
766,0C1713    ,PLATE 7200082 ATL VISION,5292,5292
767,0C1713    ,PLATE 7200085 ATL VISION,5292,5292
768,0C1713    ,PLATE 7200087 ATL VISION,5292,5292
769,0C1713    ,PLATE 7200090 ATL VISION,5292,5292
770,0C1713    ,PLATE 7200095 ATL VISION,5292,5292
771,0C1713    ,PLATE 7200100 ATL VISION,5292,5292
772,0C1713    ,PLATE 7200105 ATL VISION,5292,5292
773,0C1713    ,PLATE 7200110 ATL VISION,5292,5292
774,0C1713    ,PLATE 7200110 ATL VISION,5292,5292
775,0C1713    ,PLATE SPN ATL 1LVL 27MM ,4832,4832
776,0C1713    ,PLATE 7200130 ATL VIS NW,4832,4832
777,0C1713    ,PLATE ATL VIS NWLCK 32MM,4601,4601
778,0C1713    ,PLATE 7200147 ATL VIS NW,5062,5062
779,0C1713    ,PLATE 7200152 ATL VIS NW,4832,4832
780,0C1713    ,PLATE 7200170 ATL VIS NW,5292,5292
781,0C1713    ,PLATE 7200172 ATL VIS NW,5292,5292
782,0C1713    ,PLATE SPN LCK OVLP 80MM ,5292,5292
783,0C1713    ,PLATE ATL VIS NWLCK 82MM,5292,5292
784,0C1713    ,PLATE ATL VIS NWLCK 85MM,5292,5292
785,0C1713    ,PLATE 7200155 ATL VIS NW,4832,4832
786,          ,KIT CHEMO PROSTIVA RF   ,9593,9593
789,          ,LASER FIBER HLFDBX0400C ,4554,4554
795,          ,SLEEVE LAPSCP 11MM 100MM,407,407
796,          ,TROCAR ENDO 100MM THRD S,407,407
797,          ,GRAFT BN CRSH 15ML.5-3MM,1958,1958
798,          ,GRAFT BN CANC.5-3MM 30ML,3018,3018
826,          ,SUTURE VCL 2-0 CT2      ,259,259
6000,          ,INJ ARTHRO HIP W/O AN   ,942.09,942.09
6001,          ,MG DVC PLC BRST 1ST LT  ,517.29,517.29
6002,          ,MG DVC PLC BRST 1ST RT  ,517.29,517.29
6003,          ,MG DVC PLC BRST ADD LT  ,517.29,517.29
6004,          ,MG DVC PLC BRST ADD RT  ,517.29,517.29
6005,          ,IMG GD FLD COLL DRN CATH,2225.57,2225.57
6006,          ,VSCRL ABSCSS DRN W/IMAGE,6440.48,6440.48
6007,          ,PERITONL ABSCES DRN PERC,6440.48,6440.48
6008,          ,US BRST BX 1ST LESION LT,3696.5,3696.5
6009,          ,US BRST BX 1ST LESION RT,3696.5,3696.5
6010,          ,US BRST BX ADD LESION LT,3696.5,3696.5
6011,          ,US BRST BX ADD LESION RT,3696.5,3696.5
6012,          ,US DVC PLC BRST 1ST LT  ,517.29,517.29
6013,          ,US DVC PLC BRST 1ST RT  ,517.29,517.29
6014,          ,US DVC PLC BRST ADD LT  ,517.29,517.29
6015,          ,US DVC PLC BRST ADD RT  ,517.29,517.29
6016,80155,CAFFEINE QN             ,142.32,142.32
6017,80159,CLOZAPINE QN            ,115.52,115.52
6018,80169,EVEROLIMUS QN           ,436.7,436.7
6021,80175,LAMOTRIGINE LAMICTAL QN ,90.6,90.6
6022,80180,MYCOPHEN ACID AND META  ,207.31,207.31
6023,80180,MYCOPHENOLATE MOFETIL QN,207.31,207.31
6025,80199,TIAGABINE GABITRIL QN   ,344.81,344.81
6026,80203,ZONISAMIDE ZONEGRAN QN  ,417.16,417.16
6030,          ,INJ CYSTO/URETH         ,1318.75,1318.75
6031,93976,DUP AB/PEL/SC LTD       ,1299.04,1299.04
6033,99281,LVL 1 EMER DEPT         ,50.33,50.33
6034,          ,EXERNAL CEPHALIC VERSION,4066.65,4066.65
6035,96366,IV EACH ADD HOUR        ,411.07,411.07
6036,96374,IVP SINGLE/INITIAL DRUG ,821.1,821.1
6037,96361,IV HYDRAT EA ADD HR     ,411.07,411.07
6039,96365,IV INITIAL UP TO 1 HOUR ,1256.05,1256.05
6040,96372,INJECTION IM OR SQ      ,346.64,346.64
6041,96375,IVP EA ADD SEQ NEW DRUG ,821.1,821.1
6042,96376,IVP EA ADD SEQ SAME DRUG,821.1,821.1
6043,36430,BLOOD TRANSFUSION       ,3011.23,3011.23
6044,82657,DISACCHARIDASES MULT NRS,319.71,319.71
6045,96366,IV EACH ADD HOUR        ,411.07,411.07
6046,96361,IV HYDRAT EA ADD HR     ,411.07,411.07
6047,96360,IV HYDRAT INIT UP TO 1HR,1156.78,1156.78
6048,96365,IV INITIAL UP TO 1 HOUR ,1256.05,1256.05
6049,36430,BLOOD TRANSFUSION       ,3011.23,3011.23
6050,96372,INJECTION IM OR SQ      ,346.64,346.64
6051,96375,IVP EA ADD SEQ NEW DRUG ,821.1,821.1
6052,96376,IVP EA ADD SEQ SAME DRUG,821.1,821.1
6053,96374,IVP SINGLE/INITIAL DRUG ,821.1,821.1
6055,96360,IV HYDRAT INIT UP TO 1HR,1156.78,1156.78
6056,96361,IV HYDRAT EA ADD HR     ,411.07,411.07
6057,96365,IV INITIAL UP TO 1 HOUR ,1256.05,1256.05
6058,96366,IV EACH ADD HOUR        ,411.07,411.07
6059,96374,IVP SINGLE/INITIAL DRUG ,821.1,821.1
6060,96375,IVP EA ADD SEQ NEW DRUG ,821.1,821.1
6061,96376,IVP EA ADD SEQ SAME DRUG,821.1,821.1
6062,96372,INJECTION IM OR SQ      ,346.64,346.64
6063,36430,BLOOD TRANSFUSION       ,3011.23,3011.23
6064,96523,IRRIGATION OF VAD       ,283.42,283.42
6065,96523,IRRIGATION OF VAD       ,283.42,283.42
6066,96523,IRRIGATION OF VAD       ,283.42,283.42
6071,96367,IV ADDL SEQ INF UP TO 1H,411.07,411.07
6072,96367,IV ADDL SEQ INF UP TO 1H,411.07,411.07
6073,96367,IV ADDL SEQ INF UP TO 1H,411.07,411.07
6074,96368,IV CONCURRENT INFUSION  ,411.07,411.07
6075,96368,IV CONCURRENT INFUSION  ,411.07,411.07
6076,96368,IV CONCURRENT INFUSION  ,411.07,411.07
6077,36430,BLOOD TRANSFUSION       ,3011.23,3011.23
6078,94780,CAR SEAT/BED TST<=12M 60,347.56,347.56
6079,94781,CARSEAT/BD TST<=12M AD30,274.7,274.7
6081,82017,ACYLCARNITINES QN EA SP ,500.26,500.26
6082,96523,IRRIGATION OF VAD       ,257.66,257.66
6083,78708,NM KDNEY FLW&FNC W/RX   ,1144.24,1144.24
6085,78012,NM THYROID UPTAKE W STIM,615.92,615.92
6087,78072,NM PARATHY SPECT & CT   ,3240.86,3240.86
6089,86352,CELL FUNCT STIM DET BIO ,685.51,685.51
6278,097760GO  ,ORTH MGT TRAIN EA 15M OT,138.64,138.64
6279,097761GO  ,PROST TRAINING EA 15M OT,136.59,136.59
6290,092521GN  ,SP/EVAL FLUENCY         ,235.45,235.45
6294,0G0379    ,DIRECT REFERRAL TO OBS  ,115.76,115.76
6295,0G0379    ,DIRECT REFERRAL TO OBS  ,115.76,115.76
6296,0G0378    ,OBS PER HOUR            ,115.76,115.76
6297,0G0378    ,OBS PER HOUR            ,115.76,115.76
6298,95801,SLEEP UA HR OS RSP ANALY,910.01,910.01
6299,7664150,US BRST BI W AX COMP    ,795.43,795.43
6300,076641LT  ,US BRST UNI LT W AX COMP,462.44,462.44
6301,076641RT  ,US BRST UNI RT W AX COMP,462.44,462.44
6302,7664250,US BRST BI W AX LTD     ,795.43,795.43
6303,076642LT  ,US BRST UNI LT W AX LTD ,462.44,462.44
6304,076642RT  ,US BRST UNI RT W AX LTD ,462.44,462.44
6307,77063,BREAST TOMO SCREENING   ,69.92,69.92
6308,77085,DXA BD AXL W VERT ASSESS,1025.23,1025.23
6309,77086,VRT FRCT AS W DUAL DXA  ,1021.31,1021.31
6310,          ,MYELO W S&I CERVICAL    ,1170.71,1170.71
6312,          ,MYELO W S&I LUMBOSAC    ,1170.71,1170.71
6313,          ,MYEL W S&I 2 OR MORE REG,1170.71,1170.71
6314,          ,ARTH JNT BRS SM W US LT ,1074.06,1074.06
6315,          ,ARTH JNT BRS SM W US RT ,1074.06,1074.06
6316,          ,ARTH JNT BRS INT W US LT,1074.06,1074.06
6317,          ,ARTH JNT BRS INT W US RT,1074.06,1074.06
6318,          ,ARTH JNT BRS MJR W US LT,1074.06,1074.06
6319,          ,ARTH JNT BRS MJR W US RT,1074.06,1074.06
6346,          ,INJ ARTHRO SHOULDER     ,2155.86,2155.86
6347,          ,INJ ARTHRO HIP W/O AN   ,1026.88,1026.88
6349,36000,NDL/INCATH VEIN         ,102.69,102.69
6355,77003,XR FLUORO FOR SPINE INJ ,621.59,621.59
6357,96365,IV INITIAL UP TO 1 HOUR ,1141.86,1141.86
6358,96372,INJECTION IM OR SQ      ,315.12,315.12
6363,99201,OP VISIT LEVEL 1 NP     ,358.53,358.53
6364,99202,OP VISIT LEVEL 2 NP     ,396.57,396.57
6365,99203,OP VISIT LEVEL 3 NP     ,559.54,559.54
6366,99204,OP VISIT LEVEL 4 NP     ,744.25,744.25
6367,99205,OP VISIT LEVEL 5 NP     ,988.71,988.71
6368,99211,OP VISIT LEVEL 1 EST    ,358.53,358.53
6369,99212,OP VISIT LEVEL 2 EST    ,434.59,434.59
6370,99213,OP VISIT LEVEL 3 EST    ,434.59,434.59
6371,99214,OP VISIT LEVEL 4 EST    ,559.54,559.54
6372,99215,OP VISIT LEVEL 5 EST    ,744.25,744.25
6381,80320,ALCOHOL QN EXCEPT BREATH,626.22,626.22
6382,80323,NICOTINE BLD            ,408.5,408.5
6383,80326,DEF DRUG AMPHETAM 5+    ,595.56,595.56
6384,80335,DEF DRUG ANTIDEP TRI 1-2,316.71,316.71
6385,80345,BARBITURATES QN         ,413.87,413.87
6386,80346,DEF DRUG BENZODIAZ 1-12 ,253.72,253.72
6387,80347,DEF DRUG BENZODIAZ 13+  ,413.87,413.87
6388,80353,COCAINE QUANT           ,566.84,566.84
6389,80358,METHADONE QUANT         ,464.26,464.26
6390,80364,DEF DRUG OPIOIDS ALG 5+ ,453.48,453.48
6391,80365,DEF DRUG OXYCODONE      ,372.5,372.5
6392,80367,PROPOXYPHENE DARVON QN  ,453.48,453.48
6393,80369,MEPROBAMATE             ,291.52,291.52
6394,87624,HPV HIGH RISK TYPES     ,469.67,469.67
6395,88344,IHC EA MULTIPLEX AB PROC,435.08,435.08
6397,80330,DEF DRUG ANALGESICS 3-5 ,179.05,179.05
6398,80331,DEF DRUG ANALGESICS 6+  ,223.13,223.13
6399,80327,DHT ANABOLIC STERIOD QL ,156.57,156.57
6400,80328,DEF DRUG ANABOLIC 3+    ,156.57,156.57
6401,88341,IHC EA ADD AB ST SPEC   ,1355.01,1355.01
6402,96367,IV ADDL SEQ INF UP TO 1H,373.7,373.7
6403,96368,IV CONCURRENT INFUSION  ,373.7,373.7
6404,96366,IV EACH ADD HOUR        ,373.7,373.7
6405,96361,IV HYDRAT EA ADD HR     ,373.7,373.7
6406,96360,IV HYDRAT INIT UP TO 1HR,1051.61,1051.61
6407,96365,IV INITIAL UP TO 1 HOUR ,1141.86,1141.86
6409,          ,ARTH JNT BRS MJR W US BI,2148.16,2148.16
6410,          ,ARTH JNT BRS SM W US BI ,2148.16,2148.16
6411,36430,BLOOD TRANSFUSION       ,2737.49,2737.49
6413,96372,INJECTION IM OR SQ      ,315.12,315.12
6414,96523,IRRIGATION OF VAD       ,257.66,257.66
6415,96375,IVP EA ADD SEQ NEW DRUG ,746.45,746.45
6416,96376,IVP EA ADD SEQ SAME DRUG,746.45,746.45
6417,96374,IVP SINGLE/INITIAL DRUG ,746.45,746.45
6418,0G0379    ,DIRECT REFERRAL TO OBS  ,192.53,192.53
6419,0G0378    ,OBS PER HOUR            ,192.53,192.53
6423,87299,H METAPNEUMOVIRUS IFT   ,309.18,309.18
6424,81265,STR MARKERS SPECIMEN ANA,444.4,444.4
6426,          ,UNLISTED PROC FOOT/TOE  ,644.65,644.65
6427,          ,REPOSITION GI TUBE      ,4639.94,4639.94
6428,94664,DEM AER GEN/NEB/MDI/IPPB,154.92,154.92
6430,87254,CMV RAPID CULTURE       ,92.37,92.37
6432,85008,BLD MORPH SMEAR W/O DIFF,75.74,75.74
6434,          ,ST BRST BX 1ST LESION LT,7601.21,7601.21
6435,          ,ST BRST BX 1ST LESION RT,7601.21,7601.21
6437,          ,ST BRST BX ADD LESION LT,7601.21,7601.21
6439,          ,ST BRST BX ADD LESION RT,7601.21,7601.21
6441,          ,STERO DVC PLC BRS 1ST LT,3464.86,3464.86
6443,          ,STERO DVC PLC BRS 1ST RT,3464.86,3464.86
6444,          ,STERO DVC PLC BRS ADD LT,3119.72,3119.72
6446,          ,STERO DVC PLC BRS ADD RT,3119.72,3119.72
6448,          ,STEREO DVC PLC BRST ADD ,9359.19,9359.19
6455,          ,INJ NEURO EPI LUMB SACR ,2635.98,2635.98
6457,          ,INJ ARTHRO HIP W/ANS    ,1131.95,1131.95
6458,77002,XR FLUORO NDL           ,439.76,439.76
6459,95816,EEG REC AW & DROWSY     ,1662.25,1662.25
6465,77003,XR FLUORO FOR SPINE INJ ,929.48,929.48
6466,95806,SLEEP UA HR OS RSP AF/EF,910.01,910.01
6467,          ,BLOCK C/T SPI SGL       ,4298.46,4298.46
6470,          ,BLOCK L-SPINE SGL       ,4738.83,4738.83
6474,          ,C/T FACET NRV DEST INIT ,4831.43,4831.43
6476,          ,C/T FACET NRV DEST ADDL ,1689.74,1689.74
6477,          ,L/S FJNT NRV DEST ADDL  ,3263.98,3263.98
6478,          ,INJ SACIL JNT ARTHRO  RT,1026.88,1026.88
6479,          ,INJ SACIL JNT ARTHRO  LT,1026.88,1026.88
6480,72081,XR SPINE 1 VIEW         ,236.45,236.45
6481,72082,XR SPINE 2 OR 3 VIEWS   ,391.62,391.62
6482,073501LT  ,XR HIP W PEL UNI 1 V LT ,236.45,236.45
6483,073501RT  ,XR HIP W PEL UNI 1 V RT ,236.45,236.45
6484,073502LT  ,XR HIP W PEL UN 2-3 V LT,236.45,236.45
6485,073502RT  ,XR HIP W PEL UN 2-3 V RT,236.45,236.45
6486,73521,XR HIP W PEL BI 2 VIEW  ,391.62,391.62
6487,073552LT  ,XR FEMUR MIN 2 V LT     ,236.45,236.45
6488,073552RT  ,XR FEMUR MIN 2 V RT     ,236.45,236.45
6489,78265,GASTRIC EMPTY W SM BWL  ,1437.81,1437.81
6490,073503LT  ,XR HIP W PEL UN M4 VW LT,391.62,391.62
6491,073503RT  ,XR HIP W PEL UN M4 VW RT,391.62,391.62
6492,88377,MA MAN SPEC EA MUTI PBST,865.12,865.12
6493,0A9520    ,TC99M TILMANOC DX 0.5MCI,716.06,716.06
6494,80329,DEF DRUG ANALGESICS 1-2 ,223.13,223.13
6498,0G0480    ,DRUG TEST DEF 1-7 CLASS ,330.23,330.23
6499,0G0481    ,DRUG TEST DEF 8-14 CLASS,508.08,508.08
6500,0G0482    ,DRUG TEST DEF 15-21 CLAS,685.89,685.89
6501,0G0483    ,DRUG TEST DEF 22OR> CLAS,889.13,889.13
6502,97802,MNT INIT ASSESS EA 15MIN,68.28,68.28
6503,97803,MNT REASSESS EA 15 MIN  ,60.51,60.51
6504,88350,TIS BASEMENT M IG IF IND,1007.29,1007.29
6509,83789,MASS SPEC QL EACH SPEC  ,175.71,175.71
6524,95813,EEG GREATER THAN 1 HR   ,2216.33,2216.33
6525,88367,M A INSITU HB EA PRB CMP,865.12,865.12
6526,87798,TROPHERYMA WHIPPLEI AMP ,1404.56,1404.56
6527,85097,BONE MARROW TECH ASSIST ,151.47,151.47
6528,          ,PLACE NG/OG TUBE FLUORO ,5788.86,5788.86
6529,86200,ANTI-CCP                ,92.33,92.33
6530,85306,PROTEIN S ACTIVITY      ,345.95,345.95
6531,87150,CULT TYPING AMP PROBE   ,1347.25,1347.25
6532,          ,INJ SG TDN SHTH/LIG/APNS,1152.76,1152.76
6534,96523,IRRIGATION OF VAD       ,283.42,283.42
6535,96367,IV ADDL SEQ INF UP TO 1H,407.33,407.33
6536,96368,IV CONCURRENT INFUSION  ,407.33,407.33
6537,96360,IV HYDRAT INIT UP TO 1HR,1146.28,1146.28
6538,92960,CARDIOVERSION EXTERNAL  ,2303.28,2303.28
6539,96365,IV INITIAL UP TO 1 HOUR ,1402.12,1402.12
6540,96366,IV EACH ADD HOUR        ,497.4,497.4
6541,96374,IVP SINGLE/INITIAL DRUG ,783.77,783.77
6542,96375,IVP EA ADD SEQ NEW DRUG ,785.7,785.7
6543,96376,IVP EA ADD SEQ SAME DRUG,785.7,785.7
6544,96372,INJECTION IM OR SQ      ,193.49,193.49
6545,36430,BLOOD TRANSFUSION       ,2860.95,2860.95
6546,          ,BX SFT TIS THIGH/KNEE   ,6648.46,6648.46
6548,76937,US GUIDANCE VASC ACCESS ,625.28,625.28
6549,84206,PROINSULIN              ,125.5,125.5
6550,87661,TRICH VAGINALIS AMP PRBE,41.34,41.34
6551,82397,CHEMILUM ASSAY          ,322.22,322.22
6552,          ,ROBOTICS ECH ADDTL15MIN ,1667.27,1667.27
6553,          ,ROBOTICS 1ST 30 MINS    ,7181.5,7181.5
6554,          ,CATH PULM ART UNI       ,3106.66,3106.66
6555,82150,AMYLASE FL              ,110.3,110.3
6556,81240,F2 GENE 20210G>A VARIANT,273.06,273.06
6557,          ,BX THYROID              ,2397.9,2397.9
6558,0G0279    ,TOMOSYNTHESIS MAMMO DX  ,69.92,69.92
6559,          ,INJ EPI C/T W IMAGING   ,2166.61,2166.61
6560,          ,INJ EPI L/S W IMAGING   ,2166.61,2166.61
6561,          ,INJ EPI NO SUB CT W IMAG,2729.37,2729.37
6562,          ,INJ EPI NO SUB LS W IMAG,2729.37,2729.37
6563,76706,US AAA SCREEN           ,447.01,447.01
6564,077065LT  ,MAMMO DIAG CAD UNI LT   ,576.74,576.74
6565,077065RT  ,MAMMO DIAG CAD UNI RT   ,576.74,576.74
6566,077065LT  ,MAMMO DIAG CAD UNI LT   ,639.24,639.24
6567,077065RT  ,MAMMO DIAG CAD UNI RT   ,639.24,639.24
6568,77066,MAMMO DIAG CAD BI       ,707.3,707.3
6569,77066,MAMMO DIAG CAD BI       ,779.5,779.5
6570,77067,MAMMO SCR CAD BI        ,653.13,653.13
6571,77067,MAMMO SCR CAD BI        ,704.52,704.52
6572,99152,MOD SED MD 1ST 15 >5YRS ,827.19,827.19
6573,99153,MOD SED MD EADD 15      ,275.96,275.96
6574,86336,INHIBIN A               ,135.45,135.45
6575,99152,MOD SED MD 1ST 15 >5YRS ,827.19,827.19
6576,99153,MOD SED MD EADD 15      ,275.96,275.96
6577,99152,MOD SED MD 1ST 15 >5YRS ,827.19,827.19
6578,99153,MOD SED MD EADD 15      ,275.96,275.96
6579,99152,MOD SED MD 1ST 15 >5YRS ,827.19,827.19
6580,99153,MOD SED MD EADD 15      ,275.96,275.96
6581,          ,CVC NON-TUN CENT INS=>5Y,4416.87,4416.87
6582,097161GP  ,EVAL PT LOW COMPLEX     ,310.53,310.53
6583,097162GP  ,EVAL PT MOD COMPLEX     ,310.53,310.53
6584,097163GP  ,EVAL PT HIGH COMPLEX    ,310.53,310.53
6585,097164GP  ,RE-EVALUATION PT        ,210.47,210.47
6586,097165GO  ,EVAL OT LOW COMPLEX     ,301.47,301.47
6587,097166GO  ,EVAL OT MOD COMPLEX     ,301.47,301.47
6588,097167GO  ,EVAL OT HIGH COMPLEX    ,301.47,301.47
6589,097168GO  ,RE-EVALUATION OT        ,198.52,198.52
6590,80307,DRUG SCR ANY NBR PER DOS,429.94,429.94
6592,          ,VERETEBRO CERVICOTHOR   ,15113.11,15113.11
6593,          ,VERTEBRO LUMBOSACRAL    ,15113.11,15113.11
6594,          ,VERTEBRO EA ADD CER/LUMB,35672.3,35672.3
6595,          ,VERT W FRAC RED & BB TH ,35672.3,35672.3
6596,          ,VERT W FRAC RED & BB LU ,35672.3,35672.3
6597,          ,VERT W FRAC RED & BB EAD,35672.3,35672.3
6598,99152,MOD SED MD 1ST 15 >5YRS ,926.77,926.77
6599,83013,H PYLORI BREATH NON-RAD ,310.42,310.42
6600,87660,TRICH VAGINALIS DIR PRBE,98.52,98.52
6601,87510,GARDNERELLA DIR PROBE   ,98.52,98.52
6602,87480,CANDIDA DIR PROBE       ,98.52,98.52
6603,86920,CROSSMATCH IMM SPIN     ,114.72,114.72
6604,84166,PROTEIN ELECTRO URINE   ,66.2,66.2
6605,87483,CNS DNA AMP PROB TY12-25,2270.97,2270.97
6606,87899,PLASMODIUM FALCIP AG OIA,243.81,243.81
6607,81256,HFE COMMON VARIANTS     ,728.4,728.4
6608,81291,MTHFR COMMON VARIANTS   ,321.67,321.67
6609,          ,I&D COMPLX POSTOP INFECT,355.39,355.39
6610,82175,ARSENIC UR              ,26.69,26.69
6611,83825,MERCURY UR QUANT        ,40.32,40.32
6612,          ,INJ S/M TRG PT 1OR2 MUS ,987.2,987.2
6613,88377,MA MAN SPEC EA MUTI PBST,831.86,831.86
6614,          ,ARTH JNTBRS MJR WO US RT,1718.01,1718.01
6615,          ,ARTH JNTBRS MJR WO US LT,1718.01,1718.01
6616,99152,MOD SED MD 1ST 15 >5YRS ,926.77,926.77
6617,86593,RPR QUANT               ,132.95,132.95
6618,83520,INHIBIN B IA QN         ,324.39,324.39
6619,86906,BLOOD TYPE RH PHENOTYPE ,112.74,112.74
6620,80307,DRUG SCR ANY NBR PER DOS,21.18,21.18
6622,83704,LDL CHOLESTEROL NMR BLD ,51.65,51.65
6623,87662,ZIKA VIRUS BY DNA PCR PR,533.61,533.61
6624,          ,INJ URETHROCYST RET     ,1187.96,1187.96
6625,81241,F5 GENE LEIDEN VARIANT  ,217.08,217.08
6626,83883,LIGHT CHAINS KAPPA NEPH ,143.65,143.65
6627,83883,LIGHT CHAINS LAMBDA NEPH,143.65,143.65
6628,82495,CHROMIUM                ,51.3,51.3
6629,87511,GARDNERELLA AMP PROBE   ,78.85,78.85
6630,87481,CANDIDA AMP PROBE       ,78.85,78.85
6631,87491,CHLAMYDIA T AMP PROBE   ,78.85,78.85
6632,87591,GC AMP PROBE            ,78.85,78.85
6633,86255,NEUROMYELITIS OPTICA AB ,1390.26,1390.26
6634,87389,HIV-1 AG+HIV-1/HIV-2 AB ,31.55,31.55
6635,87506,NAT GI MULTI 6-11 TARGET,1162.93,1162.93
6636,85335,FACTOR 5 INHIBITOR      ,98.51,98.51
6637,86753,TRYPANOSOMA CRUZI IGM   ,73.89,73.89
6638,86713,LEGIONELLA AB IGM QUAL  ,31.58,31.58
6639,86713,LEGIONELLA AB IGG QUAL  ,31.58,31.58
6640,85613,RUSSELL VIPER DILUTED   ,43.14,43.14
6641,86148,PHOSPHATIDYLSER AB IGG  ,47.82,47.82
6642,86148,PHOSPHATIDYLSER AB IGM  ,47.82,47.82
6643,83993,CALPROTECTIN FECAL      ,695.37,695.37
6644,84112,PAMG-1 CVS QL           ,228.84,228.84
6645,72127,CT C-SPINE W&W/O CONT   ,946.59,946.59
6646,83516,GLIADIN AB IGA IA QL    ,39.4,39.4
6647,83516,GLIADIN AB IGG IA QL    ,39.4,39.4
6648,82610,CYSTATIN C              ,240.85,240.85
6649,87328,CRYPTOSPORIDIUM AG EIA  ,72.25,72.25
6650,82542,COENZYME Q10 QN CHR     ,39.15,39.15
6651,87493,C DIFF TOX GENE AMP PROB,187.01,187.01
6652,84591,NIACIN VIT B 3          ,299.13,299.13
6653,83520,MULLERIAN HORM AB QN IA ,380.71,380.71
6654,86146,BETA 2 GLYCOPROT1 AB IGA,135.62,135.62
6655,84202,PROTOPORPHYRIN RBC QUANT,76.44,76.44
6656,          ,BX BONE DEEP            ,348.2,348.2
6657,71045,CHEST XRAY 1 V          ,408.53,408.53
6658,71046,CHEST XRAY 2 V          ,487.5,487.5
6659,74018,ABD XR 1V               ,427.9,427.9
6660,71047,CHEST XRAY 3 V          ,618.22,618.22
6661,71048,CHEST XRAY 4+           ,618.22,618.22
6662,74019,ABD XR 2V               ,597.81,597.81
6663,74021,ABD XR 3+V              ,661.8,661.8
6664,097763GO  ,ORTH/PROS MGT SBSQ ENCOT,93.91,93.91
6665,097763GP  ,ORTH/PROS MGT SBSQ ENCPT,105.74,105.74
6668,85305,PROTEIN S ANTIGEN TOTAL ,349.1,349.1
6669,81241,F5 GENE LEIDEN VARIANT  ,217.08,217.08
6670,86592,VDRL CSF QUAL           ,23.93,23.93
6671,88271,CYTOGEN DNA ISH PROBE EA,212.93,212.93
