Itemcode,Description,CDM Revenue Code,CDM Hcpcs,CDM Modifier,Gross Charge,Cash Price,SHS OUTPATIENT [108130006],Note
76110526,HC L&D TRIAGE LVL 2,761,99212,,$157.00,$109.90,$125.00,
76110537,HC LACTATION VISIT LEVEL 3,761,99213,,$188.00,$131.60,$150.00,
90010044,HC PSYCHOTHERAPY PATIENT &/ FAMILY 45 MINUTES,900,90834,,$783.00,$548.10,,
90010079,HC HLTH RSK ASSESS CG FOCUSED,900,96161,,$153.00,$107.10,$84.00,
92010066,HC CONT REC MVMT DO SETUP& TRAIN 6 D<10 D CONFIG OF MONITOR,920,0534T,,$206.00,$144.20,$116.00,
94010006,HC PERIPHERAL ARTERIAL DISEASE REHAB PER SESSION,940,93668,,$982.00,$687.40,$536.00,
94210090,HC GROUP MNT 2 OR MORE 30 MINS,942,G0271,,$90.00,$63.00,$50.00,
45010110,HC ED ALCOHOL/DRUG SCREEN 15-30 MIN CDM,450,99408,,$330.00,$231.00,,
48010122,HC TILT TABLE EVALUATION,480,93660,,"$2,496.00","$1,747.20","$1,362.00",
51010327,HC PREV VISIT EST AGE 18-39,510,99395,,,$0.00,,
51010330,HC PREVENTIVE COUNSELING INDIV 15 MIN,510,99401,,$151.00,$105.70,$135.00,
76110021,HC ESTAB PT VISIT - LEVEL 5,761,99215,,$345.00,$241.50,$275.00,
76110039,HC ESTAB PT VISIT - LEVEL 2,761,99212,,$157.00,$109.90,$125.00,
76110298,HC PREVENTIVE COUNSELING INDIV 60 MIN,761,99404,,$450.00,$315.00,$402.00,
90010088,HC HEALTH BEHAVIOR IVNTJ INDIV F2F EA ADDL 15 MIN CDM,900,96159,,$75.00,$52.50,,
91510097,HC HEALTH BEHAVIOR IVNTJ GROUP F2F 1ST 30 MIN CDM,915,96164,,$150.00,$105.00,,
92010009,HC DEMONSTRATE USE HOME INR MON,920,G0248,,$419.00,$293.30,,
94310023,HC CARDIAC REHAB/MONITOR,943,93798,,$671.00,$469.70,$366.00,
L_42010004,"HB TERM HC COGNITIVE SKILLS DEVELOPMENT, EACH 15 MIN",420,G0515,,$123.62,$86.53,,**
32010322,HC XR SURGICAL SPECIMEN,320,76098,,$327.00,$228.90,$292.00,
40310009,HC MAMMO SCREEN DIGITAL GREATER VIEWS BILAT,403,G0202,,$363.00,$254.10,,
32010335,HC XR OF MAMMARY DUCT SINGLE,320,77053,,"$2,096.00","$1,467.20",$543.00,
32410016,HC XR EXAM CHEST 3 VIEWS,324,71047,,$603.00,$422.10,$157.00,
40110005,HC MAMMO DIAG UNILAT INCL CAD,401,77065,,"$1,061.00",$742.70,$275.00,
32010336,HC XR OF MAMMARY DUCTS MULTIPLE,320,77054,,"$2,096.00","$1,467.20",$543.00,
32410014,HC XR EXAM CHEST 1 VIEW,324,71045,,$603.00,$422.10,$157.00,
32410017,HC XR EXAM CHEST 4+ VIEWS,324,71048,,$603.00,$422.10,$157.00,
40110020,HC SCREENING BREAST TOMOSYNTHESIS BI,403,77063,,$255.00,$178.50,$67.00,
40310004,HC MAMMO SCREEN BILAT INCL CAD,403,77067,,$996.00,$697.20,$258.00,
32410015,HC XR EXAM CHEST 2 VIEWS,324,71046,,$603.00,$422.10,$157.00,
32410018,HC XR CHEST PORTABLE 1 VIEW,324,71045,,$603.00,$422.10,$157.00,
40110004,HC MAMMO DIAG BILAT INCL CAD,401,77066,,"$1,310.00",$917.00,$339.00,
40110021,"HC TOMOSYNTHESIS, MAMMO UNI OR BIL DIAGNOSTIC",401,G0279,,$271.00,$189.70,$68.00,
40310005,HC MAMMO SCREEN DIGITAL UNILAT,403,77067,,$996.00,$697.20,$258.00,
35010006,HC CT MAXILLOFACIAL/SINUS W/O & W/DYE,350,70488,,"$1,844.00","$1,290.80",$926.00,
35010009,HC CT SFT TSUE NCK W/O & W/DYE,350,70492,,"$1,844.00","$1,290.80",$926.00,
35110022,HC CT MAXILLOFACIAL W/O DYE,350,70486,,$777.00,$543.90,$390.00,
35210008,HC CT NECK SPINE W/O DYE,352,72125,,$777.00,$543.90,$390.00,
35010008,HC CT SOFT TISSUE NECK W/DYE,350,70491,,"$1,844.00","$1,290.80",$926.00,
35110002,HC CT HEAD/BRAIN W/O DYE,351,70450,,$777.00,$543.90,$390.00,
35110014,HC CT ORBIT/EAR/FOSSA W/O DYE,351,70480,,$777.00,$543.90,$390.00,
35210010,HC CT NECK SPINE W/O & W/DYE,352,72127,,"$3,090.00","$2,163.00","$1,551.00",
35110007,HC CT HEAD/BRAIN W/DYE,351,70460,,"$1,844.00","$1,290.80",$926.00,
35110017,HC CT ORBIT/EAR/FOSSA W/DYE,351,70481,,"$1,844.00","$1,290.80",$926.00,
35010007,HC CT SOFT TISSUE NECK W/O DYE,350,70490,,$777.00,$543.90,$390.00,
35010010,HC CT ANGIOGRAPHY NECK W/ AND W/O DYE,350,70498,,"$1,844.00","$1,290.80",$926.00,
35110030,HC CT MAXILLOFACIAL W/DYE,351,70487,,"$1,844.00","$1,290.80",$926.00,
35210009,HC CT NECK SPINE W/DYE,352,72126,,"$3,090.00","$2,163.00","$1,551.00",
35010003,HC CT MAXILLOFACIAL W/O DYE LIMITED,350,70486,,$777.00,$543.90,$390.00,
35110012,HC CT HEAD/BRAIN W/O & W/DYE,351,70470,,"$1,844.00","$1,290.80",$926.00,
35110019,HC CT ORBIT/EAR/FOSSA W/O&W/DYE,351,70482,,"$1,844.00","$1,290.80",$926.00,
35110032,HC CT ANGIOGRAPHY HEAD,351,70496,,"$1,844.00","$1,290.80",$926.00,
35010037,HC CT SCAN FOR NEEDLE BX/ASP/INJ,350,77012,,"$1,833.00","$1,283.10",$767.00,
35010062,HC CT BONE DENSITY AXIAL,350,77078,,$476.00,$333.20,$140.00,
35210030,HC CT LOWER EXTREMITY W/O DYE,350,73700,,$888.00,$621.60,$390.00,
35210037,HC CT ANGIO UPR EXTRM W/O&W/DYE,352,73206,,"$2,107.00","$1,474.90",$926.00,
35210046,HC CT ABDOMEN W/DYE,352,74160,,"$2,107.00","$1,474.90",$926.00,
35010011,HC CT THORAX W/O DYE,350,71250,,$888.00,$621.60,$390.00,
35010020,HC CT ANGIO LWR EXTR W/O&W/DYE,350,73706,,"$2,107.00","$1,474.90",$926.00,
35010025,HC CT ABDOMEN & PELVIS W/ DYE,350,74177,,"$2,107.00","$1,474.90",$926.00,
35010030,HC CT ANGIO HEART ARTERIES/GRAFTS W/3D IMAGE,350,75574,,"$2,107.00","$1,474.90",$926.00,
35010072,HC CT ANGIO ABDOMEN PELVIS,350,74174,,"$2,107.00","$1,474.90",$926.00,
35210006,HC CT THORAX W/O & W/DYE,352,71270,,"$2,107.00","$1,474.90",$926.00,
35210013,HC CT CHEST SPINE W/O & W/DYE,352,72130,,"$3,530.00","$2,471.00","$1,551.00",
35210016,HC CT LUMBAR SPINE W/O & W/DYE,352,72133,,"$5,869.00","$4,108.30","$2,580.00",
35210020,HC CT PELVIS W/DYE,352,72193,,"$2,107.00","$1,474.90",$926.00,
35210040,HC CT LOWER EXTREMITY W/DYE,352,73701,,"$2,107.00","$1,474.90",$926.00,
35210054,HC CT ABDOMEN & PELVIS W/WO DYE,352,74178,,"$2,107.00","$1,474.90",$926.00,
35010013,HC CT ANGIOGRAPHY CHEST,350,71275,,"$2,107.00","$1,474.90",$926.00,
35010023,HC CT ANGIO ABDOMEN W/O & W/DYE,350,74175,,"$2,107.00","$1,474.90",$926.00,
35010027,HC CT HEART W/O DYE W/CA TEST,350,75571,,$479.00,$335.30,$211.00,
35010117,HC LDCT FOR LUNG CA SCREEN,350,G0297,,,$0.00,$246.00,
35210011,HC CT CHEST SPINE W/O DYE,352,72128,,$888.00,$621.60,$390.00,
35210014,HC CT LUMBAR SPINE W/O DYE,352,72131,,$888.00,$621.60,$390.00,
35210059,HC CT COLONOGRAPHY DX W/DYE,352,74262,,"$2,107.00","$1,474.90",$926.00,
35010031,HC CT ANGIO ABDOMINAL ARTERIES,350,75635,,"$2,107.00","$1,474.90",$926.00,
35010034,HC CT SCAN FOLLOW-UP STUDY LIMITED,350,76380,,$479.00,$335.30,$211.00,
35210017,HC CT ANGIOGRAPH PELV W/O&W/DYE,352,72191,,"$2,107.00","$1,474.90",$926.00,
35210024,HC CT PELVIS W/O & W/DYE,352,72194,,"$2,107.00","$1,474.90",$926.00,
35210031,HC CT UPPER EXTREMITY W/DYE,352,73201,,"$3,530.00","$2,471.00","$1,551.00",
35010018,HC CT LWR EXTREMITY W/O&W/DYE,350,73702,,"$2,107.00","$1,474.90",$926.00,
35010038,HC CT GUIDE FOR TISSUE ABLATION,350,77013,,"$1,421.00",$994.70,$602.00,
35010063,HC CT COLONOGRAPHY DX,350,74261,,$479.00,$335.30,$211.00,
35210003,HC CT THORAX W/DYE,352,71260,,"$2,107.00","$1,474.90",$926.00,
35210038,HC CT ABDOMEN W/O DYE,352,74150,,$888.00,$621.60,$390.00,
35210047,HC CT ABDOMEN W/O & W/DYE,352,74170,,"$2,107.00","$1,474.90",$926.00,
35010024,HC CT ABD & PELVIS W/O CONTRAST,350,74176,,"$1,652.00","$1,156.40",$726.00,
35010028,HC CT HEART W/3D IMAGE,350,75572,,"$2,107.00","$1,474.90",$926.00,
35110001,HC CT PERFUSION W/CONTRAST CBF,351,0042T,,"$1,176.00",$823.20,$517.00,
35210012,HC CT CHEST SPINE W/DYE,352,72129,,"$3,530.00","$2,471.00","$1,551.00",
35210015,HC CT LUMBAR SPINE W/DYE,352,72132,,"$5,869.00","$4,108.30","$2,580.00",
35210018,HC CT PELVIS W/O DYE,352,72192,,$888.00,$621.60,$390.00,
35210105,HC CT THORAX W/O DYE F/U LUNG SCREENING,352,71250,,$888.00,$621.60,$390.00,
35010036,HC CT SCAN FOR LOCALIZATION,350,77011,,"$1,264.00",$884.80,$557.00,
35010039,HC CT SCAN FOR THERAPY GUIDE,350,77014,,$835.00,$584.50,$353.00,
35210029,HC CT UPPER EXTREMITY W/O DYE,350,73200,,$888.00,$621.60,$390.00,
35210034,HC CT UPPR EXTREMITY W/O&W/DYE,350,73202,,"$3,530.00","$2,471.00","$1,551.00",
48010059,HC ECHO TTE 2D M-MODE LTD,480,93308,,"$1,870.00","$1,309.00",$726.00,
48010067,HC ECHO COLOR DOPPLER,480,93325,,"$2,952.00","$2,066.40","$1,084.00",
48310002,HC ECHO TTE CONGENITAL LTD,483,93304,,"$3,770.00","$2,639.00","$1,464.00",
48310013,HC ECHO DOPPLER PULSE CONTIN LTD,483,93321,,"$1,152.00",$806.40,$422.00,
92110005,HC TRANSCRANIAL DOPPLER LIMITED,921,93888,,"$1,006.00",$704.20,$390.00,
48010072,HC ECHO TEE CONG PROBE IMAGE & REPT,480,93315,,"$5,877.00","$4,113.90","$2,281.00",
48110190,HC HEART FLOW RESERVE MEASURE EA ADDTL,481,93572,,"$3,637.00","$2,545.90","$1,335.00",
48310020,HC ECHO W/WO CONTRAST F/U LIMITED,483,C8924,,"$1,870.00","$1,309.00",$726.00,
92110002,HC DUPLEX EXTRACRANIAL STUDY BILAT,921,93880,,"$1,870.00","$1,309.00",$726.00,
48010074,HC ECHO DOPPLER PULSE CONTIN COMP,480,93320,,"$1,922.00","$1,345.40",$706.00,
48010077,HC ECHO W/WO CONTRAST DOP COLOR,480,C8929,,"$3,770.00","$2,639.00","$1,464.00",
48310024,HC ECHO W/WO CONTRAST STRESS TEST,483,C8928,,"$3,366.00","$2,356.20","$1,464.00",
48110106,HC INTRAVASC US HEART INITIAL VESSEL ADD-ON,481,92978,,"$9,830.00","$6,881.00","$3,608.00",
92110003,HC DUPLEX EXTRACRANIAL STUDY UNILAT,921,93882,,"$1,005.00",$703.50,$390.00,
48010063,HC ECHO TEE PROBE IMAGE & REPT,480,93312,,"$5,876.00","$4,113.20","$2,281.00",
48010071,HC ECHO TEE IMAGE INTERP & REPT,480,93314,,"$3,836.00","$2,685.20","$1,408.00",
48010075,HC ECHO STRESS TEST W/INTERP & REPT,480,93350,,"$3,366.00","$2,356.20","$1,464.00",
48310003,HC TTE ECHO 2D W/COLOR & DOP,483,93306,,"$3,770.00","$2,639.00","$1,464.00",
48310017,HC ECHO ADM CONSTRAST DURING STRESS,483,93352,,$704.00,$492.80,$272.00,
48110189,HC HEART FLOW RESERVE MEASURE,481,93571,,"$7,741.00","$5,418.70","$2,840.00",
48010057,HC ECHO TTE 2D W/O COLOR & DOP,480,93307,,"$3,770.00","$2,639.00","$1,464.00",
48010066,HC ECHO DOPPLER PULSE CONTIN LTD PW & CW,480,93321,,"$1,152.00",$806.40,$422.00,
48110107,HC INTRAVASC US HEART ADD-ON EA ADDTL,481,92979,,"$5,966.00","$4,176.20","$2,190.00",
48310001,HC ECHO TTE CONGENITAL COMPLETE,483,93303,,"$3,770.00","$2,639.00","$1,464.00",
48310004,HC ECHO MYOCRD STRAIN IMG SPECKLE TRCK ASSMT MYOCRD MECH CDM,483,93356,,"$2,511.00","$1,757.70","$1,084.00",
92110004,HC TRANSCRANIAL DOPPLER COMPLETE,921,93886,,"$1,870.00","$1,309.00",$726.00,
40210016,HC US OB >= 14 WKS SINGLE FETUS,402,76805,,$898.00,$628.60,$390.00,
40210019,HC US OB DETAILED ADDL FETUS,402,76812,,$616.00,$431.20,$253.00,
40210038,HC US PROSTATE VOLUME STUDY,333,76873,,$897.00,$627.90,$390.00,
40210045,HC US EXAM INFANT HIPS DYNAMIC,402,76885,,$484.00,$338.80,$211.00,
40210049,HC US GUIDE VASCULAR ACCESS,402,76937,,"$1,203.00",$842.10,$281.00,
40210112,HC US EXT NON-VASC AXILLA LIMITED,402,76882,,$484.00,$338.80,$211.00,
40210142,HC US ABD AORTA SCRN AAA,402,76706,,$898.00,$628.60,$390.00,
40210150,HC ULTRASOUND ELASTOGRAPHY PARENCHYMA,402,76981,,$520.00,$364.00,$237.00,
92110011,HC LOWER EXTREMITY STUDY DUPLEX,921,93926,,$898.00,$628.60,$390.00,
36010482,HC US GUIDED FINE NEEDLE ASP/BX,361,76942,,"$2,361.00","$1,652.70",$551.00,
40210002,HC OPHTH US QUANT A ONLY,402,76511,,$897.00,$627.90,$390.00,
40210005,HC US EXAM CHEST,402,76604,,$898.00,$628.60,$390.00,
40210010,HC US RETROPERITONEAL COMPLETE,402,76770,,$898.00,$628.60,$390.00,
40210013,HC US EXAM SPINAL CANAL & CONTENTS,402,76800,,$484.00,$338.80,$211.00,
40210021,HC US OB NUCHAL MEASUREMENT ADD GEST,402,76814,,$437.00,$305.90,$253.00,
40210024,HC US OB TRANSVAGINAL,402,76817,,$898.00,$628.60,$390.00,
40210031,HC ECHO EXAM OF FETAL HEART W/ DOPPLER,402,76827,,"$1,670.00","$1,169.00",$726.00,
40210034,HC ECHO EXAM UTERUS,402,76831,,"$1,670.00","$1,169.00",$726.00,
40210051,HC ECHO GUIDE FOR TRANSFUSION,402,76941,,$504.00,$352.80,$214.00,
40210056,HC ECHO GUIDANCE RADIOTHERAPY APPLIC,333,76965,,"$1,125.00",$787.50,$488.00,
40210061,HC ECHO EXAMINATION PROCEDURE UNLISTED,402,76999,,$484.00,$338.80,$211.00,
40210149,HC ULTRASOUND TRGT DYNAMIC MICROBUBBLE EA ADDL LES,402,76979,,$414.00,$289.80,$146.00,
40210152,HC ULTRASOUND ELASTOGRAPHY EA ADDL TAGET LESION,402,76983,,$260.00,$182.00,$119.00,
92110010,HC LOWER EXTREMITY STUDY DUPLEX BILAT,921,93925,,"$1,670.00","$1,169.00",$726.00,
92110013,HC UPPER EXTREMITY STUDY DUPLEX,921,93931,,$898.00,$628.60,$390.00,
92110017,HC DUPLEX STUDY ABD/PEL/SCROTAL/RTROPERITNL COMPLETE,921,93975,,"$1,670.00","$1,169.00",$726.00,
92110020,HC VASCULAR STUDY AORTA/IVC/ILIAC LIMITED,921,93979,,$898.00,$628.60,$390.00,
40210003,HC OPHTH US B W/NON-QUANT A,402,76512,,$898.00,$628.60,$390.00,
40210008,HC US EXAM ABDOMEN COMPLETE,402,76700,,"$1,670.00","$1,169.00",$726.00,
40210022,HC US OB LIMITED FETUS(S),402,76815,,$897.00,$627.90,$390.00,
40210025,HC US FETAL BIOPHYS PROFILE W/NST,402,76818,,$898.00,$628.60,$390.00,
40210029,HC ECHO EXAM OF FETAL HEART,402,76825,,"$3,366.00","$2,356.20","$1,464.00",
40210052,HC ECHO GUIDE FOR BIOPSY,402,76942,,"$2,361.00","$1,652.70",$551.00,
40210057,HC US EXAM FOLLOW-UP,402,76970,,$484.00,$338.80,$211.00,
40210328,HC US GUIDANCE CHORIONIC VILLUS SAMPLING IMG S&I^,402,76945,,$640.00,$448.00,$273.00,
92110015,HC EXTREMITY STUDY VENOUS DUPLEX BILAT,921,93970,,"$1,670.00","$1,169.00",$726.00,
92110018,HC DUPLEX STUDY ABD/PEL/SCROTAL/RTROPERITNL LTD,921,93976,,"$1,670.00","$1,169.00",$726.00,
36119076,HC INTRVASC US NONCORONARY 1ST,361,37252,,"$8,487.00","$5,940.90","$3,689.00",
40210011,HC US RETROPERITONEAL LIMITED,402,76775,,$898.00,$628.60,$390.00,
40210014,HC US OB < 14 WKS SINGLE FETUS,402,76801,,$898.00,$628.60,$390.00,
40210032,HC ECHO OF FETAL HEART W/DOPPLER F/U OR REPEAT,402,76828,,$898.00,$628.60,$390.00,
40210036,HC US EXAM SCROTUM & CONTENTS,402,76870,,$898.00,$628.60,$390.00,
40210136,HC US UNI BREAST COMPLETE,402,76641,,$484.00,$338.80,$211.00,
40210001,HC ECHO EXAM OF HEAD,402,76506,,$898.00,$628.60,$390.00,
40210017,HC US OB>= 14 WKS ADDL FETUS,402,76810,,$875.00,$612.50,$390.00,
40210020,HC US OB NUCHAL MEASUREMENT 1 GEST,402,76813,,$898.00,$628.60,$390.00,
40210023,HC US OB FOLLOW-UP PER FETUS,402,76816,,$484.00,$338.80,$211.00,
40210041,HC US EXT NON-VASC COMPLETE,402,76881,,$897.00,$627.90,$390.00,
40210046,HC US EXAM INFANT HIPS STATIC,402,76886,,$484.00,$338.80,$211.00,
40210050,HC US GUIDE TISSUE ABLATION,402,76940,,$652.00,$456.40,$285.00,
40210148,HC ULTRASOUND TRGT DYNAMIC MICROBUBBLE 1ST LESION,402,76978,,$827.00,$578.90,$292.00,
40210151,HC ULTRASOUND ELASTOGRAPHY FIRST TARGET LESION,402,76982,,$520.00,$364.00,$237.00,
48010159,"HC ECHO TEE GUIDE (TAVR, PULMONARY OR MITRAL VALVE) W/CONTRAST",480,93355,,"$4,044.00","$2,830.80","$2,281.00",
92110012,HC UPPER EXTREMITY STUDY DUPLEX BILAT,921,93930,,"$1,670.00","$1,169.00",$726.00,
40210004,HC US EXAM OF HEAD AND NECK,402,76536,,$898.00,$628.60,$390.00,
40210009,HC US EXAM PELVIC LIMITED,402,76857,,$484.00,$338.80,$211.00,
40210026,HC US FETAL BIOPHYS PROFILE W/O NST,402,76819,,$898.00,$628.60,$390.00,
40210030,HC ECHO EXAM OF FETAL HEART FOLLOW-UP OR REPEAT,402,76826,,"$1,670.00","$1,169.00",$726.00,
40210053,HC ECHO GUIDE FOR AMNIOCENTESIS,402,76946,,$749.00,$524.30,$318.00,
40210059,HC US GUIDE INTRAOP,402,76998,,"$1,084.00",$758.80,$460.00,
40210093,HC US EXAM PELVIC COMPLETE,402,76856,,$898.00,$628.60,$390.00,
92110016,HC EXTREMITY STUDY VENOUS DUPLEX,921,93971,,$897.00,$627.90,$390.00,
92110019,HC VASCULAR STUDY AORTA/IVC/ILIAC COMPLETE,921,93978,,"$1,670.00","$1,169.00",$726.00,
36119077,HC INTRVASC US NONCORONARY ADDL,361,37253,,"$8,142.00","$5,699.40","$3,538.00",
40210012,HC US EXAM KIDNEY TRANSPLANT W/DOPPLER,402,76776,,$898.00,$628.60,$390.00,
40210015,HC US OB < 14 WKS ADDL FETUS,402,76802,,$546.00,$382.20,$253.00,
