Procedure_Description,CPT_Code,Gross_Price,Cash_Price
LIDOCAINE HCL 2%,Z7610,$2.00 ,$1.00 
PF ANES CHEST CLSD PROC,520,$228.00 ,$114.00 
ANES CHEST CLSD PROC,520,$20.00 ,$10.00 
LIDOCAINE W/EPI0.01,Z7610,$13.00 ,$6.50 
PF ANES MEDSCPY/THORSCPY 1 LN,529,$417.00 ,$208.50 
LIGASURE ATLAS SEALER/DIVIDER,Z7610,"$1,599.68 ",$799.84 
ANESTH CHEST PARTITION VIEW,529,$37.00 ,$18.50 
PF ANES PACEMAKER PERM INSERT,530,$152.00 ,$76.00 
ANES PACEMAKER PERM INSERTION,530,$14.00 ,$7.00 
PF ANES ACC CENTRAL VEN CIRC,532,$152.00 ,$76.00 
ANES ACCESS CENTRAL VEN CIRC,532,$14.00 ,$7.00 
TRANSVENOUS INSERTION,534,$266.00 ,$133.00 
TRANSVENOUS INSERTION,534,$24.00 ,$12.00 
PF ANES THORACOTOMY PROC,540,$493.00 ,$246.50 
ANES THORACOTOMY PROC,540,$40.00 ,$20.00 
PF ANES THORACTMY W/1 LUNG VN,541,$570.00 ,$285.00 
ANES THORACOTOMY W/1 LUNG VEN,541,$50.00 ,$25.00 
PF ANES SPINE/CORD CERVIC PRO,600,$380.00 ,$190.00 
ANES SPINE/CORD CERVICAL PROC,600,$34.00 ,$17.00 
PF ANES SPINE/CORD THORAC PRO,620,$380.00 ,$190.00 
ANES SPINE/CORD THORACIC PROC,620,$34.00 ,$17.00 
PF ANES SPINE/CORD LUMBAR PRO,630,$303.00 ,$151.50 
ANES SPINE/CORD LUMBAR PROC,630,$27.00 ,$13.50 
PF ANES ABD WALL UPPR ANTERIO,700,$114.00 ,$57.00 
ANES ABD WALL UPPER ANTERIOR,700,$14.00 ,$7.00 
ANES UPR GI NDSC PX NOS,731,$190.00 ,$95.00 
ANES UPR GI NDSC PX NOS,731,$9.00 ,$4.50 
LOWET EXTREMITY CDS,Z7610,, $-   
ANES UPR GI NDSC PX ERCP,732,$190.00 ,$95.00 
ANES UPR GI NDSC PX ERCP,732,$9.00 ,$4.50 
PF ANES RPR HERNIA UPPER ABDO,750,$152.00 ,$76.00 
ANES RPR HERNIA UPPER ABDOMIN,750,$14.00 ,$7.00 
PF ANES RPR HERNIA LUMB/VENTR,752,$228.00 ,$114.00 
ANES RPR HERNIA LUMBAR/VENTRA,752,$20.00 ,$10.00 
ANES RPR OF HERNIA TRANSABDO,756,$228.00 ,$114.00 
MAC,Z7610,$477.00 ,$238.50 
MACROBID,Z7610,$25.00 ,$12.50 
ANES RPR OF HERNIA TRANSABDO,756,$20.00 ,$10.00 
PF ANES INTRAPERITONEAL W/LAP,790,$266.00 ,$133.00 
ANES INTRAPERITONEAL W/LAP,790,$24.00 ,$12.00 
PF ANES PANCREATECTOMY,794,$303.00 ,$151.50 
MAJOR CDS,Z7610,, $-   
MARCAINE 0.25% 30 ML,Z7610,$22.00 ,$11.00 
MAXON 0 GR 60 GS-26 LOOP,Z7610,$22.86 ,$11.43 
MEDC BANDAGE ESMARK LF SYN 6X,Z7610,$8.50 ,$4.25 
MEDC STOCKINETTE BIAS BLND ST,Z7610,$9.45 ,$4.73 
MEDC STOCKINETTE ST IMPRV SYN,Z7610,$10.34 ,$5.17 
MEDC TRAY SUTURE REM IRIS SCI,Z7610,$3.75 ,$1.88 
MEDIPLAST 40% EACH,Z7610,$4.00 ,$2.00 
ANES PANCRETECTOMY,794,$27.00 ,$13.50 
PF ANES ABD WALL LOWER ANTER,800,$114.00 ,$57.00 
ANES ABD WALL LOWER ANTERIOR,800,$14.00 ,$7.00 
ANES LWR INTST NDSC NOS,811,$228.00 ,$114.00 
ANES LWR INTST NDSC NOS,811,$17.00 ,$8.50 
ANES LWR INTST SCR COLSC,812,$228.00 ,$114.00 
ANES LWR INTST SCR COLSC,812,$17.00 ,$8.50 
PF ANES ABD WALL LOWER POSTER,820,$190.00 ,$95.00 
ANES ABD WALL LOWER POSTERIOR,820,$17.00 ,$8.50 
PF ANES RPR HERNIA LOWER ABD,830,$152.00 ,$76.00 
MESH  HERNIA REPAIR INQUINA,Z7610,$137.69 ,$68.85 
MESH PARIETEX POLYESTER,Z7610,"$1,398.30 ",$699.15 
ANES RPR HERNIA LOWER ABD,830,$14.00 ,$7.00 
PF ANES RPR HERNIA VENTR/INCI,832,$228.00 ,$114.00 
ANES RPR HERNIA VENTR/INCISIO,832,$20.00 ,$10.00 
PF ANES INTRAPERITONEAL LOWER,840,$228.00 ,$114.00 
ANES INTRAPERITONEAL LOWER,840,$20.00 ,$10.00 
PF ANES INTRAPERIT/RAD HYSTER,846,$303.00 ,$151.50 
ANES HYSTERECTOMY RADICAL,846,$27.00 ,$13.50 
PF ANES TUBAL LIGATION/TRNSEC,851,$228.00 ,$114.00 
ANES TUBAL LIGATION/TRNSECTIO,851,$20.00 ,$10.00 
PF ANES EXTRAPERITONEAL LOWER,860,$228.00 ,$114.00 
METHOTREXATE SODIUM 15MG,Z7610,$28.00 ,$14.00 
ANES EXTRAPERITONEAL LOWER,860,$20.00 ,$10.00 
PF ANES RENAL UPR 1/3 URETR,862,$266.00 ,$133.00 
ANES RENAL UPR 1/3 URETR,862,$24.00 ,$12.00 
PF ANES CYSTOLITHOTOMY,870,$190.00 ,$95.00 
ANES CYSTOLITHOTOMY,870,$17.00 ,$8.50 
PF ANES LITHO/ESWL W/H20 BATH,872,$266.00 ,$133.00 
ANES LITHO/ESWL W/H20 BATH,872,$24.00 ,$12.00 
METRONIDAZOLE 250 TAB,Z7610,$4.48 ,$2.24 
METRONIDAZOLE 500 TAB,Z7610,$4.83 ,$2.42 
METRONIDAZOLE 500 TAB,Z7610,$4.83 ,$2.42 
PF ANES LITHO/ESWL W/O H20 BT,873,$266.00 ,$133.00 
ANES LITHO/ESWL W/O H20 BATH,873,$17.00 ,$8.50 
METRONIDAZOLE VAG CREAM,Z7610,$83.20 ,$41.60 
METRONIDAZOLE VAG CREAM 0.75%,Z7610,$83.20 ,$41.60 
PF ANES ANORECTAL,902,$152.00 ,$76.00 
ANES ANORECTAL,902,$17.00 ,$8.50 
MINI TIGHTROPE REPAIR KIT,Z7610,$847.50 ,$423.75 
MINOR CDS,Z7610,, $-   
PF ANES PERINEAL RADICAL,904,$266.00 ,$133.00 
ANES PERINEAL RADICAL,904,$24.00 ,$12.00 
PF ANES TRNSURETHRAL PROC,910,$114.00 ,$57.00 
ANES TRNSURETHRAL PROC,910,$10.00 ,$5.00 
MISOPROSTOL 200MCG (CYTOTEC),Z7610,$5.20 ,$2.60 
PF ANES TUR RESCT BLADDER,912,$190.00 ,$95.00 
MODULE BRONCHO,Z7610,$531.00 ,$265.50 
ANES TUR RESCT BLADDER,912,$17.00 ,$8.50 
PF ANES TURP RESCT PROSTATE,914,$190.00 ,$95.00 
ANES TURP RESCT PROSTATE,914,$17.00 ,$8.50 
ANESTH BLEEDING CONTROL,916,$190.00 ,$95.00 
TRANSURETHRAL PROCEDURES,916,$17.00 ,$8.50 
PF ANES TURP W/REM STONE,918,$190.00 ,$95.00 
ANES TURP W/REM STONE,918,$17.00 ,$8.50 
PF ANES GENITALIA MALE NOS,920,$114.00 ,$57.00 
ANES GENITALIA MALE NOS,920,$10.00 ,$5.00 
PF ANES VASECTOMY UNI/BI,921,$114.00 ,$57.00 
ANESTH VASECTOMY,921,$10.00 ,$5.00 
MALE EXTERNAL GENITALIA PROCE,924,$152.00 ,$76.00 
N RX CATH PICC 6FR TRPL LUMEN,Z7610,$804.60 ,$402.30 
MALE EXTERNAL GENITALIA PROCE,924,$14.00 ,$7.00 
PF ANES RAD ORCHIECT INGUINAL,926,$152.00 ,$76.00 
ANES RAD ORCHIECT INGUINAL,926,$14.00 ,$7.00 
PF ANES ORCHIOPEXY UNI/BI,930,$152.00 ,$76.00 
NASAL SEPTAL PRFTN PROSETHESI,Z7610,"$2,318.00 ","$1,159.00 "
NEEDLE SPINAL 22GA 5IN QUINCK,Z7610,$16.74 ,$8.37 
NEEDLE SPINAL CLR HUB,Z7610,$6.94 ,$3.47 
NEGATIVE PRESSURE WOUND THRPY,Z7610,, $-   
NEOPRENE KNEE SUPPORT,Z7610,$93.00 ,$46.50 
ANES ORCHIOPEXY UNI/BI,930,$14.00 ,$7.00 
PF ANES VAGINA/LABIA/CERV NOS,940,$114.00 ,$57.00 
ANES VAGINA/LABIA/CERV NOS,940,$10.00 ,$5.00 
PF ANES COLPOT/VAGINECT/COLPO,942,$152.00 ,$76.00 
ANES COLPOT/VAGINECT/COLPORRH,942,$14.00 ,$7.00 
PF ANES HYSTERECTOMY VAGINAL,944,$228.00 ,$114.00 
PF ANES HYSTERECTOMY VAGINAL,944,$20.00 ,$10.00 
PF ANES CERCLAGE CERVICAL,948,$185.00 ,$92.50 
ANES CERCLAGE CERVICAL,948,$14.00 ,$7.00 
PF ANES HYSTEROSCOPY,952,$152.00 ,$76.00 
ANES HYSTEROSCOPY,952,$14.00 ,$7.00 
NIM E.T. TUBE 7.0MM,Z7610,"$1,203.00 ",$601.50 
ANES PELVIS SURG SYMP PUB OR,1170,$152.00 ,$76.00 
ANES PELVIS SURG SYMP PUB OR,1170,, $-   
NITROFURANTOIN 100MG,Z7610,$7.21 ,$3.61 
NITROGLYCERIN 0.4MG,Z7610,$4.18 ,$2.09 
PF ANES HIP JOINT CLOSED,1200,$152.00 ,$76.00 
ANES HIP JOINT CLOSED,1200,$14.00 ,$7.00 
NITROGLYCERIN SL 0.4MG,Z7610,$4.18 ,$2.09 
PF ANES HIP JNT OPEN NOS,1210,$228.00 ,$114.00 
ANES HIP JNT OPEN NOS,1210,$20.00 ,$10.00 
PF ANES TOTAL HIP ARTHROPLAST,1214,$380.00 ,$190.00 
NORMAL SALINE 250CC,Z7610,$1.00 ,$0.50 
NORMAL SALINE 250CC,Z7610,$1.00 ,$0.50 
NORMAL SALINE 250CC,Z7610,$13.00 ,$6.50 
NORMAL SALINE SOLUTION 1000CC,Z7610,$20.00 ,$10.00 
NORMAL SALINE SOLUTION 250CC,Z7610,$1.00 ,$0.50 
NORMAL SALINE SOLUTION 500ML,Z7610,$1.00 ,$0.50 
NORMAL SALINE SOLUTION 500ML,Z7610,$1.00 ,$0.50 
ANES TOTAL HIP ARTHROPLASTY,1214,$27.00 ,$13.50 
PF ANES REV TLT HIP ARTHROPLA,1215,$380.00 ,$190.00 
ANES REV TLT HIP ARTHROPLAS,1215,$34.00 ,$17.00 
ANES PROCEDURE FEMUR UPR 2/3,1220,$152.00 ,$76.00 
ANES PROCEDURE FEMUR UPR 2/3,1220,$11.00 ,$5.50 
PF ANES FEMUR UPPER 2/3 OPEN,1230,$228.00 ,$114.00 
ANES FEMUR UPPER 2/3 OPEN,1230,$20.00 ,$10.00 
ANESTH AMPUTATION OF FEMUR,1232,$190.00 ,$95.00 
ANESTH AMPUTATION OF FEMUR,1232,$17.00 ,$8.50 
PF NERV MUSC TEND UPPR LEG,1250,$152.00 ,$76.00 
NERVES MUSCLES TENDONS FASCIA,1250,$14.00 ,$7.00 
ANESTH UPPER LEG VEINS SURG,1260,$114.00 ,$57.00 
ANESTH UPPER LEG VEINS SURG,1260,$8.00 ,$4.00 
PF ANES ARTERY LEG UPPER,1270,$303.00 ,$151.50 
ARTERIES OF UPPER LEG,1270,$27.00 ,$13.50 
PF ANES NERV MUS TEND KNEE/PO,1320,$152.00 ,$76.00 
NERVES MUSCLES TENDONS FASCIA,1320,$14.00 ,$7.00 
PF ANES FEMUR LOWER 1/3 OPEN,1360,$190.00 ,$95.00 
ANES FEMUR LOWER 1/3 OPEN,1360,$17.00 ,$8.50 
PF ANES KNEE JOINT CLSD,1380,$114.00 ,$57.00 
ANES KNEE JOINT CLSD,1380,$10.00 ,$5.00 
ARTHROSCOPIC PROCEDURES OF KN,1382,$114.00 ,$57.00 
ARTHROSCOPIC PROCEDURES OF KN,1382,$10.00 ,$5.00 
PF ANES OPEN PROC UPPR TIB/FI,1392,$152.00 ,$76.00 
OPEN PROCEDURES UPPER TIBIA F,1392,$14.00 ,$7.00 
PF ANES KNEE JOINT OPEN NOS,1400,$152.00 ,$76.00 
ANES KNEE JOINT OPEN NOS,1400,$14.00 ,$7.00 
ONE-THIRD TUBULAR PLATE WITH,Z7610,$413.28 ,$206.64 
ONE-THIRD TUBULAR PLATE WITH,Z7610,$413.28 ,$206.64 
ORSYTHIA,Z7610,$17.55 ,$8.78 
PF ANES ARTHROPLASTY TTL KNEE,1402,$266.00 ,$133.00 
ANES ARTHROPLASTY TTL KNEE,1402,$24.00 ,$12.00 
OSELTAMIVIR PHOSPHATE 75MG,Z7610,$22.25 ,$11.13 
ARTERIES OF KNEE JOINT,1404,$17.00 ,$8.50 
PF ANES ALL CAST APP INV KNEE,1420,$114.00 ,$57.00 
ANES ALL CAST APP INV KNEE,1420,$10.00 ,$5.00 
VEINS OF KNEE AND POPLITEAL A,1430,$114.00 ,$57.00 
VEINS OF KNEE AND POPLITEAL A,1430,$10.00 ,$5.00 
OXYTRAK PULSE OXIMETER,Z7610,$50.00 ,$25.00 
"PACEMAKER, EXTERNAL",Z7610,$922.00 ,$461.00 
PACK CATARACT CUSTOM 2/CA,Z7610,$626.94 ,$313.47 
"PADS,PACER EXT",Z7610,$111.00 ,$55.50 
PF ANES LEG LOW/ANK/FOOT CLSD,1462,$114.00 ,$57.00 
ANES LEG LOW/ANK/FOOT CLSD,1462,$10.00 ,$5.00 
ARTHROSCOPIC PROCEDURES OF AN,1464,$114.00 ,$57.00 
ARTHROSCOPIC PROCEDURES OF AN,1464,$10.00 ,$5.00 
PF ANES NERV MUS TEND LWR LEG,1470,$114.00 ,$57.00 
PAP SMEAR KIT,Z7610,$9.00 ,$4.50 
ANES NERV MUS TEND LWR LEG,1470,$10.00 ,$5.00 
PF ANES NERV MUS TEND RUPT AC,1472,$190.00 ,$95.00 
ANES NERV MUS TEND RUPT ACH,1472,$17.00 ,$8.50 
PEDI U-BAG,Z7610,$13.00 ,$6.50 
PF ANES LEG LOW/ANK/FOOT OPEN,1480,$114.00 ,$57.00 
PEG PUSH SAFETY OTW 2/BX,Z7610,$741.39 ,$370.69 
ANES LEG LOW/ANK/FOOT OPEN,1480,$10.00 ,$5.00 
PF ANES RESCT LWR LEG/ANKL/FT,1482,$152.00 ,$76.00 
PERMETHRIN 5% CREAM (ELIMITE),Z7610,$71.00 ,$35.50 
ANES RESCT LWR LEG/ANKLE/FOOT,1482,$14.00 ,$7.00 
PF ANES OSTEOTMY/PLSTY TIB/FI,1484,$152.00 ,$76.00 
ANES OSTEOTOMY/PLASTY TIB/FIB,1484,$14.00 ,$7.00 
PF ANES VEINS LEG LOWER,1520,$114.00 ,$57.00 
VEINS OF LOWER LEG,1520,$10.00 ,$5.00 
PF ANES NERV MUSC TEND SHLDR,1610,$190.00 ,$95.00 
ANES NERV MUSC TEND SHLDR,1610,$17.00 ,$8.50 
PF ANES SHOULDER/CLAVICLE CLS,1620,$152.00 ,$76.00 
ANES SHOULDER/CLAVICLE CLSD,1620,$14.00 ,$7.00 
PF ANES SHOULDER/CLAVICLE OPE,1630,$190.00 ,$95.00 
ANES SHOULDER/CLAVICLE OPEN,1630,$17.00 ,$8.50 
PF ANES ARTHROPLASTY SHOULDER,1638,$380.00 ,$190.00 
ANES ARTHROPLASTY SHOULDER,1638,$34.00 ,$17.00 
PF ANES NERV MUSC TEND UPR AR,1710,$114.00 ,$57.00 
ANES NERV MUSC TEND UPR ARM,1710,$10.00 ,$5.00 
ANES HUMERUS/ELBOW CLSD,1730,$114.00 ,$57.00 
ANES HUMERUS/ELBOW CLSD,1730,$10.00 ,$5.00 
PF ANES ELBOW OPEN/SURG ARTHR,1740,$152.00 ,$76.00 
ANES ELBOW OPEN/SURG ARTHRO,1740,$14.00 ,$7.00 
PF ANES RPR NONUNION HUMERUS,1744,$190.00 ,$95.00 
ANES RPR NONUNION HUMERUS,1744,$17.00 ,$8.50 
PF ANES ARTERIES ARM UPPR/ELB,1770,$228.00 ,$114.00 
PORT A CATH 21-46,Z7610,"$1,288.53 ",$644.27 
PORTA CATH,Z7610,$645.00 ,$322.50 
ANES ARTERIES ARM UPPER/ELBOW,1770,$20.00 ,$10.00 
VEINS OF UPPER ARM AND ELBOW,1780,$114.00 ,$57.00 
VEINS OF UPPER ARM AND ELBOW,1780,$10.00 ,$5.00 
PF ANES NERV MUSC TEND FOREAR,1810,$114.00 ,$57.00 
ANES NERV MUSC TEND FOREARM,1810,$10.00 ,$5.00 
PF ANES CLSD PROC R/U/WRST/HN,1820,$114.00 ,$57.00 
ANES CLSD PROC R/U/WRST/HND,1820,$10.00 ,$5.00 
PF ANES WRIST/OPEN/SURG ARTHR,1830,$114.00 ,$57.00 
POUCH 2 PREMIER DRAINABLE,Z7610,$11.25 ,$5.62 
POUCH PREM UROSTOMY CTF FLEX,Z7610,$7.41 ,$3.71 
POUCH PREMIER DRNBL,Z7610,$4.36 ,$2.18 
ANES WRIST/OPEN/SURG ARTHRO,1830,$10.00 ,$5.00 
PF ANES ARTERIES FOREARM/WRIS,1840,$228.00 ,$114.00 
ANES ARTERIES FOREARM/WRIST,1840,$20.00 ,$10.00 
PF ANES VASCULAR SHUNT ARM LW,1844,$228.00 ,$114.00 
ANES VASCULAR SHUNT ARM LOWER,1844,$20.00 ,$10.00 
PF ANES RAD VENOUS/LYMPH THER,1930,$190.00 ,$95.00 
ANESTH THERA INTERVEN RAD PRO,1930,$17.00 ,$8.50 
PF ANES ABORTION MISSED/INCOM,1965,$185.00 ,$92.50 
ANES ABORT MISSED/INCOMPLETE,1965,$14.00 ,$7.00 
PF ANES ABORTION INDUCED,1966,$185.00 ,$92.50 
ANES ABORTION INDUCED,1966,$14.00 ,$7.00 
PREDNISOLONE 15MG/5ML,Z7610,$6.41 ,$3.21 
ANESTH NERVE BLOCK/INJ,1991,$114.00 ,$57.00 
ANESTH NERVE BLOCK/INJ,1991,$8.00 ,$4.00 
PREDNISONE ORAL,Z7610,$3.00 ,$1.50 
PF ANES NERVE BLOCKS/INJ PRON,1992,$190.00 ,$95.00 
ANESTH N BLOCK/INJ PRONE,1992,$17.00 ,$8.50 
R10 RESPIRATORY PANEL/SARSCOV,0202U,$196.00 ,$98.00 
RESPIRATORY PANEL/SARSCOV2,0225U,"$1,250.34 ",$625.17 
FNA NDLE ASP BX US 1ST LESION,10005,"$2,677.00 ","$1,338.50 "
FNA NDLE ASP BX US 1ST LESION,10005,$247.00 ,$123.50 
FNA NDLE ASP BX US EA ADL LES,10006,$168.00 ,$84.00 
PRO LITE MESH,Z7610,"$2,657.77 ","$1,328.89 "
PROBE STIMULATOR MONOPOLAR,Z7610,$406.08 ,$203.04 
FNA NDL ASP BX CT 1ST LESION,10009,"$2,677.00 ","$1,338.50 "
PROLARYN PLUS,Z7610,, $-   
FNA NDL ASP BX CT 1ST LESION,10009,$386.00 ,$193.00 
FNA W/O IMAGE,10021,"$1,428.00 ",$714.00 
PF ASP FINE NDL W/O IMAGING,10021,$237.00 ,$118.50 
ASP FINE NDL W/O IMAGE GUID,10021,$237.00 ,$118.50 
"F N A, WITHOUT IMAGING GUIDAN",10021,"$1,428.00 ",$714.00 
"F N A, WITHOUT IMAGING GUIDAN",10021,$237.00 ,$118.50 
PULSE OX NULT DETER WITH EXER,Z7610,$50.00 ,$25.00 
ACNE SURGERY,10040,$761.00 ,$380.50 
PF ACNE SURGERY,10040,$267.00 ,$133.50 
I&D ABSCESS SIMPLE,10060,$776.00 ,$388.00 
I&D OF ABSCESS EDI/MHP,10060,$263.00 ,$131.50 
PF I&D OF ABSCESS SMPL,10060,$263.00 ,$131.50 
I&D ABSCESS SIMPLE,10060,$395.00 ,$197.50 
