,Airport_Code,Hospital_Name,Procedure_Description,Cash_Price,Gross_Price,CPT_Code,Number_Beds,For_Profit,Yearly_Discharges,Patient_Experience_Rating,Radiology_Category
70,SF,SF - Zuckerberg,Hc Mri Elbow Left Wo/contrast,4856.05,4856.05,73221,397,0,15244,3,MRI
71,SF,SF - Zuckerberg,Hc Mri Shoulder Left Wo/contrast,4856.05,4856.05,73221,397,0,15244,3,MRI
72,SF,SF - Zuckerberg,Hc Mri Arm Any Jnt Wo/contr.bilat,4856.05,4856.05,73221,397,0,15244,3,MRI
73,SF,SF - Zuckerberg,Hc Mri Lumb Spine Wo Con,5391.55,5391.55,72148,397,0,15244,3,MRI
74,SF,SF - Zuckerberg,Hc Mri Arm W&wo/contrast Bilat,4856.05,4856.05,73220,397,0,15244,3,MRI
75,SF,SF - Zuckerberg,Hc Mri Leg Lt Non Joint W&wo/cont,4856.05,4856.05,73720,397,0,15244,3,MRI
76,SF,SF - Zuckerberg,Hc Mri Arm Wo Contrast Bilat,3390.65,3390.65,73218,397,0,15244,3,MRI
77,SF,SF - Zuckerberg,Hc Mra Pelvis,4856.05,4856.05,72198,397,0,15244,3,MRA
78,SF,SF - Zuckerberg,Hc Mri Pelvis W&wo/contrast,5446.8,5446.8,72197,397,0,15244,3,MRI
80,SF,SF - Zuckerberg,Hc Mri Pelvis Wo/contrast,4920.65,4920.65,72195,397,0,15244,3,MRI
82,SF,SF - Zuckerberg,Hc Mri Lumb Sp W&wo Con,5392.4,5392.4,72158,397,0,15244,3,MRI
83,SF,SF - Zuckerberg,Hc Mri Thor W&wo Con,6140.4,6140.4,72157,397,0,15244,3,MRI
84,SF,SF - Zuckerberg,Hc Mri Arm Lt Non Joint W&wo/cont,4856.05,4856.05,73220,397,0,15244,3,MRI
104,SF,SF - Zuckerberg,Hc Mri Breast With And Wo Contrast Bilateral,7034.6,7034.6,77049,397,0,15244,3,MRI
169,SF,SF - Zuckerberg,Hc Mra Abdomen W/wo Contrast,4856.05,4856.05,74185,397,0,15244,3,MRA
276,SF,SF - Zuckerberg,Hc Dph Mra Pelvis With And Without Contrast,1176.4,1176.4,72198,397,0,15244,3,MRA
279,SF,SF - Zuckerberg,Hc Mri Neck Wo Contrast,4856.05,4856.05,70540,397,0,15244,3,MRI
280,SF,SF - Zuckerberg,Hc Mri Temp Mandibular Jts Bilat.,5025.2,5025.2,70336,397,0,15244,3,MRI
288,SF,SF - Zuckerberg,Hc Mra Lower Extremity With And Without Contrast Rt,1176.4,1176.4,73725,397,0,15244,3,MRA
289,SF,SF - Zuckerberg,Hc Mra Lower Extremity With And Without Contrast Lt,1176.4,1176.4,73725,397,0,15244,3,MRA
290,SF,SF - Zuckerberg,Hc Dph Mra Chest With & Without Contrast,1176.4,1176.4,71555,397,0,15244,3,MRA
291,SF,SF - Zuckerberg,Hc Mra Arm Right With And Without Contrast,4856.05,4856.05,73225,397,0,15244,3,MRA
292,SF,SF - Zuckerberg,Hc Mra Arm Left With And Without Contrast,4856.05,4856.05,73225,397,0,15244,3,MRA
732,SF,SF - Zuckerberg,Hc Mamo. Diag. Rt Digital,633.25,633.25,77065,397,0,15244,3,3D Mammography
733,SF,SF - Zuckerberg,Hc Mamo. Diag. Bilat. Digital,783.7,783.7,77066,397,0,15244,3,3D Mammography
734,SF,SF - Zuckerberg,Hc Mamo. Diag. Lt Digital,633.25,633.25,77065,397,0,15244,3,3D Mammography
918,SF,SF - Zuckerberg,Hc Bone Survey Renal Or Sickle,917.15,917.15,77075,397,0,15244,3,Radiology
925,SF,SF - Zuckerberg,Hc Ct Cardiac Angio,4195.6,4195.6,75574,397,0,15244,3,CTA
926,SF,SF - Zuckerberg,Hc Ct Cardiac Calcium Scoring,559.3,559.3,75571,397,0,15244,3,CTA
928,SF,SF - Zuckerberg,Hc Gated Aortic Ct Angio,1086.3,1086.3,75572,397,0,15244,3,CTA
939,SF,SF - Zuckerberg,Hc 3d Rendering On Workstation,243.95,243.95,76377,397,0,15244,3,MRI
17231,SF,SF - Zuckerberg,Hc Us Kidneys And Bladder,891.65,891.65,76770,397,0,15244,3,Ultrasound
17244,SF,SF - Zuckerberg,Hc Us Abdomen Complete,1365.95,1365.95,76700,397,0,15244,3,Ultrasound
17247,SF,SF - Zuckerberg,Hc Le Venous Incompetence Unilateral Rt,643.45,643.45,93971,397,0,15244,3,Ultrasound
17248,SF,SF - Zuckerberg,Hc Le Venous Incompetence Unilateral Lt,643.45,643.45,93971,397,0,15244,3,Ultrasound
17249,SF,SF - Zuckerberg,Hc Us Veins Extr Uni/ltd Dplx Lt,1994.1,1994.1,93971,397,0,15244,3,Ultrasound
17250,SF,SF - Zuckerberg,Hc Us Veins Ext Uni Ltd Dup Upper Extremity Rt,1994.1,1994.1,93971,397,0,15244,3,Ultrasound
17251,SF,SF - Zuckerberg,Hc Us Veins Ext Uni Ltd Dup Upper Extremity Lt,643.45,643.45,93971,397,0,15244,3,Ultrasound
17252,SF,SF - Zuckerberg,Hc Us Veins Extr Uni/ltd Dplx Rt,1994.1,1994.1,93971,397,0,15244,3,Ultrasound
17253,SF,SF - Zuckerberg,Hc Us Veins Extr Uni/ltd Dplx Rt,1994.1,1994.1,93971,397,0,15244,3,Ultrasound
17254,SF,SF - Zuckerberg,Hc Us Veins Ext Uni Ltd Dup Lower Extremity Lt,643.45,643.45,93971,397,0,15244,3,Ultrasound
17255,SF,SF - Zuckerberg,Hc Us Veins Ext Uni Ltd Dup Lower Extremity Rt,1994.1,1994.1,93971,397,0,15244,3,Ultrasound
17303,SF,SF - Zuckerberg,Hc Us Ob Under 14wks Addl Fetus,535.5,535.5,76802,397,0,15244,3,Ultrasound
17306,SF,SF - Zuckerberg,Hc Us Duplex Le Art/bpg; Unil/limit Right,2023.0,2023.0,93926,397,0,15244,3,Ultrasound
17307,SF,SF - Zuckerberg,Hc Us Duplex Le Art/bpg; Unil/limit Left,2023.0,2023.0,93926,397,0,15244,3,Ultrasound
17308,SF,SF - Zuckerberg,Hc Us Leg Art Ltd Or Uni  Duplex,1800.3,1800.3,93926,397,0,15244,3,Ultrasound
17309,SF,SF - Zuckerberg,Hc Us Leg Art Ltd Or Uni Duplex,1800.3,1800.3,93926,397,0,15244,3,Ultrasound
17311,SF,SF - Zuckerberg,Hc Us Retroperitoneal Ltd,1101.6,1101.6,76775,397,0,15244,3,Ultrasound
17356,SF,SF - Zuckerberg,HC US PREG UTERUS AFTER 1ST TRIMEST,1613.3,1613.3,76805,397,0,15244,3,Ultrasound
17358,SF,SF - Zuckerberg,HC US PREG UTERUS AFTER 1ST TRIMEST,1435.65,1435.65,76805,397,0,15244,3,Ultrasound
17359,SF,SF - Zuckerberg,Hc Us 1st Trimester Ob (14 Wks),845.75,845.75,76801,397,0,15244,3,Ultrasound
17361,SF,SF - Zuckerberg,Hc Mamo. Screening Digital,795.6,795.6,77067,397,0,15244,3,3D Mammography
17362,SF,SF - Zuckerberg,Hc Us Leg Art. Comp. Bilat.,3031.95,3031.95,93925,397,0,15244,3,Ultrasound
17442,SF,SF - Zuckerberg,Hc Ct Brain Wo Contr,3418.7,3418.7,70450,397,0,15244,3,PET CT
17590,SF,SF - Zuckerberg,Hc Ct Maxillofac Wo Contr,3418.7,3418.7,70486,397,0,15244,3,CT
17608,SF,SF - Zuckerberg,Hc Chest  1 View,297.5,297.5,71045,397,0,15244,3,Radiology
17618,SF,SF - Zuckerberg,Hc Ct Pelvis Wo Contrast,4281.45,4281.45,72192,397,0,15244,3,CT
17628,SF,SF - Zuckerberg,Hc Ct Abdomen Wo Contrast,4097.85,4097.85,74150,397,0,15244,3,CT
17634,SF,SF - Zuckerberg,Hc Ct Abdomen/pelvis Wo/cont.,1467.95,1467.95,74176,397,0,15244,3,CT
17671,SF,SF - Zuckerberg,Hc Ct Brain W Contr,4097.85,4097.85,70460,397,0,15244,3,CT
17690,SF,SF - Zuckerberg,Hc Bone Age Study,160.65,160.65,77072,397,0,15244,3,Radiology
17702,SF,SF - Zuckerberg,Hc Ct Maxillofacial W Contr,4097.85,4097.85,70487,397,0,15244,3,CT
17726,SF,SF - Zuckerberg,Hc Toes  Minimum 3 Views  Rt,396.1,396.1,73660,397,0,15244,3,Radiology
17727,SF,SF - Zuckerberg,Hc Finger(s) Left,396.1,396.1,73140,397,0,15244,3,Radiology
17728,SF,SF - Zuckerberg,Hc Finger(s) Right,396.1,396.1,73140,397,0,15244,3,Radiology
17729,SF,SF - Zuckerberg,Hc Toes  Minimum 3 Views  Lt,396.1,396.1,73660,397,0,15244,3,Radiology
17748,SF,SF - Zuckerberg,Hc Us Carotid Bilat Duplex Comp,2663.9,2663.9,93880,397,0,15244,3,Ultrasound
17749,SF,SF - Zuckerberg,Hc Us Carotid Bilat Duplex Comp.,2992.85,2992.85,93880,397,0,15244,3,Ultrasound
17775,SF,SF - Zuckerberg,Hc Ct Spn Lumb Wo Contrast,4710.7,4710.7,72131,397,0,15244,3,CT
17776,SF,SF - Zuckerberg,Hc Ct Extrem Upper Lt Wo Contr,3592.95,3592.95,73200,397,0,15244,3,CT
17777,SF,SF - Zuckerberg,Hc Ct Extrem Lower Lt Wo Contr,3418.7,3418.7,73700,397,0,15244,3,CT
17778,SF,SF - Zuckerberg,Hc Ct Extrem Upper Rt Wo Contr,3592.95,3592.95,73200,397,0,15244,3,CT
17779,SF,SF - Zuckerberg,Hc Ct Extrem Lower Rt Wo Contr,3418.7,3418.7,73700,397,0,15244,3,CT
17780,SF,SF - Zuckerberg,Hc Ct Extrem Lower Bilat Wo Contr,5128.05,5128.05,73700,397,0,15244,3,CT
17781,SF,SF - Zuckerberg,Hc Ct Extrem Upper Bilat Wo Contr,5389.85,5389.85,73200,397,0,15244,3,CT
17783,SF,SF - Zuckerberg,Hc Ct Chest Wo Contr,4281.45,4281.45,71250,397,0,15244,3,CT
17784,SF,SF - Zuckerberg,Hc Ct Spn Thor Wo Contrast,4068.95,4068.95,72128,397,0,15244,3,CT
17789,SF,SF - Zuckerberg,Hc Ct Spn Cerv Wo Contrast,4068.95,4068.95,72125,397,0,15244,3,CT
17791,SF,SF - Zuckerberg,Hc Us Veins Extrem. Bil. Comp.,3351.55,3351.55,93970,397,0,15244,3,Ultrasound
17792,SF,SF - Zuckerberg,Hc Us Veins Extr Bil Comp Duplx,2983.5,2983.5,93970,397,0,15244,3,Ultrasound
17830,SF,SF - Zuckerberg,Hc Neck Soft Tissue,396.1,396.1,70360,397,0,15244,3,Radiology
17846,SF,SF - Zuckerberg,Hc Ct Brain W&wo Contr,5202.0,5202.0,70470,397,0,15244,3,CT
17848,SF,SF - Zuckerberg,Hc Ct Neck Wo Contr,3418.7,3418.7,70490,397,0,15244,3,CT
17871,SF,SF - Zuckerberg,Hc Tte Comp 2d Mmd Dop Color Flow,1633.7,1633.7,93306,397,0,15244,3,Ultrasound
17875,SF,SF - Zuckerberg,Hc Abdomen 1 View,415.65,415.65,74018,397,0,15244,3,Radiology
17881,SF,SF - Zuckerberg,Hc Calcaneus Heel 2 Vw  Lt,413.1,413.1,73650,397,0,15244,3,Radiology
17888,SF,SF - Zuckerberg,Hc Bilateral Heel,618.8,618.8,73650,397,0,15244,3,Radiology
17889,SF,SF - Zuckerberg,Hc Calcaneus Heel 2 View Rt,413.1,413.1,73650,397,0,15244,3,Radiology
17900,SF,SF - Zuckerberg,Hc Stress Tte Complete,1978.8,1978.8,93351,397,0,15244,3,Ultrasound
17918,SF,SF - Zuckerberg,Hc Us Extremity Non Vasc Ltd Rt,91.8,91.8,76882,397,0,15244,3,Ultrasound
17919,SF,SF - Zuckerberg,Hc Ultrasound Non Vasc,515.1,515.1,76882,397,0,15244,3,Ultrasound
17920,SF,SF - Zuckerberg,Hc Us Extremity Non Vasc Ltd Lt,91.8,91.8,76882,397,0,15244,3,Ultrasound
17939,SF,SF - Zuckerberg,Hc Ct Extrem Upper Bilat W Contr,4068.95,4068.95,73201,397,0,15244,3,CT
17940,SF,SF - Zuckerberg,Hc Ct Extrem Upper Lt W Contr,4068.95,4068.95,73201,397,0,15244,3,CT
17941,SF,SF - Zuckerberg,Hc Ct Extrem Upper Rt W Contr,4068.95,4068.95,73201,397,0,15244,3,CT
17943,SF,SF - Zuckerberg,Hc Ct Angio Neck W Post Process,5088.95,5088.95,70498,397,0,15244,3,CTA
17944,SF,SF - Zuckerberg,Hc Ct Extrem Lower Lt W Contr,4068.95,4068.95,73701,397,0,15244,3,CT
17945,SF,SF - Zuckerberg,Hc Ct Pelvis W Contr,4958.05,4958.05,72193,397,0,15244,3,CT
17946,SF,SF - Zuckerberg,Hc Ct Extrem Lower Bilat W Contr,6103.85,6103.85,73701,397,0,15244,3,CT
17947,SF,SF - Zuckerberg,Hc Ct Extrem Lower Rt W Contr,4068.95,4068.95,73701,397,0,15244,3,CT
17948,SF,SF - Zuckerberg,Hc Ct Angio Head W Post Process,5088.95,5088.95,70496,397,0,15244,3,CTA
17949,SF,SF - Zuckerberg,Hc Ct Spn Lumb W Contrast,5832.7,5832.7,72132,397,0,15244,3,CT
17950,SF,SF - Zuckerberg,Hc Ct Spn Cerv W Contrast,4871.35,4871.35,72126,397,0,15244,3,CT
17951,SF,SF - Zuckerberg,Hc Ct Chest W Contrast,5202.0,5202.0,71260,397,0,15244,3,PET CT
17952,SF,SF - Zuckerberg,Hc Ct Espohogram,5202.0,5202.0,71260,397,0,15244,3,PET CT
17953,SF,SF - Zuckerberg,Hc Ct Spn Thor W Contrast,4871.35,4871.35,72129,397,0,15244,3,CT
17955,SF,SF - Zuckerberg,Hc Forearm 2 Views Rt,415.65,415.65,73090,397,0,15244,3,Radiology
17957,SF,SF - Zuckerberg,Hc Bilateral Tib/fib,623.05,623.05,73590,397,0,15244,3,Radiology
17958,SF,SF - Zuckerberg,Hc Tib/fib Lower Leg 2 Views  Lt,415.65,415.65,73590,397,0,15244,3,Radiology
17959,SF,SF - Zuckerberg,Hc Tib/fib Lt 1 View,203.15,203.15,73590,397,0,15244,3,Radiology
17960,SF,SF - Zuckerberg,Hc Humerus 2 Views Rt,419.05,419.05,73060,397,0,15244,3,Radiology
17961,SF,SF - Zuckerberg,Hc Humerus Left 1 View Only,419.05,419.05,73060,397,0,15244,3,Radiology
17962,SF,SF - Zuckerberg,Hc Humerus 2 Views Lt,419.05,419.05,73060,397,0,15244,3,Radiology
17967,SF,SF - Zuckerberg,Hc Forearm Lt 1 View,212.5,212.5,73090,397,0,15244,3,Radiology
17968,SF,SF - Zuckerberg,Hc Forearm 2 Views Lt,415.65,415.65,73090,397,0,15244,3,Radiology
17969,SF,SF - Zuckerberg,Hc Bilateral Forearm,623.05,623.05,73090,397,0,15244,3,Radiology
17970,SF,SF - Zuckerberg,Hc Clavicle Right,415.65,415.65,73000,397,0,15244,3,Radiology
17973,SF,SF - Zuckerberg,Hc Bilateral Humerus,629.0,629.0,73060,397,0,15244,3,Radiology
17974,SF,SF - Zuckerberg,Hc Forearm Rt 1 View,212.5,212.5,73090,397,0,15244,3,Radiology
17979,SF,SF - Zuckerberg,Hc Bilateral Clavicle,623.05,623.05,73000,397,0,15244,3,Radiology
17980,SF,SF - Zuckerberg,Hc Clavicle Left,415.65,415.65,73000,397,0,15244,3,Radiology
17981,SF,SF - Zuckerberg,Hc Tib/fib Lower Leg 2 Views  Rt,415.65,415.65,73590,397,0,15244,3,Radiology
17982,SF,SF - Zuckerberg,Hc Humerus Rght 1 View Only,419.05,419.05,73060,397,0,15244,3,Radiology
17983,SF,SF - Zuckerberg,Hc Tib/fib Rt 1 View,203.15,203.15,73590,397,0,15244,3,Radiology
17984,SF,SF - Zuckerberg,Hc Forearm 1 View Bilat,461.55,461.55,73090,397,0,15244,3,Radiology
17987,SF,SF - Zuckerberg,Hc Chest Any 2 Views,311.95,311.95,71046,397,0,15244,3,Radiology
18038,SF,SF - Zuckerberg,Hc Ct Angio Chest W Post Process,6181.2,6181.2,71275,397,0,15244,3,CTA
18039,SF,SF - Zuckerberg,Hc Ct Abdomen W Contr,4958.05,4958.05,74160,397,0,15244,3,CT
18040,SF,SF - Zuckerberg,Hc Ct Temporal Bone Wo Contr,3418.7,3418.7,70480,397,0,15244,3,CT
18045,SF,SF - Zuckerberg,Hc Ct Neck W Contr,4097.85,4097.85,70491,397,0,15244,3,CT
18046,SF,SF - Zuckerberg,Hc Ct Angio Abd W Post Process,5946.6,5946.6,74175,397,0,15244,3,CTA
18047,SF,SF - Zuckerberg,Hc Pelvis Any 2 Views,415.65,415.65,72170,397,0,15244,3,Radiology
18048,SF,SF - Zuckerberg,Hc Pelvis Ap Only,415.65,415.65,72170,397,0,15244,3,Radiology
18059,SF,SF - Zuckerberg,Hc Ct Abdomen/pelvis W/cont.,2792.25,2792.25,74177,397,0,15244,3,PET CT
18060,SF,SF - Zuckerberg,Hc Femur Routine 2+ Views Bilat,589.05,589.05,73552,397,0,15244,3,Radiology
18061,SF,SF - Zuckerberg,Hc Femur Routine 2+ Views Lt,419.05,419.05,73552,397,0,15244,3,Radiology
18062,SF,SF - Zuckerberg,Hc Femur Routine 2+ Views Rt,419.05,419.05,73552,397,0,15244,3,Radiology
18078,SF,SF - Zuckerberg,Hc Ct Temporal Bone W Contr,4097.85,4097.85,70481,397,0,15244,3,CT
18116,SF,SF - Zuckerberg,Hc Abdomen 2 Views,433.5,433.5,74019,397,0,15244,3,Radiology
18123,SF,SF - Zuckerberg,Hc Bilateral Knee 3 Views,629.0,629.0,73562,397,0,15244,3,Radiology
18124,SF,SF - Zuckerberg,Hc Knee Rght 3 Views,419.05,419.05,73562,397,0,15244,3,Radiology
18125,SF,SF - Zuckerberg,Hc Knee Left 3 Views,164.05,164.05,73562,397,0,15244,3,Radiology
18163,SF,SF - Zuckerberg,Hc Ct Pelvis W & Wo Contr,6137.0,6137.0,72194,397,0,15244,3,CT
18164,SF,SF - Zuckerberg,Hc Ct Abdomen W&wo Contrast,6137.0,6137.0,74170,397,0,15244,3,CT
18170,SF,SF - Zuckerberg,Hc Foot  Minimum 3 Views  Lt,415.65,415.65,73630,397,0,15244,3,Radiology
18171,SF,SF - Zuckerberg,Hc Foot  Minimum 3 Views  Rt,415.65,415.65,73630,397,0,15244,3,Radiology
18172,SF,SF - Zuckerberg,Hc Bilateral Foot 3 Views,622.2,622.2,73630,397,0,15244,3,Radiology
18183,SF,SF - Zuckerberg,Hc Ct Abdomen/pelvis W&wo/cont.,3695.8,3695.8,74178,397,0,15244,3,CT
18188,SF,SF - Zuckerberg,Hc Eye  Foreign Body,396.1,396.1,70030,397,0,15244,3,Radiology
18190,SF,SF - Zuckerberg,Hc Scapula Right,415.65,415.65,73010,397,0,15244,3,Radiology
18191,SF,SF - Zuckerberg,Hc Bilateral Scapula,623.05,623.05,73010,397,0,15244,3,Radiology
18192,SF,SF - Zuckerberg,Hc Nasal Bone,415.65,415.65,70160,397,0,15244,3,Radiology
18193,SF,SF - Zuckerberg,Hc Scapula Left,415.65,415.65,73010,397,0,15244,3,Radiology
18206,SF,SF - Zuckerberg,Hc Sacrum & Coccyx,419.05,419.05,72220,397,0,15244,3,Radiology
18209,SF,SF - Zuckerberg,Hc Hand 3 Views Rt,415.65,415.65,73130,397,0,15244,3,Radiology
18210,SF,SF - Zuckerberg,Hc Ankle 3 Views  Lt,415.65,415.65,73610,397,0,15244,3,Radiology
18211,SF,SF - Zuckerberg,Hc Wrist  3 Views  Rt,415.65,415.65,73110,397,0,15244,3,Radiology
18212,SF,SF - Zuckerberg,Hc Hand 3 Views Bilateral,661.3,661.3,73130,397,0,15244,3,Radiology
18213,SF,SF - Zuckerberg,Hc Bilateral Wrist 3+ Views,623.05,623.05,73110,397,0,15244,3,Radiology
18214,SF,SF - Zuckerberg,Hc Ankle 3 Views Rt,415.65,415.65,73610,397,0,15244,3,Radiology
18215,SF,SF - Zuckerberg,Hc Wrist  3 Views  Lt,415.65,415.65,73110,397,0,15244,3,Radiology
18216,SF,SF - Zuckerberg,Hc Hand 3 Views Lt,415.65,415.65,73130,397,0,15244,3,Radiology
18217,SF,SF - Zuckerberg,Hc Bilateral Ankle 3 Views,623.05,623.05,73610,397,0,15244,3,Radiology
18222,SF,SF - Zuckerberg,Hc Ct Chest W&wo Contrast,6390.3,6390.3,71270,397,0,15244,3,CT
18229,SF,SF - Zuckerberg,Hc Bilateral Shoulder 2+ Views,629.0,629.0,73030,397,0,15244,3,Radiology
18230,SF,SF - Zuckerberg,Hc Shoulder Rght Min 2 Views,419.05,419.05,73030,397,0,15244,3,Radiology
18231,SF,SF - Zuckerberg,Hc Shoulder Left Min 2 Views,419.05,419.05,73030,397,0,15244,3,Radiology
18232,SF,SF - Zuckerberg,Hc Sternum,435.2,435.2,71120,397,0,15244,3,Radiology
18233,SF,SF - Zuckerberg,Hc Elbow Compl Left Min 3 Views,419.05,419.05,73080,397,0,15244,3,Radiology
18234,SF,SF - Zuckerberg,Hc Bilateral Elbow 3+ Views,627.3,627.3,73080,397,0,15244,3,Radiology
18236,SF,SF - Zuckerberg,Hc Sternoclavicular Joints,436.05,436.05,71130,397,0,15244,3,Radiology
18237,SF,SF - Zuckerberg,Hc Elbow Compl Rght Min 3 Views,419.05,419.05,73080,397,0,15244,3,Radiology
18239,SF,SF - Zuckerberg,Hc Cervical Spine Ap & Lateral,433.5,433.5,72040,397,0,15244,3,Radiology
18240,SF,SF - Zuckerberg,Hc Cervical Spine 2 Views,433.5,433.5,72040,397,0,15244,3,Radiology
18241,SF,SF - Zuckerberg,Hc Spine Cervical Any 2 Or 3 View,433.5,433.5,72040,397,0,15244,3,Radiology
18245,SF,SF - Zuckerberg,Hc Spine Entire T&l 1 View,141.1,141.1,72081,397,0,15244,3,Radiology
