PROC NAME,CPT CODE," MAIN
PRICE "
 PLATE PRIMARY RECON 2.0 PRF HT,," $7,073.30 "
 PLATE PRIMARY RECON 2.0 PROFHT,," $8,617.00 "
 ROD ELLIPSE 3.5X120,, $416.30 
 ROD ELLIPSE 3.5X40,, $416.30 
 SCREW MA FENESTRATED 6.5X35,C1713," $3,100.00 "
 SCREW MA FENESTRATED 6.5X40,C1713," $3,100.00 "
 SCREW MA FENESTRATED 6.5X50,C1713," $3,100.00 "
 SCREW MA FENESTRATED 7.5X45,C1713," $3,100.00 "
 SCREW MNTR OC 4.5X10,C1713, $333.00 
 SCREW MNTR OC 4.5X12,C1713, $333.00 
 SCREW MNTR OC 4.5X14,C1713, $333.00 
 SCREW MNTR OC 4.5X6,C1713, $333.00 
 SCREW MNTR OC 4.5X8,C1713, $333.00 
 SCREW MNTR OC 5.25X6MM,, $333.00 
 SHELL OSSEO TI G7 MULT HL 48MM,," $7,606.30 "
 SHELL OSSEO TI G7 MULT HL 52MM,," $7,606.30 "
 SHELL OSSEO TI G7 MULT HL 64MM,," $7,606.30 "
 SPINDLE SHT COMPRS W/PIN 800LB,," $9,129.60 "
 STEM CONICAL DIST BOW 20X195MM,," $9,351.40 "
 STEM GEN 4 LAT STD 13X130,," $2,610.20 "
 STEM GEN 4 STD 11X120,," $2,610.20 "
 STEM TPRLOC XR FP TYP1 PSS 4.0,," $5,618.90 "
 SUT ETHILON 4-0 18IN P3,, $20.60 
 TRAY COMPR RVS HMRL +10MM CO44,," $4,147.20 "
 TUBE G 16F 2.0CM MIC-KY LO PRF,, $467.20 
 TUBE G 16F 3.5CM MIC-KY LO PRF,, $469.80 
 WASHER LARGE,, $97.90 
 WASHER SMALL,, $65.90 
 WEDGE DURACON FULL L-2 10MM,," $3,863.10 "
"(03) HEPARIN COFACTOR II, PLASMA",85130, $31.10 
(03) HIGH MOLECULAR WEIGHT KININOGEN (HMWK),85293, $285.60 
(03) TISSUE THROMBOPLASTIN INHIBITION AN,85705, $42.30 
"(04) LUTEINIZING HORMONE (LH), PEDIATRIC",83002, $178.80 
"(07) ALLERGEN, FOOD, BEEF IGG",86001, $13.90 
"(07) ALLERGEN, FOOD, CARDAMOM SEED IGE",86003, $13.40 
"(07) ALLERGEN, FOOD, CRANBERRY IGE",86003, $13.90 
"(07) ALLERGEN, FOOD, EGG YOLK IGG",86001, $13.90 
"(07) ALLERGEN, FOOD, GELATIN PORCINE IG",86003, $101.00 
"(07) ALLERGEN, FOOD, PUMPKIN SEED IGE",86003, $27.90 
"(07) ALLERGEN, FUNGI/MOLD, CLADOSPORIUM",86001, $37.10 
"(07) ALLERGEN, OCCUPATION, ETHYLENE OXIDE",86003, $21.50 
"(07) ALLERGEN, TREE, BLACK LOCUST IGE",86003, $89.80 
"(07) ALLERGEN, TREE, POPLAR WHITE IGE",86003, $13.30 
(07) ANTI-IGA ANTIBODY,83520, $397.90 
(07) NATALIZUMAB ANTIBODIES,83516, $675.60 
"(08) MELANOCYTE STIMULATING HORMONE, BET",83519, $252.00 
"(1,3)-BETA-D-GLUCAN (FUNGITELL (TM))",87449, $280.90 
(10) CORTICOSTEROID-BINDING GLOBULIN (CG,84449, $247.80 
(10) FACTOR V R2 MUTATION DETECTION BY PCR,81400, $955.80 
"(10) FREE TRIIODOTHYRONINE, DIALYSIS/LC-MS/MS",84481, $73.80 
(13) ANDROSTANEDIOL GLUCURONIDE QUANTITA,82154, $69.30 
(13) CDT FOR DISORDERS OF GLYCOSYLATION,82373, $601.80 
"(13) COLLAGEN TYPE II ANTIBODY, SERUM",83520, $318.60 
"(13) N-METHYLHISTAMINE, 24-HOUR URINEÁ",82542, $527.10 
(13) PORPHYRINS TOTAL W/RFLX TO FRACTION,84311, $393.60 
"(13) PORPHYRINS, FRACTIONATION, PLASMA",82542, $616.70 
"(13) PURINES AND PYRIMIDINES PANEL, URINE",82542, $79.30 
"(13) SCHISTOSOMA ANTIBODY, IGG, SERUM",86682, $292.50 
(13)AMINOLEVULINIC ACID DEHYDRATASE (ALAD),82657, $691.80 
"(13)ARYLSULFATASE A, LEUKOCYTES, BLOODÁ",82657, $916.70 
"(13)FIBROBLAST GROWTH FACTOR 23, PLASMA",83520, $617.20 
(13)MET RED,82657, $731.00 
(15) PHOSPHATIDYLETHANOL (PETH),G0480, $314.00 
"(16) FILARIA ANTIBODY IGG4 BY ELISA, SER",86682, $268.50 
"(16) HBV, GENOTYPE AND BCP/PRECORE MUTAT",87912, $833.10 
"(16) HERPESVIRUS 6 ANTIBODY, IGG",86790, $325.00 
(16) HIV-1 BY QUALITATIVE TMA,87535, $516.60 
"(16) HSV-2 IGG INHIBITION, BY ELISA",86696, $200.10 
(16) HUMORAL IMMUNITY EVALUATION PANEL,86648, $46.00 
(16) HUMORAL IMMUNITY EVALUATION PANEL,86774, $46.00 
(16) TICK ID W/ REFLEX TO B. BURGDORFERI,87168, $192.00 
(16) TOXOCARA ANTIBODY BY ELISA,86682, $255.40 
"(16) TRICHINELLA ANTIBODY, IGG",86784, $189.80 
(17) ANTIMICROBIAL LEVEL - RIFABUTIN SERUM,80299, $279.00 
(17) ANTIMICROBIAL LEVEL-AZITHROMYCIN SERUM OR PLASMA,80299, $255.80 
(17) ANTIMICROBIAL LEVEL-CYCLOSERINE,80299, $48.20 
(17)BERYLLIUM LYMPHOCYTE PROLIFERATION,86353, $148.00 
(17)BERYLLIUM LYMPHOCYTE PROLIFERATION,80500, $148.00 
"(18) ACETAMINOPHEN QUANTITATIVE, URINE",G0480, $376.50 
(18) AMPHETAMINES (D/L DIFFERENTIATION),G0480, $540.50 
(18) ANABOLIC STEROIDS SCREEN W/RFLX TO CONFIRM,80307, $325.70 
"(18) ARSENIC ANALYSIS, HAIR",82175, $322.00 
"(18) BATH SALTS PANEL, SERUM OR PLASMA",G0480, $255.80 
"(18) CHORMIUM, RBC",82495, $321.80 
"(18) CLOBAZAM QUANTITATIVE, SERUM OR PLA",G0480, $297.40 
"(18) COPPER, RBC",82525, $214.50 
"(18) CYCLOBENZAPRINE QUANTITATIVE, URINE",G0480, $255.80 
(18) ESCITALOPRAM SERUM/PLASMA,G0480, $351.70 
"(18) FLUORIDE, SERUM OR PLASMA",82735, $240.80 
"(18) FLUOXETINE AND METABOLITE, SERUM/PL",G0480, $180.00 
"(18) FLUVOXAMINE QUANT, SERUM OR PLASMA",G0480, $109.00 
"(18) IBUPROFEN, SERUM OR PLASMA",G0480, $201.50 
"(18) LEAD, RBD",83655, $282.80 
"(18) LIDOCAINE AND METABOLITE, SER/PLA",80176, $372.90 
"(18) LSD CONFIRMATION, URINE",G0480, $375.30 
"(18) MANGANESE, RBC",83785, $295.80 
"(18) MITOTANE, SERUM/PLASMA",G0480, $134.00 
"(18) PHENOL EXPOSURE, URINE",84600, $72.90 
"(18) PHENOL EXPOSURE, URINE",82570, $18.60 
"(18) POTASSIUM, RBC",84132, $263.30 
"(18) SELENIUM, RBCS",84255, $299.00 
"(18) SOTALOL QUANTITATION, SERUM/PLASMA",80375, $312.00 
(18) SYNTHETIC CANNABINOID METABOLITES,G0480, $185.30 
"(18) TRAMADOL AND METABOLITE, QUANT, S/P",G0480, $256.80 
(20) 14-3-3 ETA PROTEIN,83520, $349.10 
"(20) ANGIOTENSIN II, PLASMA",82163, $280.90 
(20) P53 MUTATION ANALYSIS (LEUMETA),81405," $2,876.90 "
(20) PARATHYROID HORMONE (PTH) ANTIBODY,83519, $441.40 
"(20) SOMATOSTATIN QUANTITATIVE, PLASMA",84307, $457.90 
"(20) THROMBOPOIETIN (TPO), SERUM",83520, $365.80 
"(21) PHOSPHATIDYLCHOLINE ABS - IGG, IGM",83520, $260.00 
(21) THIOPURINE METABOLITES BY LC-MS/MS,80299, $306.30 
(26) HIV-1 DRUG RESISTANCE (GENOSURE PRIME,87900, $668.00 
(26) HIV-1 DRUG RESISTANCE (GENOSURE PRIME,87901, $668.00 
(26) HIV-1 DRUG RESISTANCE (GENOSURE PRIME,87906, $668.00 
"(28) ALLERGEN PANEL, IGE BY IMMUNOCAP IS",86008, $27.40 
"(28) ALLERGEN, PEANUT CMPNTS (UKNOWN ®",86003, $44.90 
"(28) ALLERGEN, PEANUT CMPNTS (UKNOWN ®",86008, $44.90 
(28) GLUTATHIONE TOTAL,82978, $221.00 
(28) HEPATITIS DELTA ANTIGEN BY ELISA,87380, $295.00 
(28) HIV PHENOSENSE GT,87900, $284.10 
(28) HIV PHENOSENSE GT,87901, $790.80 
(28) HIV PHENOSENSE GT,87903," $1,064.90 "
(28) HIV PHENOSENSE GT,87904, $56.90 
(28) HLA-A GENOTYPE,81380, $838.70 
"(28) MYCOPLASMA PNEUMONIAE ANTIBODY, IGA",86738, $37.10 
(28) NON-INVASIVE PRENATAL TESTING ANUEPLOIDY,81420," $1,357.00 "
"(28) SRA, UNFRACTIONATED HEPARIN",86022, $168.70 
"(28) VITAMIN B5 (PANTOTHENIC ACID), SERUM",84591, $260.00 
"(31) HIT ANTIBODIES, PF4 IGA/IGM",86022, $514.50 
(49) GIARDIA LAMBLIA ABS PANEL BY ELISA,86674, $225.80 
"(49) GIARDIA LAMBLIA ANTIBODY, IGG BY EL",86674, $204.80 
"(49) PANCREASTATIN, PLASMA",86316, $238.00 
(51) NMDP COMPREHENSIVE PROFILE,86703, $129.40 
(51) NMDP COMPREHENSIVE PROFILE,86687, $129.40 
(51) NMDP COMPREHENSIVE PROFILE,87340, $129.40 
(51) NMDP COMPREHENSIVE PROFILE,86803, $129.40 
(51) NMDP COMPREHENSIVE PROFILE,86704, $129.40 
(51) NMDP COMPREHENSIVE PROFILE,87801, $138.20 
(51) NMDP COMPREHENSIVE PROFILE,87798, $129.40 
(51) NMDP COMPREHENSIVE PROFILE,86900, $129.40 
(51) NMDP COMPREHENSIVE PROFILE,86901, $129.40 
(51) NMDP COMPREHENSIVE PROFILE,86592, $129.40 
(51) NMDP COMPREHENSIVE PROFILE,86753, $129.40 
(51) NMDP COMPREHENSIVE PROFILE,86644, $129.40 
(52) MAMMAGLOBIN BY IMMUNOHISTOCHEMISTRY,88342, $83.00 
(6)COCCIDIOIDES ANTIGEN BY EIA,87449, $299.80 
(62) NIPT FETAL ANEUPLOIDY W/ MICRODELETION,81420," $1,041.00 "
(62) NIPT FETAL ANEUPLOIDY W/ MICRODELETION,81422," $1,041.00 "
"(66) 14-3-3 PROTEIN TAU, TOTAL, CSF",0035U, $497.10 
"(66) 14-3-3 PROTEIN TAU, TOTAL, CSF",86317, $497.10 
"(66) 14-3-3 PROTEIN TAU, TOTAL, CSF",84182, $497.10 
"(7) ALLERGEN, FOOD, ALPHA-GAL",86003, $236.30 
"(7) ALLERGEN, FOOD, ALPHA-GAL PANEL",86003, $114.90 
"(7) ALLERGEN, FOOD, ANNATTO SEED IGE",86003, $123.80 
"(7) ALLERGEN, FOOD, BLACK BEAN IGE",86003, $121.90 
"(7) ALLERGEN, FOOD, TURMERIC IGE",86003, $13.30 
"(7) ALLERGEN, TREE, ASPEN IGE",86003, $13.30 
"(7) ALLERGEN, TREE, BLACK WILLOW IGE",86003, $13.40 
"(7) ALLERGEN, WEED, WESTERN WATERHEMP IG",86003, $15.00 
"(7) ALLERGEN, WEED, WINGSCALE IGE",86003, $27.50 
(7) IGA DEFICIENCY (IGAD) PANEL,82784, $350.70 
(7) IGA DEFICIENCY (IGAD) PANEL,83520, $350.70 
(70) HLA-C GENOTYPE,81380, $325.00 
(70) HLA-DQ GENOTYPING,81382, $497.00 
"(70) PROSTATE-SPECIFIC KALLIKREIN, 4KSCO",81539," $1,817.20 "
(72) HLA-DQB1 BY NEXT GENERATION SEQUENCING,81382, $644.30 
(72) HLA-DRB1 BY NEXT GENERATION SEQUENCING,81382, $644.30 
(75) ONCOTYPE DX BREAST CANCER ASSAY UUH,81519," $11,282.30 "
(76) PJI DETECTION (SYNOVASURE),86140, $196.60 
(76) PJI DETECTION (SYNOVASURE),84311, $196.60 
(76) PJI DETECTION (SYNOVASURE),83516, $196.60 
"(78) TOXOPLASMA GONDII AB, IGA, ELISA, S",86777, $398.90 
(8) 5-HYDROXYINDOLEACEATIC ACID (5-HIAA),82542, $767.00 
"(8) PROSTAGLANDIN D2 (PG D2), SERUM OR P",84150, $660.80 
"(8) PROSTAGLANDIN D2 (PG D2), URINE",84150, $743.40 
(84) RABIES ANTIBODY SCREEN (RFFIT),86382, $211.30 
(HBA1 & HBA2 ALPHA) THALASSEMIA 7 DELETIONS,81257, $264.30 
(HLA-B27) ANKYLOSING SPONDYLITIS GENOTYPING,81374, $257.40 
(HLA-DQB1*06:02) NARCOLEPSY GENOTYPING,81383, $708.40 
(SERPINA1) ALPHA-1-ANTITRYPSIN GENOTYPE,81332, $170.30 
(SNRPN/UBE3A) ANGELMAN SYNDROME & PRADER-WILLIS SYNDROME BY METHYLATION,81331, $318.30 
"(TRG) T-CELL CLONALITY BY PCR, FLUID",81342, $307.10 
(UGT1A1) UDP GLUCURONOSYLTRANSFERASE 1A1 GENOTYPE,81350, $321.00 
"1"" LUMBAR PUNCT NEEDLE 25GA",, $18.00 
"1"" STAT WRAP (BURN)",, $5.70 
"1,5 ANHYDROGLUCITOL (GLYCOMARK)",84378, $78.40 
1.2*6.35MM FLUTED ROUTER,, $352.10 
1.8MM D SST CERCLAGE CAB,," $1,188.80 "
1/3 TUBULAR PLATE W/COLLAR 4 HOLE,, $217.70 
1/3 TUBULAR W/COLLAR 3HOLE/37,, $188.00 
"10004 EACH ADDTL, CYPATH FNA PERFORM PC",10004, $312.00 
1000ML EVACUATED DRAINAGE BOTTLE,, $63.70 
"100B S-100B PROTEIN, SERUM",86316, $218.60 
10490-RED BLOOD CELL PRODUCT,P9021, $453.20 
108CM .035 STRAIGHT AMPLATZ SUPER STIFF,, $186.30 
10MM AMPLATZER VASCULAR PLUG II,," $2,734.20 "
"11-DEOXYCORTICOSTERONE, SERUM/PLASMA",82633, $92.40 
"11-DEOXYCORTISOL QUANTITATIVE, SERUM",82634, $94.50 
12MM AMPLATZER VASCULAR PLUG II,," $2,734.20 "
12MM VALEO 17X14 6DEG SPCR C,," $1,860.00 "
12MM VALEO 30X24 8DEG SPCR AL,," $6,480.00 "
133 DEGREE TAPERLOC,," $5,993.30 "
14-F SHORT SHEATH 11CM,C1893, $189.00 
14F VESSEL DILATOR,, $28.60 
14G AMICA PROBE,," $6,820.00 "
14MM AMPLATZER VASCULAR PLUG II,," $2,734.20 "
15 CHANNEL H.A.M. APPLICATOR,C1728," $1,527.80 "
16 FR PEEL AWAY SHEATH,C1892, $157.60 
16FR HYDROGEL FOLEY CATH TRY,, $46.60 
16G AMICA PROBE,," $6,820.00 "
16MM AMPLATZER VASCULAR PLUG II,," $2,734.20 "
17-HYDROXYCORTICOSTERIODS,83491, $118.70 
17-HYDROXYPREGNENOLONE 30 MIN,84143, $70.50 
17-HYDROXYPREGNENOLONE 60 MIN,84143, $70.50 
17-HYDROXYPREGNENOLONE BASELINE SPECIMEN,84143, $81.20 
17-HYDROXYPREGNENOLONE QUANT BY MS/MS,84143, $94.50 
"17-HYDROXYPROGESTERONE QNT BY MS/MS, SER",83498, $94.50 
"17-KETOSTEROIDS, URINE",83586, $135.40 
"17-OHPROGESTERONE 30-MIN HPLC-MS/MS, S/P",83498, $118.60 
"17-OHPROGESTERONE 60-MIN HPLC-MS/MS, S/P",83498, $118.60 
18FR HYDROGEL FOLEY CATH TRY,, $79.20 
18MM AMPLATZER VASCULAR PLUG II,," $2,734.20 "
1ST STAGE FRESH H/N/HANDS/F UP TO 5 BLOCKS,17311, $519.20 
1ST STAGE FRESH T/A/L UP TO 5 BLOCKS,17313, $511.50 
1ST TRIMESTER EXTENDED,76801, $436.30 
1ST TRIMESTER TRANSABDOMINAL,76801, $444.70 
2 FIBERLOOP SUTURE,, $149.90 
2 HOUR GLUCOSE-LACTOL,82952, $17.80 
2 TIGERWIRE SUTURE,, $73.30 
"2,3 DINOR-11BETA-PROSTAGLANDIN F2 ALPHA, URINE",84150, $352.00 
2-0 FIBERWIRE SUTURE,, $73.30 
"2-0 FIBERWIRE, 38 INCHES",, $65.00 
"20) CHYMOTRYPSIN, FECAL",84311, $184.80 
2007 GWIRE WHOLEY .035IN-145CM,C1769, $370.50 
2008292-KPA ANTIGEN TYPING (UNITS),86902, $229.60 
2008294-WRA ANTIGEN TYPING (UNITS),86902, $213.30 
2008296-WRA PT ANTIGEN TYPING,86905, $322.50 
2008298-KPA PT ANTIGEN TYPING,86905, $156.90 
2013266-FRESH THAWED PLASMA 24 DIV.2,P9011, $328.00 
2013268-FROZEN PLASMA PROD BETWEEN 8-24,P9059, $233.90 
2013410-PLT PHERESIS PR PROD,P9073," $1,995.10 "
2013412-PLT PHERESIS PR DIV PROD,P9011, $474.50 
2013420-PLT PHERESIS PR WDV PROD,P9011, $318.60 
2014661-PATHOGENS TEST FOR PLATELETS,P9100, $79.80 
20FR 24FR ENDO VIVE C-CLAMPS,, $41.20 
20MM AMPLATZER VASCULAR PLUG II,," $2,734.20 "
21-HYDROXYLASE ANTIBODY,83519, $128.60 
"21-HYDROXYLASE AUTOANTIBODIES, SERUM",83516, $101.00 
22FR MIC GASTROSTOMY TUBE,, $166.20 
22MM AMPLATZER VASCULAR PLUG II,," $2,734.20 "
"25-HYDROXYVITAMIN D2 AND D3, SERUM",82306, $90.90 
28MM DIA COCR MOD HD STD NK,," $1,235.50 "
28MM M2A MOD HEAD STD NK,," $1,235.50 "
2ND VESSEL SAME VASCULAR FAMILY,37185," $2,415.80 "
3 PANEL KNEE SPLINT,L1830, $81.90 
3.2MMX30MM RNGLC+ ACET DRL BIT,, $206.50 
"3.7MM CANNULATED DRILL BIT, QUICK CONNECT",," $1,538.50 "
3-0 FIBERWIRE SUTURE,, $64.90 
3-0 FIBERWIRE SUTURE AR722701,, $64.90 
3000128-PATHOGENS TEST FOR PLATELETS 2,P9100, $79.80 
3000129-PATHOGENS TEST FOR PLATELETS 3,P9100, $79.80 
3000130-PATHOGENS TEST FOR PLATELETS 4,P9100, $79.80 
32MM DIA COCR MOD HD +6MM,," $1,235.50 "
32MM DIA COCR MOD HD STD NK,," $1,235.40 "
38220G PHYSICIAN SRV BM ASPIRATE ONLY,38220, $200.30 
3-D RADIOTHERAPY PLAN DOSE-VOLUME HISTOGRAMS,77295," $7,290.00 "
3D RENDERING W POST PROCESSING,76376, $572.00 
3F SINGLE 70CM,C1751, $477.30 
42MM DISP 1 PEG PLANER BLADE,, $263.00 
4FR DIAGNOSTIC CATH JR-4,, $49.30 
4MM AMPLATZR VASCULAR PLUG II,," $2,734.20 "
5 FIBERWIRE SUTURE,, $133.20 
5' NUCLEOTIDASE,83915, $58.60 
50CM 8 CONTACT LEAD KIT,C1778," $6,916.20 "
"5-HYDROXYINDOLEACETIC ACID (HIAA), URINE",83497, $85.00 
5MM VALEO 16X12 6DEG SPCR C,," $1,860.00 "
6 CHANNEL H.A.M. APPLICATOR,C1728, $957.30 
6FR PEEL AWAY,C1892, $157.60 
6MM AMPLATZR VASCULAR PLUG II,," $2,734.20 "
6MM VALEO 16X12 6DEG SPCR C,," $1,860.00 "
6MM VALEO 17X14 6DEG SPCR C,," $1,860.00 "
72 HOUR GLUCOSE MONITORING BY CONTINUOUS RECORD,95250, $394.40 
7MM VALEO 16X12 6DEG SPCR C,," $1,860.00 "
7MM VALEO 17X14 6DEG SPCR C,," $1,860.00 "
8.5F URETERAL START 26CM,, $380.10 
88142 GYN SUREPATH CYTO HPVR,88142, $90.00 
88142 SUREPATH PAP,88142, $153.20 
88142 SUREPATH PAP,88142, $112.60 
88142 SUREPATH PAP TEST/PATHOLOGIST,88142, $153.20 
88142 SUREPATH PAP/PATHOLOGIST,88142, $112.60 
88142 SURPATH PAP TEST,88142, $153.20 
88142 SURPATH PAP TEST,88142, $153.20 
88142 SURPATH PAP TEST/PATHOLOGIST,88142, $153.20 
88142 SURPATH PAP TEST/PATHOLOGIST,88142, $153.20 
88142 THIN PREP PAP,88142, $112.60 
88142 THINPREP PAP TEST,88142, $86.40 
88142 THINPREP PAP TEST,88142, $86.40 
88142 THINPREP PAP TEST,88142, $112.60 
88142 THINPREP PAP TEST/PATHOLOGIST,88142, $86.40 
88142 THINPREP PAP TEST/PATHOLOGIST,88142, $86.40 
88143 GYN SUREPATH CYTO HPVR,88143, $90.00 
88143 GYN SUREPATH CYTO HPVR,88143, $90.00 
88143 GYN SUREPATH CYTO HPVR,88143, $90.00 
88174 GYN SUREPATH CYTO HPVR,88174, $95.10 
88175 GYN SUREPATH CYTO HPVR,88175, $121.40 
88175 GYN SUREPATH CYTO HPVR,88175, $121.40 
88175 GYN SUREPATH CYTO HPVR,88175, $121.40 
88175 GYN SUREPATH CYTO HPVR,88175, $121.40 
88175 GYN SUREPATH CYTO HPVR,88175, $121.40 
88300G LEVEL I COMPLEXITY,88300, $126.00 
88302G LEVEL II COMPLEXITY,88302, $152.20 
88304G LEVEL III COMPLEXITY,88304, $163.10 
88304T LEVEL III COMPLEXITY,88304, $163.10 
88304T LEVEL III COMPLEXITY - DERM,88304, $114.00 
88305G GROSS MICRODIAGNOSTIC,88305, $252.30 
88305G LEVEL IV COMPLEXITY,88305, $213.40 
88305T LEVEL IV COMPLEXITY,88305, $258.00 
88305T LEVEL IV COMPLEXITY,88305, $213.40 
88307G LEVEL V COMPLEXITY,88307, $286.00 
88307G LEVEL V COMPLEXITY - DERM,88307, $101.20 
88307T LEVEL V COMPLEXITY,88307, $286.00 
88309G LEVEL VI COMPLEXITY,88309, $385.90 
88309T LEVEL VI COMPLEXITY,88309, $385.90 
88311G DECALCIFICATION OF BLOCK,88311, $140.30 
88311G DECALCIFICATION OF SPECIMEN,88311, $140.30 
88311T DECALCIFICATION OF BLOCK,88311, $91.80 
88311T DECALCIFICATION OF SPECIMEN,88311, $91.80 
88323G BASIC CONSULTATION BLOCKS,88323, $240.30 
88329G INTRAOPERATIVE CONSULTATION,88329, $111.30 
"88331G FREEZE, CUT AND STAIN (H&E)",88331, $188.40 
88332G FROZEN SECTION ADDITIONAL BLOCK,88332, $176.00 
88346G KIDNEY BIOPSY PANEL 7,88346, $196.70 
88348G ELECTRON MICROSCOPY,88348," $1,456.80 "
88348G ELECTRON MICROSCOPY - RENAL,88348," $1,349.90 "
88348G PLASTIC SECTION,88348, $751.00 
"88355G MORPHOLOGICAL ANALYSIS, MUSCLE",88355, $332.40 
"88356G MORPHOLOGICAL ANALYSIS, NERVE",88356, $172.70 
88399T STAIN SLIDE WITH H&E,88399, $184.00 
8F MRI PWR PORT W/MICRO INTRODUCER AND SUTURE HOLES,C1788," $1,565.10 "
8FR AMPLATZ RENAL DILATOR,, $28.50 
8FR CHECKFLO INTRODUCER,, $216.00 
8FR PEEL AWAY,C1892, $157.60 
8MM AMPLATZR VASCULAR PLUG II,," $2,734.20 "
8MM VALEO 16X12 6DEG SPCR C,," $1,860.00 "
8MM VALEO 17X14 6DEG SPCR C,," $1,860.00 "
9 CHANNEL H.A.M. APPLICATOR,C1728," $1,167.50 "
9MM VALEO 17X14 6DEG SPCR C,," $1,860.00 "
"A. PHAGOCYTOPHILUM ANTIBODY,  IGG",86666, $140.60 
A1 ANTIGEN TYPING (UNITS),86903, $40.00 
"A1 ANTIGEN TYPING, PATIENT",86905, $269.10 
A1 PT ANTIGEN TYPING,86905, $168.50 
A1A  PHENOTYPE REFLEX BILL,82104, $107.90 
"A1A ELISA, RANDOM STOOL",82103, $143.00 
AAT BY IHC,88342, $575.60 
AB IDENT PANEL-ALBUMIN (IRL),86870, $670.20 
AB IDENT PANEL-COLD (IRL),86870, $201.30 
AB IDENT PANEL-ENZYME (IRL),86870, $258.30 
AB IDENT PANEL-ENZYME (IRL),86971, $258.30 
AB IDENT PANEL-LISS (IRL),86870, $308.60 
AB IDENT PANEL-PEG (IRL),86870, $313.70 
AB IDENT PANEL-SOLID PHASE (IRL),86870, $301.10 
ABBOCATH T-26 G,, $19.00 
ABD COMPLETE W DECUBITUS &/OR ERECT VIEWS,74020, $267.70 
ABD PARACENTESIS (DIAG OR THERAPEUTIC); W/O IMAGE GUIDANCE,49082, $708.70 
ABD PARACENTESIS (DIAG OR THERAPEUTIC); WITH IMAGE GUIDANCE,49083, $989.90 
ABDOMEN 1 VIEW,74000, $211.30 
"ABDOMEN COMPLETE ACUTE SERIES, INCL 2 OR MORE VIEWS ABD & SINGLE CHEST",74022, $321.20 
ABDOMINAL BINDER XXXL 85-94IN,, $50.30 
ABIOMED IMPELLA 2.5 CATHETER,," $62,337.60 "
